Gene = simj
index = 1873
Annotated 5SS: [  632 21156 21523 22424 22601 22865 23859 24105]
Annotated 3SS: [20270 21224 22336 22498 22665 22925 23939 24186]
SMsplice 5SS: [  632 21156 21523 22424 22601 22865 23859 24131]
SMsplice 3SS: [20270 21224 22312 22498 22665 22925 23939 24186]
top_k =  100
Partition function (log Z): 25.40912628543885

Sorted 5' Splice Sites (High to Low Probability):
Position 632: 0.9999999999999994
Position 21156: 0.9997650299809675
Position 23859: 0.9994650322866594
Position 22601: 0.9990942758444756
Position 22865: 0.9988629511520083
Position 22424: 0.9973333016844246
Position 21523: 0.981835533468971
Position 24131: 0.5196606319938375
Position 24042: 0.3703858881590995
Position 24474: 0.1507053109731693
Position 22162: 0.138591791753418
Position 450: 0.12474702176161796
Position 242: 0.10073776064683707
Position 25633: 0.08951959018042015
Position 442: 0.0756883580622597
Position 24101: 0.04496493328321894
Position 24414: 0.024977123571448788
Position 24105: 0.015497765405044614
Position 483: 0.013442450751522455
Position 22137: 0.010595878012478237
Position 24109: 0.010119197150632439
Position 25237: 0.009401247907540261
Position 496: 0.008775136586087052
Position 246: 0.008017359637206596
Position 457: 0.007109911749768996
Position 234: 0.006312351956621763
Position 290: 0.005961959099824029
Position 236: 0.0047328180399136095
Position 238: 0.004314197648561395
Position 21789: 0.0032262663934586613
Position 264: 0.002746350742764108
Position 70: 0.0022371655744783765
Position 446: 0.0020326029448411746
Position 322: 0.00195663178228787
Position 75: 0.0016024267099933305
Position 21550: 0.0014721003597656993
Position 21533: 0.0012385073397248015
Position 248: 0.000827466830894018
Position 24388: 0.0006868230088626517
Position 22851: 0.0006830426846028961
Position 79: 0.0003729842649564969
Position 23745: 0.0003546494933988156
Position 22869: 0.0002775491304047467
Position 22957: 0.00023753880536079512
Position 23409: 0.00019850257795866045
Position 23863: 0.00018956979561457758
Position 23128: 6.607082652008407e-05
Position 21538: 5.6392901084226784e-05
Position 23197: 5.052901995749939e-05
Position 23836: 2.8479245851756074e-05
Position 23900: 3.1004195069467324e-06
Position 22871: 1.3746812610796687e-09
Position 22843: 3.862419223926724e-10
Position 22734: 1.5484682673566208e-10
Position 22745: 9.995148630186445e-11
Position 22811: 6.736169847454678e-11
Position 22821: 3.8216102922871564e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 20270: 0.9997817417508668
Position 22925: 0.9994954500524464
Position 21224: 0.998224285471215
Position 22498: 0.9718529199500149
Position 23939: 0.9618382269042941
Position 22665: 0.8669732380896075
Position 24186: 0.8042129524209211
Position 22312: 0.4938427028515553
Position 538: 0.28877110809184625
Position 21587: 0.24643582802993683
Position 22336: 0.17213491622144914
Position 22718: 0.12252986212991053
Position 25489: 0.09775003318316822
Position 25439: 0.09280977436236756
Position 25707: 0.0895195901804201
Position 22041: 0.0746646495277993
Position 25224: 0.07100177762536558
Position 21774: 0.058245746346372015
Position 25089: 0.04412904358271898
Position 369: 0.04022661088477257
Position 21851: 0.037371032609394735
Position 23971: 0.03717487641115072
Position 357: 0.02751559473810479
Position 22474: 0.02509831651312415
Position 24473: 0.024727055191480198
Position 21669: 0.012371524994473124
Position 395: 0.009674127086321808
Position 21622: 0.009325362195982
Position 21746: 0.008853538781181643
Position 21905: 0.006606903710936045
Position 24209: 0.005862445006066521
Position 21787: 0.005622009594050017
Position 22693: 0.0041657483827806365
Position 24816: 0.003246710900977466
Position 290: 0.0030123815371886726
Position 21975: 0.002931054218468767
Position 24088: 0.0028546645323997877
Position 21908: 0.0025741686872946317
Position 22680: 0.0025606293309513996
Position 22518: 0.0024953014277784755
Position 22653: 0.0021595989446370157
Position 21236: 0.0017590027588821344
Position 21743: 0.001549273244200411
Position 21795: 0.001267773541131504
Position 310: 0.0011132319025631782
Position 21944: 0.0009896126587518527
Position 524: 0.0007179941989091916
Position 510: 0.0005839063507304522
Position 23983: 0.0004791401063065596
Position 23810: 0.00034392739765558435
Position 22785: 0.00027571439950407976
Position 23017: 0.00026829535270623086
Position 23503: 0.00018236945306494547
Position 22934: 0.00017071263310136246
Position 22957: 0.0001515052966397795
Position 22782: 0.00012813509316986167
Position 22523: 0.00011713680942924227
Position 22981: 8.43902073241444e-05
Position 22695: 8.294054124296248e-05
Position 23173: 6.311311351231705e-05
Position 22821: 5.814212089337726e-05
Position 23269: 5.052901995749939e-05
Position 22943: 2.5937283168387887e-05
Position 23029: 2.505988006728197e-05
Position 24206: 1.8501256299645584e-05
Position 23951: 9.700004477699057e-06
Position 24025: 1.464613826583633e-08
