Gene = Exo70
index = 1159
Annotated 5SS: [ 158  377  959 2432 3225 3607 3810]
Annotated 3SS: [ 210  446 2366 2493 3283 3675 3864]
SMsplice 5SS: [ 158  377  959 2432 3225 3607 3810]
SMsplice 3SS: [ 210  446 2366 2493 3283 3675 3864]
top_k =  100
Partition function (log Z): 19.204868666754667

Sorted 5' Splice Sites (High to Low Probability):
Position 3225: 0.998168356963662
Position 3810: 0.9953345660781937
Position 959: 0.9949133482772035
Position 158: 0.9880578182003085
Position 377: 0.9763537353410154
Position 3607: 0.939458339415369
Position 2432: 0.8826062954970212
Position 3611: 0.054555595884748044
Position 3076: 0.019436200058497295
Position 1682: 0.013304701319061344
Position 2668: 0.010105246279299325
Position 2638: 0.009239383350210678
Position 1314: 0.008659160951038683
Position 2729: 0.00782838748327688
Position 687: 0.0038320911243651065
Position 3565: 0.0033939956595517777
Position 1132: 0.002323629463211697
Position 1461: 0.0018788747301942456
Position 3014: 0.0018196974344099226
Position 20: 0.0015375965434449004
Position 1878: 0.0015182619419523147
Position 3816: 0.001490247943254794
Position 3584: 0.0014773591080089158
Position 963: 0.0012389234108381223
Position 2864: 0.0011005905951071517
Position 2463: 0.0010926158524073002
Position 2123: 0.0010536869764572712
Position 645: 0.0009036144400842803
Position 1849: 0.0009009414629453734
Position 1976: 0.0007865027219488041
Position 25: 0.0007164109636397995
Position 3324: 0.00042012710248284226
Position 2645: 0.0003732558986411547
Position 939: 0.0003416044673099404
Position 3761: 0.00033296724777155917
Position 725: 0.0003231112831030135
Position 675: 0.0003212241865359412
Position 3586: 0.000264512460705313
Position 1024: 0.00022565134300966505
Position 3: 0.00021068412684693895
Position 70: 0.00020802641303613876
Position 730: 0.00019272636318406163
Position 1329: 0.00019248208099221159
Position 1686: 0.00016200007537282062
Position 5: 0.00012805711520116956
Position 3393: 0.0001176075010896306
Position 835: 9.664993786557984e-05
Position 990: 9.558260747212511e-05
Position 3333: 9.211294518554535e-05
Position 509: 7.671189324048579e-05
Position 3825: 5.301706970341536e-05
Position 623: 5.090078168746198e-05
Position 3091: 4.97624882504748e-05
Position 3517: 1.6517475660854866e-05
Position 3473: 1.4943312948829935e-05
Position 856: 1.167066374011322e-05
Position 3444: 8.133436943508139e-06
Position 49: 6.1673834270662606e-06
Position 162: 5.105952058392918e-06
Position 126: 2.400785232188202e-06
Position 244: 2.284008324787196e-06
Position 167: 1.2370699308026787e-06
Position 74: 8.562346612726347e-07
Position 554: 1.915080970253512e-07
Position 281: 1.0609580910092465e-07
Position 337: 4.165198623211749e-09
Position 421: 2.5427981865697948e-14
Position 170: 1.8208655792865972e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 3675: 0.9991514589722068
Position 3283: 0.9966839410255995
Position 2366: 0.9726597382251393
Position 3864: 0.9700642935531012
Position 446: 0.9694669435424595
Position 210: 0.9541040916793211
Position 2493: 0.7884063679686516
Position 3130: 0.07361482017955989
Position 2536: 0.06085433219742014
Position 226: 0.02778404474431369
Position 1211: 0.02531536118181144
Position 3885: 0.024466309188871493
Position 2286: 0.012143281616595943
Position 790: 0.010582749209610718
Position 2713: 0.00717603773092576
Position 2506: 0.004620366212050855
Position 2247: 0.00436131773980273
Position 2555: 0.0037882919092885317
Position 1172: 0.0028770281514220192
Position 83: 0.0025090305625495783
Position 3875: 0.0023247130017455104
Position 214: 0.0020438203121332763
Position 1024: 0.0015463851697948893
Position 303: 0.0015359892565033205
Position 2503: 0.0015094077083248306
Position 3393: 0.001084059633721304
Position 2305: 0.001019752332949945
Position 477: 0.0009851743732463038
Position 3289: 0.0008993772278248076
Position 752: 0.0005570702871275769
Position 238: 0.000545570499965491
Position 281: 0.0005445791149585598
Position 3324: 0.0004458617895775856
Position 2548: 0.00043980764191811064
Position 703: 0.00033231049129175136
Position 2569: 0.00032384234676487904
Position 2572: 0.0003043267288919377
Position 2586: 0.00026648696006166935
Position 3915: 0.00023150944421940737
Position 910: 0.0001936559388561076
Position 455: 0.0001915733279232181
Position 3687: 0.00017859565600066105
Position 1045: 0.0001584539061072622
Position 619: 0.00012324711496640022
Position 136: 0.000122240879887458
Position 3455: 0.0001091693365675128
Position 1034: 0.00010737856450989364
Position 700: 0.00010669706789979924
Position 126: 0.00010446586482361955
Position 506: 9.945278535117779e-05
Position 530: 8.140243155339056e-05
Position 765: 7.805328306760375e-05
Position 3910: 5.400480192790773e-05
Position 3919: 3.7209089875266947e-05
Position 300: 3.574386647114491e-05
Position 62: 2.8579550288263896e-05
Position 91: 2.6387231591585038e-05
Position 345: 2.3899615731893595e-05
Position 3889: 2.3476172701492986e-05
Position 3967: 9.283086478763738e-06
Position 324: 6.643972435481281e-06
Position 3714: 6.556983093634161e-06
Position 3696: 3.023513598145335e-06
Position 348: 2.232542935619729e-06
Position 572: 1.673198670004429e-06
Position 1122: 1.0858782956775416e-06
Position 517: 3.312459933327898e-07
Position 708: 2.0180712397740069e-07
Position 154: 3.2503774585335543e-10
