Gene = nop5
index = 1821
Annotated 5SS: [1403]
Annotated 3SS: [1580]
SMsplice 5SS: [1403]
SMsplice 3SS: [1580]
top_k =  100
Partition function (log Z): -5.100801411896528

Sorted 5' Splice Sites (High to Low Probability):
Position 1403: 0.9876322103041
Position 333: 0.08586777740832512
Position 692: 0.025579791075915032
Position 1862: 0.0214749370617539
Position 901: 0.014106069778820769
Position 697: 0.01234742956496307
Position 1520: 0.006075950203695923
Position 532: 0.005481416238768034
Position 947: 0.005277089488335806
Position 1842: 0.004853454797380078
Position 444: 0.003583181668101754
Position 862: 0.0030374072966659667
Position 834: 0.002311590808255682
Position 905: 0.001755392211539025
Position 50: 0.0013250741005490206
Position 449: 0.0012751473065690392
Position 204: 0.0012312436856596694
Position 1908: 0.0008246626563146172
Position 1388: 0.0006637387682717542
Position 1903: 0.0006336099193618439
Position 761: 0.0005931812142835099
Position 1866: 0.0005258640286695664
Position 1431: 0.00041241223217875823
Position 1827: 0.00031984980927293597
Position 1379: 0.00029521104248478487
Position 1145: 6.1749124179668004e-06
Position 440: 5.004721412518179e-06
Position 520: 2.609905412289119e-06
Position 1173: 2.5971187518662166e-06
Position 556: 1.6058924470868117e-06
Position 381: 7.72813471798381e-07
Position 1150: 4.2455010971924214e-07
Position 765: 4.0820372726878524e-07
Position 321: 2.9974223389959575e-07
Position 386: 2.957000365035165e-07
Position 55: 2.609550396815918e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1580: 0.9636130128299435
Position 996: 0.053961342951462744
Position 962: 0.029940866338086153
Position 1462: 0.021733228770098954
Position 1169: 0.019064671288229924
Position 752: 0.01897642614695801
Position 1958: 0.013619518842794689
Position 1603: 0.012258423213383019
Position 1941: 0.01096339752755443
Position 386: 0.008616081202596784
Position 626: 0.006473337698158959
Position 1551: 0.005281947239489335
Position 1913: 0.003915273939743066
Position 500: 0.0038981583598395615
Position 1124: 0.0019641965270847804
Position 605: 0.0016796029162864452
Position 449: 0.0015086969065642598
Position 120: 0.00132200549095488
Position 819: 0.0012295413561078505
Position 497: 0.0011544359619030913
Position 632: 0.0011386012573681656
Position 584: 0.0009664269545165722
Position 1484: 0.0009283294981265975
Position 1662: 0.0008192134574463094
Position 816: 0.0005714798312552987
Position 1531: 0.0005663651529340105
Position 1584: 0.0004512541983534527
Position 423: 0.0003299475214708724
Position 1629: 0.0003191560473874649
Position 1908: 0.0002189925530501455
Position 1659: 1.1518099129897164e-05
Position 1632: 8.697107016340264e-06
