Gene = Spc105R
index = 1511
Annotated 5SS: [  96  261 1059 5450 5965]
Annotated 3SS: [ 156  312 1134 5511 6023]
SMsplice 5SS: [  96  261 1059 1300 5450 5965]
SMsplice 3SS: [ 156  312 1134 5263 5511 6023]
top_k =  100
Partition function (log Z): 0.05571894117043186

Sorted 5' Splice Sites (High to Low Probability):
Position 96: 0.9879846860890715
Position 261: 0.9712014293167236
Position 1059: 0.964259686745418
Position 1300: 0.9376714199136321
Position 5450: 0.8668203843316161
Position 5965: 0.7434825828572819
Position 794: 0.23241243059855565
Position 1348: 0.05313865884577969
Position 6122: 0.014541773984181461
Position 252: 0.010562224257546757
Position 1038: 0.010352688439671602
Position 3623: 0.009803977458162364
Position 256: 0.0063135019596370625
Position 767: 0.0061357199827634015
Position 265: 0.0036554644933518396
Position 942: 0.0035959223702923602
Position 270: 0.002259089099186399
Position 1063: 0.0021844300341098562
Position 929: 0.0009923418850033459
Position 91: 0.0007847246257407747
Position 100: 0.0005609702477980897
Position 723: 0.00019713357432633882
Position 719: 0.00013773218687835405
Position 770: 0.00012077591084233872
Position 656: 4.903982995270062e-05
Position 52: 2.330540460504999e-05
Position 285: 1.4709310335830224e-05
Position 236: 5.736843403463055e-06
Position 20: 1.6032312441103584e-06
Position 798: 1.0453036754002136e-06
Position 161: 6.043681569188194e-07
Position 166: 3.940165136572512e-07
Position 136: 1.937122946970524e-07
Position 242: 2.520695442598907e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1134: 0.9973102673996863
Position 156: 0.9888372672185771
Position 5511: 0.8561041704791915
Position 6023: 0.7607172077950708
Position 312: 0.6592666961988689
Position 4182: 0.3441076852494433
Position 334: 0.3132138179474306
Position 4953: 0.3058878364719126
Position 3725: 0.22913893401079014
Position 863: 0.18496013938364325
Position 5514: 0.08632013323266534
Position 900: 0.037571516969358995
Position 331: 0.01583068975765361
Position 6192: 0.014541773984181449
Position 6047: 0.011138770758334046
Position 3530: 0.005718567178334732
Position 3533: 0.00476791835675019
Position 5587: 0.00441933339581272
Position 517: 0.0015972888594993429
Position 1104: 0.00145635427125871
Position 869: 0.00107650420571142
Position 1093: 0.0008006384863051686
Position 4416: 0.0007724475705365105
Position 961: 0.0007577438709287352
Position 1888: 0.0007360501831632869
Position 979: 0.00046736829338575836
Position 2679: 0.00041143867571889997
Position 165: 0.00034797324993637873
Position 1459: 0.0003311268023177314
Position 636: 0.00023081965571080206
Position 1913: 0.0001609154559241737
Position 1606: 8.662235395876987e-05
Position 2069: 4.931263765759041e-05
Position 2194: 4.8552798891554335e-05
Position 139: 4.565691547538095e-05
Position 177: 2.9026440716700428e-05
Position 225: 4.153725207364251e-06
Position 242: 1.4674015702637814e-06
Position 127: 8.846257485071928e-07
Position 236: 5.500447403471106e-07
Position 181: 5.289377207910894e-07
Position 186: 1.8566125386570034e-07
Position 88: 4.683740758811798e-08
