Gene = PAPLA1
index = 1352
Annotated 5SS: [  420 22759 22934 23484 23965 24797]
Annotated 3SS: [18859 22818 23006 23545 24020 24864]
SMsplice 5SS: [  420  1378  1636 22759 22934 23484 23965 24797]
SMsplice 3SS: [  588  1438 22464 22818 23006 23545 24020 24864]
top_k =  100
Partition function (log Z): -15.852680317293634

Sorted 5' Splice Sites (High to Low Probability):
Position 420: 0.9891873138159372
Position 1378: 0.9378949159891133
Position 1636: 0.5147873822032555
Position 1640: 0.48516851886244305
Position 1344: 0.05924481833952174
Position 424: 0.006594633260566593
Position 434: 0.004196249559442544
Position 1179: 0.0015521808047739246
Position 97: 0.0006196390495873938
Position 1108: 0.0005790369796974425
Position 116: 3.1722415611764465e-05
Position 76: 2.8873298243481557e-05
Position 438: 1.9830118096234596e-05
Position 5147: 1.969801321690378e-05
Position 103: 1.2837512313224513e-05
Position 2493: 1.2315206140840114e-05
Position 3: 7.3445415777057835e-06
Position 101: 3.8982838553583856e-06
Position 609: 1.9492711845846706e-06
Position 66: 1.8810970483845987e-06
Position 94: 1.0725166866236408e-06
Position 170: 8.759229542730762e-07
Position 208: 5.371866619219722e-07
Position 114: 4.279062726070962e-07
Position 4652: 1.8405818819279342e-07
Position 225: 6.416377489950623e-09
Position 855: 3.606655298276969e-09
Position 242: 1.9043768120266844e-09
Position 2742: 1.7963689269673568e-09
Position 442: 2.418388995308458e-11
Position 458: 1.885533200380921e-11
Position 2352: 1.709537127620178e-11
Position 428: 5.169485240478923e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 18859: 0.9997530592181707
Position 1438: 0.9864512782504159
Position 588: 0.4485381502530911
Position 877: 0.17970328396770077
Position 943: 0.1487388538960544
Position 828: 0.05179433273643321
Position 1230: 0.04129824478338291
Position 777: 0.038933483054875116
Position 761: 0.02597787604205794
Position 1303: 0.02268875428030173
Position 1500: 0.013516878232775927
Position 968: 0.010821119601034601
Position 894: 0.010230596788835958
Position 780: 0.007133419030967934
Position 974: 0.005089013430323714
Position 654: 0.003181845043475032
Position 789: 0.0026258606505484786
Position 698: 0.0021845841175599265
Position 174: 0.00044108533439341814
Position 1213: 0.0003310917512858378
Position 10416: 0.00022482293437753773
Position 186: 0.000143445055850728
Position 170: 4.646371179979556e-05
Position 262: 4.1954684647804025e-05
Position 8882: 2.1184361949867856e-05
Position 135: 1.4835836426524961e-05
Position 5030: 1.1525400048361187e-05
Position 192: 1.1164545839078774e-05
Position 224: 9.736787050284224e-06
Position 4998: 6.36238305684522e-06
Position 4912: 2.250876631331729e-06
Position 1235: 7.843998018338115e-07
Position 5603: 2.590819186556483e-07
Position 4149: 1.769156915537002e-07
Position 5337: 1.4779898592203738e-07
Position 1488: 1.052813112013429e-07
Position 3816: 2.722640099045951e-08
Position 1167: 2.6818412213714087e-08
Position 340: 1.437264834453357e-08
Position 216: 1.2126982968236911e-08
Position 495: 9.336603416224124e-09
Position 2828: 8.857410234239114e-09
Position 334: 7.381166520657508e-09
Position 1696: 6.174814520994177e-09
Position 2768: 2.590938810566985e-09
Position 2618: 1.6138141880791742e-09
Position 2587: 1.018624840053086e-09
Position 2439: 6.709900638145255e-10
Position 568: 5.635317648156384e-10
Position 291: 2.3021553075890101e-10
Position 383: 1.6967813191941207e-10
Position 2208: 1.2910796559391438e-10
Position 2385: 1.2375495476759783e-10
Position 66: 7.731563621117105e-11
