Gene = ldbr
index = 1757
Annotated 5SS: [289]
Annotated 3SS: [343]
SMsplice 5SS: [289]
SMsplice 3SS: [343]
top_k =  100
Partition function (log Z): -4.645999253881019

Sorted 5' Splice Sites (High to Low Probability):
Position 289: 0.9984315031941208
Position 939: 0.1720136455809138
Position 1047: 0.03933382590571119
Position 167: 0.02594967286468286
Position 489: 0.016035825384366383
Position 34: 0.00914551605283981
Position 439: 0.004310761724252194
Position 1041: 0.0018360843599642953
Position 444: 0.0017547138885406226
Position 55: 0.001649125238015356
Position 14: 0.001610702530675294
Position 836: 0.0014263807656088366
Position 1344: 0.0011128208557023359
Position 21: 0.0010997408754545384
Position 603: 0.0006766060823298697
Position 1038: 0.0006746305497786901
Position 763: 0.0006587309165799545
Position 43: 0.0006349939420949186
Position 69: 0.0005540544224382627
Position 293: 0.0002912974723766077
Position 262: 0.00024690464764355114
Position 812: 0.00022512888984294876
Position 618: 0.00019263041455312794
Position 496: 0.00017696171926708627
Position 72: 0.0001636039549835377
Position 569: 0.00015877831279152222
Position 323: 6.0701768941446656e-05
Position 849: 5.436481357774441e-05
Position 469: 3.700020090640883e-05
Position 274: 6.948676665167773e-06
Position 190: 5.337615591154103e-06
Position 196: 4.689384947805506e-07
Position 251: 1.5124779826786185e-07
Position 298: 1.2791200313146475e-07
Position 363: 3.454265653777907e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 343: 0.9779895941002519
Position 1137: 0.1406172733021903
Position 1563: 0.045307237576440215
Position 992: 0.03228185782012116
Position 214: 0.02392154443020771
Position 741: 0.020521996284343168
Position 101: 0.01360716337270252
Position 352: 0.007077948227726388
Position 901: 0.003915452101827334
Position 904: 0.003903201892308712
Position 1117: 0.002620409429648
Position 507: 0.0014279606640836087
Position 1608: 0.001322366441602128
Position 241: 0.0012406384997365606
Position 1361: 0.0012206539537376348
Position 1215: 0.0010676282685046954
Position 1218: 0.000856481132858261
Position 152: 0.0006324163977232669
Position 422: 0.0004817795891240691
Position 110: 0.00022625019858214565
Position 72: 0.0001261112915653027
Position 865: 5.76222893891889e-05
Position 69: 5.494358168936008e-05
Position 166: 3.6398517604154056e-05
Position 592: 9.427290526872336e-06
Position 232: 3.322527529430162e-06
Position 262: 1.0916527000137255e-06
Position 127: 9.743390475072012e-07
