Gene = pkaap
index = 1839
Annotated 5SS: [ 182  583 1912]
Annotated 3SS: [ 309  852 1980]
SMsplice 5SS: [ 182  583 1912]
SMsplice 3SS: [ 309  852 1980]
top_k =  100
Partition function (log Z): -1.1700032784824368

Sorted 5' Splice Sites (High to Low Probability):
Position 182: 0.9742578206160751
Position 1912: 0.9668519557438922
Position 583: 0.9227915066048993
Position 746: 0.04528854110980424
Position 6: 0.014328955915396685
Position 1089: 0.008608595681784197
Position 765: 0.006212234159535774
Position 1902: 0.005614591863856473
Position 148: 0.005195447795348926
Position 688: 0.0032412817273542284
Position 526: 0.0012758308193833083
Position 774: 0.001025896830863288
Position 400: 0.000932393883579838
Position 762: 0.0008289286372735547
Position 2626: 0.000774385439202444
Position 771: 0.0007594932795618187
Position 565: 0.0005496602744352742
Position 2829: 0.0005278606148039844
Position 538: 0.0004608258029902985
Position 239: 0.00045292993873695023
Position 700: 0.00042779686105595156
Position 1844: 0.00040709007077775484
Position 2814: 0.00028070902159820757
Position 535: 0.0002517220773607546
Position 2611: 0.00024826090188730175
Position 2491: 0.0002401088025229501
Position 186: 0.00023847191595559083
Position 727: 0.00023499825648276378
Position 661: 0.00022654789779382015
Position 532: 0.00021460418118429198
Position 604: 0.00021294819439185493
Position 529: 0.00013193326063640638
Position 156: 0.00010505230422906704
Position 2421: 8.040167552255729e-05
Position 89: 7.052562773467656e-05
Position 2344: 5.8265729282868414e-05
Position 2084: 4.563999781154271e-05
Position 2779: 3.590173097651896e-05
Position 2376: 3.244878722789298e-05
Position 365: 2.4551298939820752e-05
Position 387: 1.8316451017752207e-05
Position 54: 1.045300695558061e-05
Position 215: 9.903051868773818e-07
Position 621: 5.595661482337625e-07
Position 1506: 1.1240416065675338e-08
Position 1829: 6.4726102423051856e-09
Position 267: 1.1903451847933557e-09
Position 287: 4.1714885763737436e-11
Position 294: 2.00206051375082e-12
Position 316: 1.6388216030621586e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 309: 0.9735349774551706
Position 852: 0.889451685961097
Position 1980: 0.8408885506742516
Position 2009: 0.13035462098128778
Position 1140: 0.0625048176617716
Position 659: 0.013594693586859635
Position 89: 0.012519989019757104
Position 1715: 0.006968820066677823
Position 1531: 0.0057520080499973885
Position 953: 0.0054389934697176645
Position 2900: 0.0037920988812983982
Position 1721: 0.003421156190635655
Position 691: 0.0032578311309698726
Position 935: 0.001998152731032201
Position 2740: 0.001895891794798749
Position 448: 0.0016342836726125584
Position 1077: 0.0015054053131014714
Position 2108: 0.0008061687501061718
Position 2088: 0.0007738501498964678
Position 1961: 0.0006688436035488788
Position 363: 0.0006157095504253778
Position 1281: 0.000506888684161042
Position 2060: 0.000422433224267593
Position 1271: 0.0003035165842908021
Position 325: 0.0002951995194304824
Position 2225: 0.00017452438924891802
Position 474: 0.00010617596178089082
Position 107: 0.0001031781716989077
Position 471: 9.4297857757583e-05
Position 462: 6.94710395967095e-05
Position 322: 6.134839474215128e-05
Position 714: 3.171079573869828e-05
Position 138: 1.8898790553089098e-05
Position 116: 7.585391092339784e-06
Position 113: 3.2959143691766042e-06
Position 1103: 2.0975102721082206e-07
Position 408: 9.317079024594426e-08
Position 171: 4.736005114387892e-08
Position 504: 2.1738548665418305e-08
Position 153: 5.400697236608889e-09
Position 173: 2.4628314679954403e-09
Position 201: 2.2405527775855485e-10
Position 144: 8.682149863053777e-11
