Gene = BHD
index = 43
Annotated 5SS: [1252 1444]
Annotated 3SS: [1340 1501]
SMsplice 5SS: [1252 1444]
SMsplice 3SS: [1340 1501]
top_k =  100
Partition function (log Z): -3.8236648852973705

Sorted 5' Splice Sites (High to Low Probability):
Position 1252: 0.9788697638479908
Position 1444: 0.9547963047628698
Position 8: 0.07505554151375357
Position 373: 0.05651686149565302
Position 453: 0.014316949390669092
Position 817: 0.003457787139388479
Position 984: 0.0022239532292444093
Position 28: 0.0018974589605942397
Position 1003: 0.0014083256704787773
Position 398: 0.0010906303423648858
Position 1560: 0.0010884859766292503
Position 1421: 0.0006099393923145713
Position 1448: 0.00023042789858426733
Position 960: 0.00022249640389580233
Position 996: 9.405804000494543e-05
Position 518: 7.842832854012649e-05
Position 1217: 7.615472499635133e-05
Position 1435: 3.1552601550892586e-05
Position 1569: 2.2128081069620935e-05
Position 19: 3.1003053002319277e-06
Position 102: 2.2796312908002884e-07
Position 82: 1.0226769296773531e-07
Position 136: 9.522791776400843e-08
Position 191: 8.364326485838097e-08
Position 361: 5.56390355990751e-08
Position 1215: 3.628293765431815e-08
Position 1115: 3.250038743102679e-08
Position 354: 2.9074432587569313e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1340: 0.9409510507772006
Position 1501: 0.9325221168392455
Position 66: 0.049557552527424116
Position 1369: 0.042495524048184304
Position 1146: 0.02806895369676587
Position 75: 0.01961328569461749
Position 1537: 0.016197218028338328
Position 1346: 0.010392483954441336
Position 539: 0.007115192705801567
Position 512: 0.0067887395790457924
Position 1108: 0.005761561158980481
Position 1506: 0.005547853212736032
Position 85: 0.00477296514883087
Position 424: 0.004078974890273433
Position 1043: 0.003824260004903406
Position 1642: 0.002663959075227858
Position 467: 0.002286873804322438
Position 876: 0.001923452455307736
Position 839: 0.0013665875629527576
Position 753: 0.0010405397720177722
Position 485: 0.001034840838390583
Position 929: 0.0008797322565398459
Position 1165: 0.0008743236151957276
Position 989: 0.0005208536600132074
Position 90: 0.000371377200918729
Position 1472: 0.0003502570348542812
Position 856: 0.0003239099373496328
Position 268: 0.0002628269233236451
Position 518: 0.0001209934479369808
Position 1394: 0.00010801975594039722
Position 1414: 9.110955448628669e-05
Position 271: 9.02457450116523e-05
Position 1544: 5.830199520412025e-05
Position 1574: 1.8508585194205566e-05
Position 1648: 1.0437829586615439e-05
Position 161: 5.103990730239091e-06
Position 108: 5.503415491160081e-07
Position 128: 1.664265208452761e-07
Position 206: 1.3513505114668824e-07
Position 87: 8.10992654895835e-08
Position 248: 5.2797810572578284e-08
Position 203: 2.561614068084147e-08
Position 301: 1.198105730626895e-08
