Gene = Plap
index = 1383
Annotated 5SS: [ 138  738 1671 2354]
Annotated 3SS: [ 406  803 1726 2410]
SMsplice 5SS: [ 738 1313 2354]
SMsplice 3SS: [ 834 1726 2410]
top_k =  100
Partition function (log Z): -7.433253612700955

Sorted 5' Splice Sites (High to Low Probability):
Position 738: 0.9734802002844339
Position 2354: 0.646543715599104
Position 1313: 0.47205380680319886
Position 1671: 0.07623667294069285
Position 2337: 0.07027987689743018
Position 3009: 0.0497568687099232
Position 976: 0.040546977561845034
Position 1546: 0.025787234157512447
Position 1143: 0.013915547673071028
Position 138: 0.01373158564886079
Position 1491: 0.009022353621954988
Position 1583: 0.008228302559160997
Position 2877: 0.006541329779524163
Position 3014: 0.005439751533313533
Position 102: 0.005175677575852683
Position 470: 0.004661506751674475
Position 1317: 0.0045130014936022285
Position 753: 0.0032235610091861226
Position 300: 0.0031310963826953198
Position 1845: 0.0029917410883300677
Position 655: 0.002677083140924734
Position 698: 0.0024921645005731422
Position 721: 0.002457898724011272
Position 468: 0.001921226369439492
Position 304: 0.0017506917089897885
Position 1552: 0.0015823043237451723
Position 289: 0.0008209596669986517
Position 6: 0.0007836428862380902
Position 521: 0.0004452229001637227
Position 677: 0.0003729513439705904
Position 649: 0.0003107121856334781
Position 167: 0.0002727492317810002
Position 21: 0.0002546897203622797
Position 758: 0.00018992652947009858
Position 1831: 0.0001666107201728976
Position 640: 9.149353503995621e-05
Position 39: 7.52565277184376e-05
Position 57: 5.802171562112601e-05
Position 882: 4.605561468349437e-05
Position 402: 4.5536896638975e-05
Position 81: 2.0820690907148032e-05
Position 1541: 6.396086397499145e-06
Position 1231: 5.5400878276324275e-06
Position 105: 8.305324198864628e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 2410: 0.7221174172640896
Position 834: 0.646227229907545
Position 1726: 0.5420959793074872
Position 803: 0.2952602536742325
Position 1734: 0.1316323285805365
Position 3065: 0.0647201196507061
Position 540: 0.016891906261002503
Position 1698: 0.009666557843398592
Position 203: 0.005419866024392921
Position 165: 0.0038691959825566395
Position 2957: 0.0037477042476344495
Position 994: 0.003606869855635447
Position 368: 0.003354580520667882
Position 1090: 0.0009513135792724786
Position 1486: 0.0007651869726332641
Position 170: 0.0005476946049279114
Position 406: 0.0004432159076239866
Position 77: 0.00021137609387164344
Position 508: 0.00018941067630636382
Position 415: 0.0001067037968592916
Position 560: 9.2476305825456e-05
Position 190: 7.630361570532161e-05
Position 89: 6.304798292422549e-05
Position 343: 5.203282816384955e-05
