Gene = SuUR
index = 1532
Annotated 5SS: [ 732 1039 1284]
Annotated 3SS: [ 838 1104 1369]
SMsplice 5SS: [ 732 1039 1284]
SMsplice 3SS: [ 838 1104 1369]
top_k =  100
Partition function (log Z): 1.3985585260769153

Sorted 5' Splice Sites (High to Low Probability):
Position 732: 0.9781318647366278
Position 1284: 0.8827986243520717
Position 1006: 0.5042180056663959
Position 1039: 0.4913553114508934
Position 2140: 0.10837925380677549
Position 1288: 0.05146689351324351
Position 1223: 0.013600212321481711
Position 305: 0.013258154746464605
Position 776: 0.010643091667154703
Position 581: 0.00831903831472884
Position 21: 0.008166119150047805
Position 68: 0.0073456862558004665
Position 292: 0.006152806497689028
Position 1689: 0.005473963973926459
Position 707: 0.004391697110522658
Position 1216: 0.0029785350655719463
Position 725: 0.0015191505932885074
Position 1460: 0.0012709235675753192
Position 60: 0.0011899588670643603
Position 179: 0.0011463636077364405
Position 1275: 0.0010083033892429294
Position 1503: 0.0009240024747532838
Position 709: 0.0008555095231000029
Position 934: 0.0007965200046143271
Position 1306: 0.0007349857986612717
Position 1012: 0.0006926519233118094
Position 345: 0.0005885292206821044
Position 320: 0.0005460609002368884
Position 590: 0.0004817423721412886
Position 14: 0.0004566078775054702
Position 437: 0.00044543387369031103
Position 669: 0.0003980111187850069
Position 222: 0.00038735444035311364
Position 918: 0.00038041192559600385
Position 266: 0.0002998318062434701
Position 12: 0.00028548015773780753
Position 770: 0.0002615731311186434
Position 309: 0.00023914256776481947
Position 1137: 7.369386361725467e-05
Position 225: 4.273119581012168e-05
Position 509: 4.109310484412006e-05
Position 7: 3.4002762521920284e-05
Position 1314: 2.989392983405102e-05
Position 1033: 2.40269564511178e-05
Position 1027: 2.100136906737256e-05
Position 481: 1.7079759165301092e-05
Position 635: 1.586803157497984e-05
Position 473: 1.5832082177135038e-05
Position 606: 1.3606583460736194e-05
Position 1025: 1.152090708149157e-05
Position 406: 1.1046715478347254e-05
Position 416: 7.1600975166481565e-06
Position 638: 6.355704595980148e-06
Position 1333: 2.493736997573046e-06
Position 518: 2.2863984050525112e-06
Position 167: 1.7074549810798056e-06
Position 908: 6.453817636959267e-09
Position 139: 1.5700366029991979e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 838: 0.9902398493472163
Position 1369: 0.8658549826408235
Position 1104: 0.8607058837343756
Position 1078: 0.13566477450873526
Position 3338: 0.07807965047646565
Position 2825: 0.02697414629323759
Position 2666: 0.023402769358402582
Position 399: 0.022267499042688797
Position 2613: 0.018399297455223874
Position 3243: 0.016850239479022727
Position 127: 0.014890625325124826
Position 1527: 0.011589251223444725
Position 860: 0.009470775838781111
Position 646: 0.007879045401808475
Position 1569: 0.004895149774051048
Position 1951: 0.0045951080065258
Position 2421: 0.0042027489556274306
Position 2227: 0.003834138146822539
Position 4017: 0.003049690795125802
Position 2428: 0.001984916754016175
Position 1801: 0.0019409166251407577
Position 3973: 0.0018605499097997186
Position 1848: 0.0012950838806617356
Position 1115: 0.00045483790941349973
Position 73: 0.0004331166773842324
Position 1409: 0.00041333550207928713
Position 1204: 0.0003304787746247055
Position 167: 0.00015332862329498482
Position 104: 0.00010169900706337865
Position 706: 8.945503919540624e-05
Position 158: 5.167448545912219e-05
Position 965: 4.196043363641927e-06
