Gene = Ir21a
index = 1235
Annotated 5SS: [ 409 1227 2162 2413]
Annotated 3SS: [ 944 1281 2219 2467]
SMsplice 5SS: [ 409  814 1227 2413]
SMsplice 3SS: [ 513  944 1281 2467]
top_k =  100
Partition function (log Z): -4.665481341253917

Sorted 5' Splice Sites (High to Low Probability):
Position 1227: 0.7469807537018708
Position 2413: 0.6193714970695885
Position 409: 0.6157038133879771
Position 814: 0.3761394634019111
Position 248: 0.36670201197458263
Position 713: 0.26262116187876894
Position 2162: 0.18058710751119572
Position 604: 0.16362340526481964
Position 2172: 0.08903000154763238
Position 2628: 0.040976341858000614
Position 1667: 0.040066982680540625
Position 1345: 0.0169414460934046
Position 161: 0.016370642460875367
Position 259: 0.014877384726914045
Position 608: 0.012207407080977633
Position 825: 0.011046605884609014
Position 233: 0.010710647093910407
Position 1422: 0.007561590879003216
Position 1179: 0.006601814575006968
Position 300: 0.004998109460546486
Position 626: 0.003036499443835403
Position 1676: 0.002965879512178067
Position 153: 0.0005487767111989515
Position 19: 9.823003412422824e-05
Position 143: 9.49197617101037e-05
Position 295: 9.283408496398924e-05
Position 304: 3.2494047904794725e-05
Position 92: 2.20424741751172e-05
Position 145: 1.9887872499261948e-05
Position 90: 9.25270985491363e-06
Position 252: 8.534098333881114e-06
Position 324: 1.7673397437208954e-06
Position 28: 1.02366464002538e-07
Position 77: 7.322323458005929e-08
Position 6: 3.8306154882766574e-09
Position 194: 3.187680084937394e-10
Position 177: 6.585353481567658e-11
Position 182: 1.743525340130423e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 944: 0.9024011125708784
Position 1281: 0.7467391549613128
Position 513: 0.7369467546106788
Position 2467: 0.6281113054187649
Position 2219: 0.24276687709864891
Position 475: 0.06493741354051993
Position 738: 0.05117250032608161
Position 881: 0.04500371120301575
Position 2708: 0.04097634185800065
Position 1744: 0.03521482956152063
Position 2529: 0.024429245654626234
Position 1492: 0.024392968607588775
Position 214: 0.015763085363188482
Position 322: 0.008553561593503057
Position 394: 0.008180642561924838
Position 1410: 0.006403468587719038
Position 282: 0.00600678212804463
Position 668: 0.00578611300291336
Position 362: 0.004413999190371599
Position 654: 0.0031151993748825242
Position 747: 0.002977483351232477
Position 1450: 0.002005030025087132
Position 2065: 0.001499210587574357
Position 1284: 0.001490652014018563
Position 324: 0.0004155468442726006
Position 625: 0.00017315961487094408
Position 635: 0.0001560117824700034
Position 224: 7.445021797959001e-06
Position 133: 3.826371397645158e-06
Position 279: 3.682189115119737e-06
Position 396: 1.3857601375762486e-06
Position 68: 6.903093351320218e-07
Position 61: 2.9484082971121953e-07
Position 90: 5.187040562739271e-10
