Gene = Mdr65
index = 1275
Annotated 5SS: [ 117  746 1267 1491 1866 2382 2537 2994 3759 4112 4541]
Annotated 3SS: [ 425 1020 1318 1550 1924 2435 2605 3049 3814 4173 4600]
SMsplice 5SS: [ 746 1267 1491 1866 2382 2537 2994 3759 4112 4541]
SMsplice 3SS: [1020 1318 1550 1924 2435 2605 3049 3814 4173 4600]
top_k =  100
Partition function (log Z): 24.336378020913063

Sorted 5' Splice Sites (High to Low Probability):
Position 2537: 0.9968658781878978
Position 1491: 0.9957933263296064
Position 3759: 0.9904173287459056
Position 2382: 0.9803932984899852
Position 1267: 0.9675665233025562
Position 4541: 0.9516029258204296
Position 1866: 0.8890579124041532
Position 4112: 0.8731720021877442
Position 2994: 0.7678868951875893
Position 746: 0.6609523659234792
Position 858: 0.38153405371802596
Position 2960: 0.19145128013169696
Position 4084: 0.058116244724104
Position 4463: 0.03260053463460178
Position 117: 0.029723815112805238
Position 2756: 0.02869523205748857
Position 4040: 0.024125519296874152
Position 652: 0.023761303263898758
Position 174: 0.02034949979557254
Position 1793: 0.01971685537572404
Position 2070: 0.01902473475870825
Position 736: 0.01667805246135809
Position 2781: 0.015913948468569784
Position 4646: 0.01589272588559381
Position 762: 0.014751849525853747
Position 733: 0.013385345356950278
Position 2862: 0.013013416058296005
Position 4066: 0.011614519620651955
Position 2787: 0.010433916042688377
Position 3433: 0.010092690985417086
Position 1841: 0.008841890817518395
Position 2147: 0.008084828932248902
Position 514: 0.006445718953874534
Position 2927: 0.0057400502519722495
Position 2204: 0.0047104255517246025
Position 74: 0.004503699554590698
Position 3255: 0.0036492120260792726
Position 3969: 0.0033603999423685122
Position 2345: 0.002793127457797491
Position 922: 0.002615999061172993
Position 7: 0.002261469677830069
Position 356: 0.0019344794753494068
Position 3742: 0.0017868785799346025
Position 4076: 0.0017854556793748854
Position 1262: 0.0014549994468201649
Position 1218: 0.001342881940124436
Position 4892: 0.0013063943547396881
Position 333: 0.001302510604080165
Position 1356: 0.0012895914436485759
Position 3377: 0.001255171276093419
Position 2801: 0.0009630158035703244
Position 3559: 0.0009095347087271433
Position 2254: 0.0009004836729878627
Position 842: 0.0008245522767672698
Position 2832: 0.000721542219854737
Position 1271: 0.0006508110782375235
Position 2910: 0.0005448396897307079
Position 4477: 0.00046335696927642545
Position 2308: 0.00042582009796064257
Position 3733: 0.0003410464402616378
Position 1440: 0.0003391866762485706
Position 3963: 0.000286845914486405
Position 328: 0.0002672430776003842
Position 4512: 0.00026121434276091244
Position 4957: 0.0002606000122279244
Position 3771: 0.0001913648800335574
Position 33: 0.00018225580014430407
Position 181: 0.00016545414543355183
Position 1166: 0.0001420462831165619
Position 299: 0.00013761367041146844
Position 2323: 0.0001344801689854253
Position 2349: 0.00013145106359615955
Position 785: 0.00012811221077298633
Position 247: 0.00011927739083904535
Position 1638: 0.00010452263607433322
Position 750: 9.863055507143308e-05
Position 668: 9.703662669286115e-05
Position 2027: 8.896140437407381e-05
Position 1377: 7.095826342547878e-05
Position 1461: 6.781570997210696e-05
Position 196: 5.991387724131028e-05
Position 5085: 5.9225441640321566e-05
Position 2153: 4.511638040000448e-05
Position 2097: 4.2272667557717036e-05
Position 1668: 1.5902625702291928e-05
Position 3681: 1.3170537347375676e-05
Position 3710: 4.588691077263662e-06
Position 4374: 3.0154918894815678e-06
Position 3537: 2.3402592146013357e-06
Position 3517: 2.1474816581916805e-06
Position 391: 1.8136224788980638e-06
Position 4359: 1.53870791232072e-06
Position 1827: 1.4334601850467793e-06
Position 297: 1.3365929473843024e-06
Position 103: 1.2727531646643015e-06
