Gene = RhoGAP71E
index = 1423
Annotated 5SS: [ 1137 11758 12012 12436 16421]
Annotated 3SS: [11555 11827 12372 15975 17798]
SMsplice 5SS: [ 1137 11758 12012 12436]
SMsplice 3SS: [11555 11827 12372 19383]
top_k =  100
Partition function (log Z): 2.8902451208792366

Sorted 5' Splice Sites (High to Low Probability):
Position 11758: 0.9992656375267545
Position 12012: 0.9902943630736745
Position 12436: 0.9740426299788616
Position 1137: 0.8984007096179535
Position 417: 0.28446275784444663
Position 13656: 0.19348843891219109
Position 10241: 0.021159821280120335
Position 206: 0.017094155383511594
Position 435: 0.016041250840664878
Position 15258: 0.014957521263850158
Position 1884: 0.014812527459386202
Position 6641: 0.006675725023603394
Position 12078: 0.0062042829538994145
Position 1932: 0.006146999013305496
Position 1876: 0.005615793086533054
Position 826: 0.004491012974996697
Position 60: 0.003031096451535122
Position 799: 0.0014934326786642323
Position 11936: 0.0012577877443594886
Position 291: 0.0011869917129215027
Position 12557: 0.0008132698463046458
Position 14355: 0.0008079756254472417
Position 11767: 0.0007027629660975478
Position 910: 0.0006327789965867677
Position 67: 0.0004905483342098978
Position 12296: 0.00045149535354762423
Position 12559: 0.00038747065975734197
Position 12553: 0.0003021266837901183
Position 421: 0.0002578822182535346
Position 12304: 0.0002554463443582555
Position 12451: 0.0002512609010683002
Position 11989: 0.00022709096554775074
Position 1152: 0.00022220464325643815
Position 739: 0.00021813288344629236
Position 12561: 0.00021636211174334854
Position 12465: 0.0002131848608498016
Position 742: 0.00020053031817163873
Position 462: 0.00012839391131258212
Position 11965: 0.00011907919215745827
Position 12034: 0.00011403437762773312
Position 12563: 0.0001011976491486675
Position 12699: 7.80673979568025e-05
Position 12281: 6.637844491594574e-05
Position 12048: 5.8290129388924e-05
Position 1197: 5.257054814794185e-05
Position 1540: 4.6330013463948874e-05
Position 12016: 3.785436838174573e-05
Position 1220: 3.42069994919172e-05
Position 11751: 3.004060719952932e-05
Position 11947: 1.819707149805737e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 11555: 0.9999061065144658
Position 11827: 0.9977246037518428
Position 12372: 0.9352895265449666
Position 19383: 0.5181591399071511
Position 18754: 0.20938038072533874
Position 519: 0.13400104637836668
Position 17798: 0.12169516715614898
Position 12606: 0.08387502481546481
Position 12774: 0.07669782722970772
Position 20134: 0.0647924488191491
Position 12198: 0.04677761953402573
Position 966: 0.04606365124679247
Position 15320: 0.027536949613297914
Position 1694: 0.02657531955922474
Position 15141: 0.02154178894819329
Position 10085: 0.02125225642546847
Position 17823: 0.015997869309544936
Position 498: 0.011378797663935169
Position 476: 0.008849021999786936
Position 16196: 0.008586396499517333
Position 17587: 0.00804676307295901
Position 13804: 0.007148327155508977
Position 6082: 0.006675725023603395
Position 462: 0.006238458717972338
Position 13163: 0.005898842548009517
Position 12680: 0.00563189717430151
Position 12296: 0.005225379905580242
Position 933: 0.0050693137397862745
Position 798: 0.004904743833638596
Position 12301: 0.003704829021560981
Position 12125: 0.0034662005502438913
Position 648: 0.0033557643799105464
Position 124: 0.0029291680588432985
Position 15440: 0.0025243711013947547
Position 16532: 0.00245567507639059
Position 1016: 0.0021375060824088228
Position 11848: 0.0019388427317052746
Position 13166: 0.0018496690818362682
Position 15144: 0.0018024988008370965
Position 695: 0.001757409406556231
Position 12239: 0.0017046584411630791
Position 12817: 0.0015282184218709896
Position 13127: 0.001464917010116981
Position 543: 0.0009964152244437315
Position 14416: 0.0008079756254472414
Position 1067: 0.0008028556793758833
Position 14044: 0.0006955455300438335
Position 11839: 0.0002392203101085625
Position 12254: 0.00019068103972191112
Position 13739: 9.460326223590206e-05
Position 12314: 7.926504657425558e-05
Position 12104: 6.379643951017847e-05
Position 11921: 6.017142031688568e-05
Position 12202: 3.729521331548698e-05
Position 11863: 1.8751129421030984e-05
Position 12171: 1.1032181407661476e-05
Position 12637: 1.07666337144235e-05
Position 12109: 4.565321983302722e-06
Position 12398: 3.963569633989463e-06
Position 11935: 2.3967930065513614e-07
Position 1360: 2.3487618360431478e-07
Position 1267: 1.2143383148751576e-07
Position 524: 1.0654113644561652e-07
Position 888: 1.0043362282622989e-07
Position 1311: 7.039740280671096e-08
Position 601: 6.382606829576956e-08
Position 635: 5.586950644006468e-08
Position 822: 4.4789624961331426e-08
Position 652: 2.2547654574375665e-08
Position 716: 1.3244187988521e-08
