Gene = TrissinR
index = 1566
Annotated 5SS: [ 1246 21949 24483 26256 27028 27823 28895 29255 32315]
Annotated 3SS: [21300 24337 26095 26826 27471 28879 28988 32094 32399]
SMsplice 5SS: [ 1246 10397 21949 24483 26256 27028 28895 29255 32315]
SMsplice 3SS: [10219 21300 24337 26095 26826 27471 28988 32094 32399]
top_k =  100
Partition function (log Z): -7.5160152573082675

Sorted 5' Splice Sites (High to Low Probability):
Position 27823: 0.9999961741132093
Position 32315: 0.9908142462521574
Position 29255: 0.9855427112002443
Position 10397: 0.8384702696396423
Position 21949: 0.5010872863174847
Position 30028: 0.4853785393809342
Position 1246: 0.4816488047435577
Position 149: 0.475736827740092
Position 21372: 0.35200627026397513
Position 83: 0.04261436751635376
Position 32635: 0.03045095493951054
Position 1075: 3.2672128579029414e-16
Position 406: 1.7174154794973226e-16
Position 8028: 1.0834244410805295e-16
Position 209: 8.402065378401831e-17
Position 413: 6.59995629620152e-17
Position 390: 5.85832363967646e-17
Position 219: 5.553168284108638e-17
Position 862: 3.825407821611813e-17
Position 274: 2.5609152262396963e-17
Position 570: 1.3511352136511473e-17
Position 331: 7.941405482017978e-18
Position 230: 4.564090377334161e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 27471: 0.9999999999999664
Position 28988: 0.9999961741132093
Position 32094: 0.9538945756179613
Position 32399: 0.951823303137223
Position 21300: 0.8530935565814605
Position 10219: 0.8384702696396638
Position 29342: 0.46193426679444705
Position 31327: 0.04423308110270302
Position 32705: 0.029424916492564398
Position 32366: 0.021076937993955977
Position 32378: 0.011231564540940864
Position 29645: 0.01072715207268697
Position 32543: 0.003920677474815204
Position 32444: 0.0027617631052225342
Position 32723: 0.0010260384469461107
Position 30255: 0.00013217499337963843
Position 11571: 1.2782973829971336e-14
Position 783: 3.0332291332239557e-15
Position 1141: 4.3919231953253327e-16
Position 1104: 1.862070849434119e-16
Position 213: 1.3083455933089865e-16
Position 920: 1.2320355386467813e-16
Position 548: 1.1465471943807452e-16
Position 7705: 1.0834244410805295e-16
Position 8077: 1.0834244410805295e-16
Position 786: 9.782318660915246e-17
Position 288: 5.60133530046395e-17
Position 861: 5.1930255940924535e-17
Position 6853: 5.0236876416945745e-17
Position 1131: 3.23080776461232e-17
Position 3842: 1.711833252067133e-18
Position 2077: 3.9474174369784853e-19
Position 2138: 2.457236511858868e-19
Position 1782: 2.0647217458743334e-19
Position 1727: 1.595344352742274e-19
Position 1559: 1.3454845637159078e-19
Position 1543: 4.2558088578595266e-20
Position 1328: 2.488317785903657e-20
Position 1061: 2.0138659723070733e-21
Position 538: 1.1306231152073695e-21
Position 413: 7.514938297518167e-22
Position 971: 6.870008251582913e-22
Position 1218: 3.4386744650609524e-22
Position 299: 1.9206892954149884e-22
