Gene = Pi3K21B
index = 1379
Annotated 5SS: [ 524 2039]
Annotated 3SS: [1152 4145]
SMsplice 5SS: [ 524 2039 4823]
SMsplice 3SS: [1152 4145 4883]
top_k =  100
Partition function (log Z): -8.360504364210998

Sorted 5' Splice Sites (High to Low Probability):
Position 2039: 0.9890950383720953
Position 524: 0.5326517353824528
Position 190: 0.29156393753866444
Position 3252: 0.25222261240857596
Position 194: 0.25037237228904025
Position 995: 0.06373163226132235
Position 365: 0.057991845148951955
Position 304: 0.05323618144223657
Position 75: 0.02794161470771589
Position 3134: 0.017870996936704756
Position 688: 0.014613480237800652
Position 278: 0.008594387351370815
Position 2670: 0.006792696353430844
Position 90: 0.006246667199809566
Position 1412: 0.003434753846273255
Position 286: 0.0009099765746051697
Position 243: 0.0008508381240208909
Position 565: 0.0008128330127523465
Position 669: 0.0005777379321945415
Position 2030: 3.28813727818315e-05
Position 77: 2.9972592926874615e-05
Position 404: 2.944337497734537e-05
Position 407: 1.120836015728414e-05
Position 136: 2.17721810652941e-06
Position 18: 4.1980701117442077e-07
Position 40: 1.759617660312946e-07
Position 113: 2.175137032111866e-08
Position 110: 1.298148329500901e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1152: 0.992594609911052
Position 4883: 0.42471399262910026
Position 243: 0.2740636951566008
Position 3009: 0.24001392169149033
Position 4145: 0.1521115809203162
Position 7149: 0.1476115215264151
Position 7350: 0.0735956070114604
Position 3410: 0.06095666613594091
Position 2100: 0.04019057159147919
Position 4103: 0.02574247801462317
Position 850: 0.020822805485071292
Position 4197: 0.01828008809411413
Position 3553: 0.014111399803524806
Position 3357: 0.012304446717957563
Position 4849: 0.009628154366028333
Position 253: 0.008473583080253706
Position 2867: 0.008215861144859223
Position 3962: 0.007457073135879114
Position 2130: 0.007359966039926511
Position 2669: 0.007050159052879136
Position 3072: 0.00602819645071993
Position 796: 0.005845085101463033
Position 3192: 0.0048006099507358615
Position 2162: 0.003930296375513117
Position 1193: 0.0028218455645833813
Position 1766: 0.002496844841609086
Position 147: 0.002060859833339446
Position 470: 0.0018528893967387364
Position 3379: 0.0014660458226918851
Position 426: 0.0008524148732362676
Position 1745: 0.0005616669561822367
Position 121: 0.0004811680718818267
Position 2919: 0.0004455889679332312
Position 302: 0.0002729688413245303
Position 1472: 0.00019713634037995788
Position 1475: 0.00017910570810197515
Position 958: 2.4296795425112698e-05
Position 340: 1.2255254143549486e-06
Position 438: 1.1370030842090785e-06
Position 180: 7.492764934815643e-08
Position 190: 2.83168902811341e-13
