Gene = Dh31
index = 1132
Annotated 5SS: [   53   211 13102 13879]
Annotated 3SS: [  138 12992 13752 14042]
SMsplice 5SS: [  211 13099 13879]
SMsplice 3SS: [12992 13752 14042]
top_k =  100
Partition function (log Z): -1.2663967351705823

Sorted 5' Splice Sites (High to Low Probability):
Position 211: 0.9997580058907769
Position 13879: 0.9968839886476896
Position 13099: 0.8504739681922348
Position 2204: 0.08124534870671098
Position 1600: 0.05931196691168878
Position 3334: 0.03772889000289453
Position 1035: 0.029059638660376697
Position 44: 0.02620878590473068
Position 8190: 0.021420734986603258
Position 53: 0.015839724987155843
Position 14554: 0.0119597350538393
Position 74: 0.005749536836574722
Position 14608: 0.00450513560157134
Position 14229: 0.003553855686696148
Position 14303: 0.0012505418357241596
Position 13883: 0.0012398370140467999
Position 14641: 0.0012364119609708615
Position 38: 0.0011698696765297654
Position 14216: 0.0006017510904603752
Position 14317: 0.0005103375216120523
Position 14210: 0.00039446658981416783
Position 28: 0.00034576837672599755
Position 23: 0.00012323892387023733
Position 1737: 7.78347463203979e-05
Position 373: 5.999726606480988e-05
Position 498: 4.250584030586557e-05
Position 6: 3.573842351810825e-05
Position 572: 1.769068126097049e-05
Position 710: 1.077726263737518e-05
Position 12: 9.459193993516847e-06
Position 565: 8.408434973962615e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 14042: 0.9980172960404284
Position 12992: 0.9492453759378785
Position 13752: 0.8432266310570391
Position 2044: 0.05917523994087867
Position 138: 0.0493718561798901
Position 864: 0.04835280720824096
Position 13412: 0.03598444598688702
Position 3194: 0.024407741342338772
Position 7674: 0.021420734986603258
Position 1301: 0.017648900965741406
Position 1870: 0.010279091099479007
Position 829: 0.00912450872725378
Position 13390: 0.00895275071270374
Position 549: 0.0089471191030693
Position 438: 0.0076260324252049455
Position 14679: 0.006739094209906684
Position 13209: 0.006180994788135191
Position 3231: 0.0060513096012036445
Position 14606: 0.006041338556603777
Position 3257: 0.005541019199684376
Position 13141: 0.005007595371327713
Position 756: 0.003953707841131335
Position 14790: 0.0027345777150814972
Position 14380: 0.0027085795294515846
Position 14406: 0.002518282917434566
Position 14640: 0.0021862721347895337
Position 1166: 0.0021724659853849184
Position 1508: 0.0021327090446659432
Position 406: 0.00165655032563798
Position 14276: 0.001647883183019775
Position 13943: 0.0007467660640204301
Position 14503: 0.00040630906384755066
Position 13973: 0.00026583586247360633
Position 1683: 0.00018947355355849747
Position 629: 5.4087486486294065e-05
Position 1199: 2.867253537803115e-05
Position 898: 2.4504192976952107e-05
Position 1353: 2.1489292976036982e-05
Position 352: 1.8644117787644824e-05
Position 1234: 1.6932271148869572e-05
