Gene = MCU
index = 1255
Annotated 5SS: [  132  1212 11681 12102 40098 40262 40423 40680]
Annotated 3SS: [ 1025 11583 11828 39865 40155 40320 40475 40740]
SMsplice 5SS: [ 1212 11681 12102 40098 40250 40423 40680]
SMsplice 3SS: [11583 11828 39865 40155 40320 40475 40740]
top_k =  100
Partition function (log Z): -28.1686965399171

Sorted 5' Splice Sites (High to Low Probability):
Position 12102: 0.9999999720549319
Position 11681: 0.979270469634789
Position 1212: 0.693473494038313
Position 529: 0.3065265059616668
Position 11685: 0.014175204850155514
Position 11689: 0.006554325494018104
Position 2324: 1.8935214732856914e-14
Position 2902: 1.6488467426404575e-14
Position 2129: 1.492110093852986e-14
Position 2133: 1.2156676703232903e-14
Position 3975: 8.267941388269986e-15
Position 1429: 6.777072389815391e-15
Position 2107: 8.631702172185456e-16
Position 235: 4.1982727230190663e-16
Position 883: 3.438651614127243e-16
Position 520: 2.3633838187944055e-16
Position 1372: 1.3484478580271913e-16
Position 823: 6.568083909007074e-17
Position 1304: 4.906313773411701e-17
Position 132: 8.702110579452112e-18
Position 393: 1.1692532430120707e-18
Position 376: 1.1465192442809272e-18
Position 592: 7.904924544860512e-19
Position 141: 7.003062261491095e-19
Position 99: 4.891731655801501e-19
Position 218: 4.370567261081237e-19
Position 4: 3.7319363443644144e-19
Position 267: 3.6788227518839595e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 11583: 0.99999999999996
Position 30737: 0.9617933682962522
Position 11828: 0.6099084553054744
Position 11753: 0.38349550285368045
Position 28306: 0.028535794417924556
Position 26875: 0.009667183744069248
Position 11728: 0.0036872179871972636
Position 11915: 0.0029088087443676445
Position 20116: 1.672624179544777e-06
Position 19583: 1.2291351717615152e-06
Position 19603: 5.060568813286576e-07
Position 17862: 1.017145273446886e-07
Position 15939: 3.613637423214343e-08
Position 17467: 2.924626960606959e-08
Position 16014: 2.5916137862196047e-08
Position 15482: 1.3429633201523973e-08
Position 16532: 9.819606754814888e-09
Position 15540: 8.129733538226999e-09
Position 14542: 2.990372303341803e-09
Position 12254: 1.620417529674732e-09
Position 12722: 1.107800371775575e-09
Position 12661: 7.780018962416482e-10
Position 12362: 4.831592574495257e-10
Position 12551: 3.7853040238590374e-10
Position 12289: 2.8614327001798574e-10
Position 13243: 2.0838584638123768e-10
Position 12852: 1.6273250349057597e-10
Position 13082: 1.266731418384316e-10
Position 12193: 1.0727985048710405e-10
Position 12130: 8.054812026194e-11
Position 12157: 7.909575936806071e-11
Position 12469: 6.727593537065048e-11
Position 2201: 1.8631587533611852e-14
Position 1547: 1.7858917250842847e-14
Position 2984: 1.4410513495516428e-14
Position 2386: 1.1646339798061353e-14
Position 2214: 8.556691837215218e-15
Position 4039: 8.267941388269986e-15
Position 2378: 7.034133295400916e-15
Position 3660: 5.596668136990809e-15
Position 2964: 4.92597530984629e-15
Position 1512: 3.1752189375430554e-15
Position 2050: 1.5108160831478243e-15
Position 1501: 9.378879576574526e-16
Position 1853: 7.173939392977886e-16
Position 302: 1.8969767840055908e-16
Position 1048: 1.77670955501863e-16
Position 1025: 9.84432544734072e-17
Position 1060: 8.795464222852309e-17
Position 693: 7.465710583607654e-17
Position 1072: 2.7490815085781963e-17
Position 943: 2.3457300938134832e-17
Position 1083: 2.280466636955886e-17
Position 478: 1.2918155052102616e-17
Position 1108: 1.2793243404410778e-17
Position 854: 8.501474697738489e-18
Position 458: 4.129048435613568e-18
Position 192: 3.850279277332376e-18
Position 1102: 2.922493409038838e-18
Position 660: 2.4051996437513594e-18
Position 882: 2.0377047031673857e-18
Position 1249: 1.7883690140189093e-18
Position 1291: 1.6501321745300224e-18
