Gene = Tdrd3
index = 1549
Annotated 5SS: [  91  228 2423]
Annotated 3SS: [ 142  301 2527]
SMsplice 5SS: [  91  228 2423 2807]
SMsplice 3SS: [ 142  301 2527 2868]
top_k =  100
Partition function (log Z): 7.214599900012257

Sorted 5' Splice Sites (High to Low Probability):
Position 228: 0.9942757893892998
Position 91: 0.9888497490332104
Position 2423: 0.9837592796790585
Position 2807: 0.8520463640862951
Position 1218: 0.051238008589725735
Position 366: 0.03357240086000828
Position 1622: 0.009668799411975293
Position 2448: 0.0060592028406132965
Position 724: 0.005802580539626572
Position 2606: 0.004616148704441577
Position 1922: 0.004354320798123692
Position 2462: 0.003217560266381491
Position 235: 0.002645852918631283
Position 2456: 0.0017898442322125175
Position 383: 0.0017137058618525978
Position 1064: 0.0009697081520826347
Position 2826: 0.0006015967772498383
Position 926: 0.0005298191233212314
Position 2404: 0.0004005287706742134
Position 1046: 0.00037866969115412546
Position 2433: 0.0003751261773170253
Position 88: 0.0003107944678766343
Position 2817: 0.0002804158074125229
Position 2427: 0.0002009563040841927
Position 210: 0.00019873348869883686
Position 95: 0.00015471240869283282
Position 232: 0.00014066999789051737
Position 1890: 0.00010935628377967141
Position 2765: 0.00010680070499318471
Position 83: 9.267993251563521e-05
Position 2615: 8.02216444953415e-05
Position 1381: 6.452680739939314e-05
Position 2745: 3.243618961544387e-05
Position 1430: 2.4329100994289466e-05
Position 1953: 2.108912478924723e-05
Position 1434: 1.2499095720999959e-05
Position 2771: 8.535686440595021e-06
Position 21: 1.0762506509248453e-07
Position 42: 7.245979369126232e-08
Position 687: 5.872281311197693e-08
Position 465: 5.4335421735310805e-08
Position 28: 4.205974737597538e-08
Position 143: 3.070037164844008e-08
Position 392: 2.8691488478616578e-08
Position 390: 2.7713812152638208e-08
Position 1599: 2.5602254009159736e-08
Position 198: 2.112674566391414e-08
Position 110: 6.941537792537818e-09
Position 183: 1.599681166366391e-09
Position 11: 9.908543815488459e-10
Position 171: 5.677991187530881e-10
Position 1133: 7.93007491326028e-11
Position 264: 6.058573451774109e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 2527: 0.9968435254885619
Position 142: 0.9858739806593522
Position 301: 0.9773981392310621
Position 2868: 0.8532293488759002
Position 1297: 0.08332963347805855
Position 2095: 0.0188602944294816
Position 1684: 0.010070759043770961
Position 2649: 0.005192268121235624
Position 1343: 0.004471590024611983
Position 781: 0.0037111316636835594
Position 180: 0.002369303162360301
Position 1688: 0.001229874668203071
Position 2542: 0.0009875108739615653
Position 415: 0.0009089036957489596
Position 848: 0.0008461783966057638
Position 153: 0.0007123856694471559
Position 382: 0.00047494121314952065
Position 2671: 0.00045638519940940274
Position 2698: 0.0004436478035869433
Position 454: 0.000323492876738413
Position 613: 0.00025150892237572344
Position 487: 0.00017886318540850672
Position 753: 0.00017309397266084152
Position 2674: 8.239394255398718e-05
Position 2677: 6.338133020597814e-05
Position 2536: 4.773997127987326e-05
Position 2692: 4.371684448529262e-05
Position 2666: 4.033653543636581e-05
Position 2713: 3.967099571474584e-05
Position 2719: 2.3983363317915203e-05
Position 190: 1.3418235196126913e-05
Position 2468: 1.1778248595500073e-05
Position 155: 6.899209731822037e-07
Position 210: 3.1980702835881874e-07
Position 158: 8.065401580294977e-08
Position 305: 1.0003628110919345e-08
Position 194: 5.542636302899066e-09
Position 350: 5.0470803099099674e-09
Position 65: 8.609945228129387e-10
Position 83: 2.1288379680222952e-10
