Gene = Tg
index = 1557
Annotated 5SS: [  479 15079]
Annotated 3SS: [13111 15142]
SMsplice 5SS: [  479 15079]
SMsplice 3SS: [13111 15142]
top_k =  100
Partition function (log Z): -4.392521813962453

Sorted 5' Splice Sites (High to Low Probability):
Position 15079: 0.999058083028775
Position 479: 0.9957568666412957
Position 1699: 0.2424199146345975
Position 7932: 0.13894567425651605
Position 15356: 0.08493531044164032
Position 8184: 0.03996366083983953
Position 9815: 0.03928653635196251
Position 239: 0.003959387413031411
Position 15380: 0.002181426247612578
Position 15408: 0.0017843774774617435
Position 15387: 0.0010849320237976236
Position 15390: 0.0004332849900003412
Position 15398: 0.0004215456629537345
Position 775: 0.00028374596729303047
Position 4493: 8.645093866703903e-10
Position 3024: 3.3317512983924344e-10
Position 319: 2.0484025935639662e-11
Position 1456: 1.5250156919226795e-11
Position 268: 1.3306452888027425e-11
Position 286: 4.753405727644076e-12
Position 1047: 1.4546778283726807e-12
Position 750: 4.5215545055061346e-13
Position 143: 3.6725137591952163e-13
Position 165: 2.360402900137581e-13
Position 170: 2.262568632981378e-13
Position 119: 2.0697669152265116e-13
Position 323: 1.7544591865573346e-13
Position 197: 1.1852564773839303e-13
Position 65: 1.171284546071758e-13
Position 178: 4.930773810738273e-14
Position 321: 1.663999341623797e-14
Position 326: 1.2033276113852071e-14
Position 16: 4.217557963196596e-15
Position 540: 3.1726833366097913e-15
Position 483: 2.796863747353491e-15
Position 548: 2.2071083204607914e-15
Position 656: 6.889686406083454e-16
Position 619: 6.68696660270931e-16
Position 422: 8.226997626891845e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 13111: 0.9994688548230964
Position 15142: 0.9942837344640665
Position 7656: 0.15755039274854285
Position 15460: 0.09084087684346637
Position 773: 0.0516583629813388
Position 1548: 0.04475298005950641
Position 9637: 0.03928653635196251
Position 846: 0.03895970275900696
Position 708: 0.029604577731745418
Position 814: 0.022370113839413182
Position 1615: 0.016289263369540265
Position 7814: 0.012405505633259184
Position 555: 0.012077282348388035
Position 1476: 0.009654901224543511
Position 7687: 0.008953710863787457
Position 1443: 0.007634396305987801
Position 15158: 0.005304980447801308
Position 1569: 0.0026320433106827136
Position 1355: 0.002088490684054502
Position 1427: 0.001932771102362458
Position 1150: 0.0013302130986312518
Position 605: 0.0012923543356241915
Position 988: 0.0001424618512925031
Position 8749: 2.0106365814751358e-07
Position 6818: 1.906743119845648e-08
Position 6215: 1.1245963210865964e-08
Position 2681: 3.2918508422850376e-09
Position 4418: 3.2621492456665825e-09
Position 4563: 8.645093866703919e-10
Position 3086: 3.3317512983924407e-10
Position 1984: 2.9120977086091994e-10
Position 4324: 1.6056475691839459e-10
Position 2145: 1.3912417966132738e-10
Position 2540: 1.2437311710843437e-10
Position 369: 8.31290894583658e-11
Position 326: 5.863824824375905e-11
Position 1761: 2.6066461719888937e-11
Position 1625: 7.884868624358805e-12
Position 616: 7.71640605325179e-12
Position 656: 7.025998699662557e-12
Position 566: 4.7950046488611305e-12
Position 1226: 3.3591485716174515e-12
Position 859: 3.2656458599721954e-12
Position 1054: 3.1076423463565433e-12
Position 300: 1.975208877308428e-12
Position 959: 5.687924316634994e-13
Position 280: 5.258497967988871e-13
Position 635: 4.137541828402402e-13
Position 290: 3.024763882311548e-13
Position 665: 2.358336245676381e-13
Position 286: 1.626570303280602e-13
Position 176: 1.600801509078062e-13
Position 399: 1.3422070489867636e-13
Position 384: 3.9434093578476855e-14
Position 337: 3.725026805973452e-14
Position 992: 2.613684628281664e-14
Position 119: 1.6432944519157915e-14
Position 197: 5.822833755816415e-15
Position 466: 9.97267425354203e-16
Position 181: 9.203954826464392e-16
Position 259: 1.630056899202041e-16
Position 143: 9.979767434522643e-17
