Gene = r2d2
index = 1853
Annotated 5SS: [106 501]
Annotated 3SS: [198 573]
SMsplice 5SS: [501]
SMsplice 3SS: [573]
top_k =  100
Partition function (log Z): -4.25983367654716

Sorted 5' Splice Sites (High to Low Probability):
Position 501: 0.7590280371128079
Position 106: 0.3258587761470308
Position 454: 0.23758543322759829
Position 774: 0.01234555608812821
Position 97: 0.00944229150821498
Position 1197: 0.006723635160396998
Position 1622: 0.006001099555415196
Position 89: 0.0051315310922743955
Position 1368: 0.003774505178716933
Position 20: 0.002895899643120671
Position 1871: 0.0025757185288371436
Position 1405: 0.0019868555946680236
Position 462: 0.0018555388285657849
Position 672: 0.001615019404610815
Position 122: 0.001056962734428642
Position 239: 0.0008943217004563476
Position 367: 0.0004072065844409216
Position 152: 0.00036882737695618394
Position 271: 0.00034348546909283547
Position 320: 0.00019730492153691653
Position 4: 0.0001464237179850088
Position 207: 0.00011758930428223754
Position 374: 7.86275846974913e-05
Position 303: 7.367455434393584e-05
Position 36: 6.705133735631803e-05
Position 248: 5.768741201294111e-05
Position 717: 1.7055930833295898e-05
Position 228: 7.4566338617180915e-06
Position 467: 3.07142693656716e-06
Position 9: 2.852094794756043e-06
Position 458: 2.250566987790443e-06
Position 11: 2.152987813234391e-06
Position 116: 1.8549994940498476e-06
Position 429: 1.1294353046417273e-07
Position 201: 2.50309536037961e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 573: 0.9991810782139573
Position 198: 0.3064952249893325
Position 271: 0.01994890323104712
Position 324: 0.008655573006930687
Position 1484: 0.008231766927978144
Position 174: 0.007276787345954118
Position 840: 0.006923617069077806
Position 1267: 0.0058486225469559505
Position 1430: 0.004531095223345678
Position 1936: 0.0030871929791986027
Position 1691: 0.0024802232573161555
Position 1773: 0.0017077987782460483
Position 429: 0.0014546125505572054
Position 1807: 0.0008987840941606776
Position 1513: 0.0007233106866996737
Position 388: 0.0006404137399657975
Position 89: 0.0005769519216028366
Position 1927: 0.0005013466327537796
Position 279: 0.0004902522463738242
Position 367: 0.000338869043930906
Position 212: 0.0002174257003504879
Position 409: 0.00021489442814375768
Position 1904: 0.00011185979852219519
Position 371: 7.4029526824875e-05
Position 391: 5.395326038435406e-05
Position 64: 1.2722798191456124e-06
Position 102: 5.552759234789842e-09
Position 97: 4.823133922970476e-09
