Gene = Nuf2
index = 1334
Annotated 5SS: [373 806]
Annotated 3SS: [432 862]
SMsplice 5SS: [373 806]
SMsplice 3SS: [432 862]
top_k =  100
Partition function (log Z): -0.3234440921868922

Sorted 5' Splice Sites (High to Low Probability):
Position 373: 0.9940325044285564
Position 806: 0.9887584799823816
Position 561: 0.011399730724555112
Position 1017: 0.001899354458617491
Position 99: 0.0010012503938798519
Position 1151: 0.0007619279938114686
Position 618: 0.0007248310450754505
Position 789: 0.00047095380454497494
Position 574: 0.00028489986870763406
Position 733: 0.0002480892669295077
Position 344: 0.0001437652672271125
Position 1194: 0.0001376205121634782
Position 28: 0.00010848476789619283
Position 507: 9.913519249290639e-05
Position 1221: 5.921396217715407e-05
Position 927: 2.7964673123460022e-05
Position 306: 1.561419232410535e-05
Position 388: 1.3126776125100807e-05
Position 519: 1.22628825618101e-05
Position 192: 8.412659080262304e-06
Position 256: 2.689494957511347e-06
Position 84: 1.7660874799357613e-06
Position 263: 1.194271713693835e-06
Position 77: 7.135915565241765e-07
Position 294: 1.321511259523083e-07
Position 208: 9.429926251262818e-08
Position 279: 4.57738046871831e-08
Position 810: 2.331890054647074e-08
Position 774: 2.046791544584456e-08
Position 784: 1.5600408463232828e-08
Position 771: 9.017629993532193e-09
Position 318: 8.892149372669978e-09
Position 296: 3.5969366498332064e-09
Position 435: 2.7142112403565555e-10
Position 815: 3.314267656681132e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 862: 0.988293226301155
Position 432: 0.9811147950674463
Position 491: 0.008284910323717858
Position 725: 0.006777217287699528
Position 680: 0.003830290827259511
Position 683: 0.0034745863152548105
Position 650: 0.002226844016726997
Position 1097: 0.0009139442761985507
Position 1094: 0.0008346948604677881
Position 148: 0.0007885185855700631
Position 872: 0.0005478405266681198
Position 1214: 0.0004986712634141713
Position 1106: 0.0004265863889419014
Position 731: 0.00029431471789919436
Position 1220: 0.00028152622944915124
Position 1281: 0.00027832726727710115
Position 728: 0.00017778700944128223
Position 926: 0.00017740888729927826
Position 691: 0.00011167226629378806
Position 185: 0.00010498666643387263
Position 1083: 9.832281544682256e-05
Position 506: 8.021694489433433e-05
Position 638: 7.573682860283471e-05
Position 972: 7.215476912058546e-05
Position 170: 7.090885421768157e-05
Position 503: 6.994645057663056e-05
Position 84: 5.5194177021317615e-05
Position 97: 4.8003228903691115e-05
Position 1046: 3.652870729255914e-05
Position 961: 3.211175884625954e-05
Position 1016: 3.194029770424443e-05
Position 989: 2.7964673123459995e-05
Position 1361: 2.1629980739833345e-05
Position 642: 1.9575386977012522e-05
Position 522: 1.0572098232752204e-05
Position 323: 9.043110101377393e-06
Position 239: 7.538072399418358e-06
Position 227: 3.123742008031575e-06
Position 306: 2.161874836470308e-06
Position 110: 1.9712999941869675e-06
Position 208: 8.760296654578318e-07
Position 341: 3.987874317957374e-07
Position 328: 1.7478053321639477e-07
Position 294: 9.579530220982048e-08
Position 372: 1.7205236444084625e-10
