Gene = ms(2)35Ci
index = 1797
Annotated 5SS: [211 479 680]
Annotated 3SS: [267 540 740]
SMsplice 5SS: [211 479 680]
SMsplice 3SS: [267 540 740]
top_k =  100
Partition function (log Z): -0.35422309475889147

Sorted 5' Splice Sites (High to Low Probability):
Position 479: 0.9943332930090534
Position 680: 0.9538432272327658
Position 211: 0.6967317753358491
Position 197: 0.035912424049489
Position 1221: 0.016788361943177822
Position 1431: 0.003614788564499887
Position 1428: 0.003307546985757807
Position 616: 0.0018530967874359908
Position 215: 0.0017419079634515013
Position 684: 0.000507602170684833
Position 1289: 0.0004591762825289465
Position 82: 0.00031101623184562576
Position 1586: 0.0002767982257269137
Position 1358: 0.0001630133462601936
Position 136: 0.00011703056948472032
Position 571: 0.00011134876602748148
Position 331: 0.00010834164425001591
Position 286: 8.360544615225426e-05
Position 24: 5.623142469671448e-05
Position 455: 2.9494525151587065e-05
Position 141: 2.8471544859835332e-05
Position 353: 2.0921039193968514e-05
Position 303: 1.7339630753027867e-05
Position 339: 1.6587956707106205e-05
Position 133: 1.2550808076193521e-05
Position 297: 5.481370587567979e-06
Position 365: 5.453929010484608e-06
Position 857: 4.129216808110654e-06
Position 517: 2.241846456109108e-06
Position 385: 1.6433447972622676e-06
Position 27: 1.3810791821402823e-06
Position 663: 4.564149347944957e-07
Position 110: 3.2357371394699488e-09
Position 126: 1.4520091699663867e-09
Position 206: 1.646440365058754e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 540: 0.9981479769180283
Position 740: 0.9427479731034161
Position 267: 0.4407950506371189
Position 338: 0.23010548720169605
Position 303: 0.04531070533795127
Position 1382: 0.018382979661251363
Position 1507: 0.01265154824777338
Position 359: 0.005362880184168804
Position 286: 0.002706367941844316
Position 283: 0.002374543518405505
Position 1089: 0.0022633422889363495
Position 822: 0.0017254100667177248
Position 988: 0.0015308685427453666
Position 309: 0.0015240253128351157
Position 248: 0.0010591563177337912
Position 562: 0.0008008029991938374
Position 385: 0.0005644104376323118
Position 1022: 0.0004490020996767665
Position 959: 0.00036096147308649655
Position 139: 0.0003328891702796884
Position 1637: 0.00021179555837389898
Position 365: 0.0001652559713606713
Position 937: 0.0001557413110185261
Position 868: 0.0001458932948343337
Position 635: 0.00014111249481683628
Position 793: 0.0001285854828599352
Position 368: 0.00010963896679375484
Position 516: 0.0001071934338411185
Position 1630: 6.500266735301517e-05
Position 107: 1.8974011051189845e-05
Position 507: 1.8452109577963737e-05
Position 77: 1.3353129304932515e-06
Position 69: 1.0757590925044403e-06
Position 82: 1.3829074703351348e-07
Position 193: 9.887233534311448e-08
Position 110: 3.2984754778814034e-08
Position 162: 2.837371733912214e-08
Position 201: 7.182096897788498e-09
