Gene = Sh3beta
index = 1498
Annotated 5SS: [ 371 1702 2819 3099 4191]
Annotated 3SS: [1275 2743 3049 3151 4298]
SMsplice 5SS: [371]
SMsplice 3SS: [1275]
top_k =  100
Partition function (log Z): -7.272117510004538

Sorted 5' Splice Sites (High to Low Probability):
Position 371: 0.6019001569180236
Position 1198: 0.4374626050704549
Position 1702: 0.2970297407211441
Position 1164: 0.23069346231278748
Position 2819: 0.21534093008251307
Position 3099: 0.14592559064495492
Position 34: 0.09168413086855408
Position 543: 0.06313103418641076
Position 1414: 0.01008840609055423
Position 539: 0.009924259431357023
Position 768: 0.0054266259531249045
Position 628: 0.00444115935991234
Position 535: 0.0029402349389782627
Position 580: 0.002583254472316565
Position 576: 0.002176057887857679
Position 2639: 0.0019508799222060246
Position 616: 0.0019223227931993703
Position 1478: 0.0004690331076601436
Position 1112: 0.00045157924681013485
Position 1142: 0.00041076267100269233
Position 972: 0.000333513842597378
Position 191: 0.000302148380199954
Position 437: 0.0002577228295292463
Position 896: 0.00023330730610033446
Position 650: 8.972019755758062e-05
Position 155: 7.996286338358184e-05
Position 780: 7.328369845514692e-05
Position 764: 6.343890583980064e-05
Position 8: 5.537741197346418e-05
Position 719: 4.973207352792881e-05
Position 86: 1.4292686772096259e-05
Position 1406: 7.78881997132968e-06
Position 375: 2.466880360584251e-06
Position 531: 1.2052794184045693e-07
Position 258: 2.8075399458972826e-08
Position 379: 4.805471069605103e-11
Position 300: 1.5811585223171272e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1275: 0.9956449458439764
Position 1011: 0.2302521318358564
Position 3151: 0.19531967087549748
Position 2743: 0.19489273289941103
Position 2869: 0.10925655850802797
Position 129: 0.08330861951980321
Position 601: 0.06610571750446707
Position 1869: 0.053431110972255315
Position 3049: 0.048685549567797456
Position 976: 0.023767120831237384
Position 453: 0.01680713585917615
Position 1943: 0.016801066151074545
Position 1761: 0.01658939007376568
Position 443: 0.011560076899089541
Position 759: 0.009408440566273062
Position 2697: 0.008438709108683388
Position 1804: 0.008337263432689394
Position 2911: 0.008004741776144979
Position 700: 0.007372266588373263
Position 2571: 0.004661215909393576
Position 2050: 0.004638115865437248
Position 93: 0.0036774211524033345
Position 2730: 0.0028324961329202953
Position 874: 0.0019122479577114067
Position 84: 0.0016548774719820766
Position 2061: 0.0016069890450161133
Position 155: 0.0008428942589703998
Position 2075: 0.0007955333344588089
Position 1590: 0.0004391529466629972
Position 1839: 0.00037731024512937714
Position 1536: 5.202788068864095e-05
Position 261: 2.2662354771756664e-05
Position 467: 9.171254229047527e-06
Position 1452: 7.788819971329651e-06
Position 176: 8.159738381755126e-07
Position 194: 5.9445477527425e-07
Position 202: 4.1781408031135103e-07
Position 313: 1.4883496195604147e-07
Position 338: 1.9805321272672617e-10
Position 268: 1.5275891204749572e-10
Position 258: 1.4681841978306706e-10
Position 275: 8.66135680300343e-11
Position 348: 8.570633099358456e-11
Position 306: 3.811553170858369e-11
