Gene = stai
index = 1895
Annotated 5SS: [20834 21567 21814 22034 22477]
Annotated 3SS: [21396 21627 21886 22320 22600]
SMsplice 5SS: [  173  1422 21567 21814 22034 22477]
SMsplice 3SS: [ 1316 21396 21627 21886 22320 22600]
top_k =  100
Partition function (log Z): -12.598529019015782

Sorted 5' Splice Sites (High to Low Probability):
Position 173: 0.8426262738119599
Position 1422: 0.784293105689264
Position 9848: 0.11210957945455638
Position 401: 0.024065622172559843
Position 340: 0.017099536897218614
Position 516: 0.01691685581032898
Position 98: 0.013922357210680969
Position 567: 0.007452941098399898
Position 35: 0.005033498930600143
Position 65: 0.004760537187557178
Position 707: 0.00346880619702476
Position 344: 0.0028347395911724922
Position 372: 0.0021449447414371332
Position 318: 0.002057910246965366
Position 569: 0.0017879915883695697
Position 747: 0.0017521496838992794
Position 109: 0.0002724368247920685
Position 571: 0.00022496752226691
Position 3437: 3.955650723958185e-12
Position 1647: 3.5612721683428623e-13
Position 102: 2.6551011518338025e-15
Position 76: 2.347815493444746e-15
Position 91: 1.6664633815875779e-15
Position 100: 1.0587580302332236e-15
Position 54: 2.4507801849976345e-16
Position 93: 1.3874081575085574e-16
Position 205: 5.89006585877824e-17
Position 133: 9.950315840664834e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 22600: 0.9495297105218521
Position 1316: 0.5885210195887187
Position 9395: 0.1121096189463843
Position 1023: 0.06350724610811377
Position 1253: 0.05865235820083547
Position 22320: 0.050467263773769436
Position 688: 0.005703034558540322
Position 650: 0.005160475798392362
Position 162: 0.00361819254414666
Position 172: 0.0028529150416409365
Position 1342: 0.0013781473837373816
Position 948: 0.0013212859811412609
Position 14456: 2.1907639019928358e-06
Position 12992: 7.771336446702047e-07
Position 10115: 1.3252949970568459e-08
Position 7886: 3.517058629192001e-09
Position 7632: 7.746623053312386e-10
Position 5744: 5.107505328128746e-10
Position 4909: 7.294543337232036e-11
Position 5986: 6.320868284686752e-11
Position 2879: 2.8910377903375574e-11
Position 1698: 2.3106267961751513e-11
Position 3863: 1.574843915603309e-11
Position 1665: 8.804035360185494e-12
Position 1631: 8.594473186322187e-12
Position 3535: 7.607800115903137e-12
Position 1673: 5.950750989489702e-12
Position 1729: 5.816638919886576e-12
Position 215: 5.382438595901306e-12
Position 1508: 4.745273629745139e-12
Position 2121: 3.2234466285449302e-12
Position 1474: 3.0266777011853996e-12
Position 578: 1.7828742758715318e-12
Position 2644: 1.0923298958757881e-12
Position 741: 7.513551387565192e-13
Position 1756: 5.335303172375672e-13
Position 1471: 5.140006514261942e-13
Position 1636: 5.093709060581169e-13
Position 2260: 4.646917282364926e-13
Position 1707: 3.0259282606096954e-13
Position 257: 1.0922846243749039e-13
Position 91: 5.135972477364604e-15
Position 401: 1.5547028872600304e-16
