Gene = Srpk79D
index = 1523
Annotated 5SS: [4747 5060 5575 5952 6333 7799 8848]
Annotated 3SS: [4837 5122 5628 6173 7246 8576 8918]
SMsplice 5SS: [1454 5060 5575 5952 7799 8848 9165]
SMsplice 3SS: [4837 5122 5628 7693 8576 8918 9217]
top_k =  100
Partition function (log Z): 10.151876279304311

Sorted 5' Splice Sites (High to Low Probability):
Position 5575: 0.9834818362632474
Position 5952: 0.9806993214907723
Position 7799: 0.980291104108572
Position 8848: 0.9613737743700528
Position 5060: 0.9557312105024571
Position 1454: 0.9293306417678227
Position 9165: 0.6830023510786092
Position 6333: 0.30415156763595863
Position 6338: 0.20686015928442827
Position 5385: 0.17212443756275206
Position 9634: 0.06872633321315191
Position 9734: 0.06482089532600996
Position 1488: 0.038325685812933906
Position 274: 0.03599695904921431
Position 9669: 0.03551000758936539
Position 9648: 0.035494178444429925
Position 270: 0.03339823570119737
Position 8815: 0.03331171793030405
Position 2863: 0.03145523929093871
Position 7916: 0.023663746074225066
Position 2422: 0.019208315171750947
Position 9404: 0.016018176794513048
Position 9128: 0.014391327685381218
Position 6360: 0.013831409078837006
Position 9106: 0.013604145120778432
Position 5336: 0.004586631033943798
Position 6313: 0.004320549364784973
Position 5284: 0.003791274206480895
Position 6058: 0.003780080573569985
Position 266: 0.0036952098078051857
Position 278: 0.00359367195999756
Position 9091: 0.0034109622772652212
Position 99: 0.003344736799541371
Position 3227: 0.0028037851851396866
Position 90: 0.0026951122314894183
Position 5349: 0.002449718925097669
Position 1915: 0.0022924536895460694
Position 9839: 0.0022885659958219373
Position 39: 0.002130094740467648
Position 1720: 0.002035849593604039
Position 1875: 0.0018620564044782776
Position 5277: 0.001822018393183951
Position 256: 0.0016448526275762605
Position 1446: 0.0016286700285713595
Position 1450: 0.0015816384116740655
Position 2456: 0.0012997672084251665
Position 2290: 0.001208816533039777
Position 2027: 0.0011230623630839294
Position 2217: 0.0007761200823700197
Position 5570: 0.0007463450589981975
Position 5004: 0.0006502630889058888
Position 8980: 0.0004527073822063761
Position 8183: 0.0004010203122268713
Position 9110: 0.00018324454279004094
Position 9088: 0.00015022825271324036
Position 319: 0.00014918801124176983
Position 5654: 0.00013549561792156303
Position 268: 0.00013047754360753758
Position 5544: 0.00011682232813686309
Position 1958: 6.303246081801563e-05
Position 4951: 5.6226932462449546e-05
Position 1039: 6.9492313758490805e-06
Position 1458: 1.6118392186639844e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 4837: 0.9994434312803809
Position 5628: 0.9928954238501216
Position 8918: 0.9907446316718512
Position 5122: 0.9383725468851525
Position 7693: 0.9227881045002777
Position 9217: 0.6893916174680251
Position 6173: 0.49335836437194486
Position 8576: 0.3364186736903882
Position 7989: 0.17232846143693428
Position 9765: 0.1394543651070239
Position 8046: 0.13436804677248748
Position 8290: 0.0895831111417545
Position 7881: 0.08716531783291284
Position 9864: 0.0866814437943781
Position 5434: 0.07760437644800422
Position 8179: 0.06483145406245387
Position 5465: 0.0627965971428082
Position 7851: 0.05078130810437106
Position 7272: 0.03663374814544266
Position 2121: 0.035409284927844675
Position 8269: 0.02625916567223492
Position 8432: 0.02396676660860412
Position 5405: 0.01746042965813029
Position 361: 0.016359766105906753
Position 6195: 0.015456076484999635
Position 6993: 0.013687787320028573
Position 5443: 0.01341684483621326
Position 7935: 0.013339057473238245
Position 6887: 0.013237819574594916
Position 7018: 0.011864993918265662
Position 9812: 0.011607374590787773
Position 1581: 0.01127007152874936
Position 393: 0.010140539278353969
Position 8922: 0.009181778834990956
Position 1333: 0.008925384044273423
Position 9790: 0.00870334624015771
Position 1298: 0.007546309890224721
Position 2526: 0.006681801705858937
Position 5175: 0.006409148361789583
Position 5124: 0.006387306597621082
Position 6006: 0.00626594031859666
Position 150: 0.005145236086254743
Position 5438: 0.004291124755861237
Position 2001: 0.0038456819369230345
Position 1301: 0.0029260646995008
Position 5632: 0.0028295572303101662
Position 2042: 0.002773889543815614
Position 418: 0.0026808821787575243
Position 1046: 0.002626705108960537
Position 9893: 0.0022885659958219386
Position 5716: 0.0014594009315219458
Position 2753: 0.0014460359581758544
Position 1002: 0.001282468129949049
Position 3164: 0.0010970470745979195
Position 5516: 0.0008722034223527444
Position 2459: 0.0008438743592062651
Position 5129: 0.0007574015435304416
Position 2327: 0.0006495253037620324
Position 6543: 0.00029964210790337485
Position 5996: 0.00026855714588274067
Position 5575: 0.00014411493146165798
Position 6224: 0.00013899796616022832
Position 1840: 8.848813540570616e-05
Position 5648: 7.796792958874381e-05
Position 5722: 5.105257097287383e-05
Position 5645: 3.490368387017927e-05
Position 6830: 3.150342815062186e-05
Position 2268: 2.2797508855242064e-05
Position 1101: 6.9492313758490805e-06
Position 955: 6.880260117846269e-06
Position 922: 2.800616642279218e-06
Position 408: 2.108212255476987e-06
Position 331: 1.6417211630516268e-06
