Gene = l(2)gd1
index = 1747
Annotated 5SS: [ 179 1865 2355 2565 3307]
Annotated 3SS: [ 265 1922 2412 3161 3372]
SMsplice 5SS: [ 179 1865 2355 2565 3307]
SMsplice 3SS: [ 265 1922 2412 3215 3372]
top_k =  100
Partition function (log Z): 16.338660765935632

Sorted 5' Splice Sites (High to Low Probability):
Position 3307: 0.9996754275189965
Position 2355: 0.9990209565286416
Position 2565: 0.9970300518418259
Position 1865: 0.9960126973684807
Position 179: 0.9877567653091279
Position 3018: 0.32722366526795876
Position 3474: 0.09101966218976731
Position 2160: 0.04417543714480262
Position 3528: 0.021738298854531365
Position 2868: 0.021590734623689836
Position 2117: 0.018928496276381962
Position 1100: 0.00957343261529166
Position 3573: 0.006778162032574517
Position 3167: 0.005375584299807541
Position 2883: 0.005156641061319861
Position 3471: 0.004565858901141644
Position 2660: 0.001435368416276729
Position 3394: 0.0014033014705266873
Position 3678: 0.0011162031904517246
Position 1103: 0.0009379647503682127
Position 806: 0.0009120182540441877
Position 2872: 0.0008294548039253602
Position 3608: 0.0007988991263687516
Position 3478: 0.000795162601667611
Position 1114: 0.0007285364338014715
Position 42: 0.0006777174142575991
Position 1050: 0.0006687625130655708
Position 3569: 0.0006590826615383393
Position 198: 0.0006106466129647169
Position 1082: 0.0004436103451407772
Position 1417: 0.0003303101451354064
Position 3311: 0.00029001558996673044
Position 2334: 0.0002681351587526765
Position 2328: 0.00023625554582311267
Position 2705: 0.00018555366418781608
Position 2060: 0.0001834492084736335
Position 315: 0.0001754302523782179
Position 2257: 0.00016744210655259524
Position 423: 0.0001651119804842761
Position 2198: 0.00016076285706423068
Position 812: 0.0001400217601357937
Position 1836: 0.00011285599801691717
Position 2544: 0.00011146041592246016
Position 73: 5.803347566220846e-05
Position 2722: 5.450795390115468e-05
Position 2719: 5.410745594330625e-05
Position 2507: 4.880513107592151e-05
Position 24: 4.056740448542331e-05
Position 4: 3.26824649632697e-05
Position 2485: 1.950500881894302e-05
Position 3282: 1.821374581993647e-05
Position 2339: 1.470535799501461e-05
Position 27: 1.2533631608344726e-05
Position 2379: 1.099837874316051e-05
Position 18: 7.220035283377928e-06
Position 3250: 4.86777694943663e-07
Position 1560: 1.4773075156851008e-07
Position 1593: 1.4436916828214166e-07
Position 208: 1.0777548622679553e-07
Position 2100: 1.456107138713833e-08
Position 3542: 1.3858238525594984e-08
Position 93: 2.9363296667575123e-09
Position 2316: 1.3412511618503769e-09
Position 2215: 2.0615832400696732e-10
Position 2271: 3.7268459387544864e-11
Position 242: 1.9024658049647658e-11
Position 110: 3.837295867122175e-12
Position 124: 2.7971665145691777e-12
Position 233: 1.3392237473555052e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 3372: 0.9957466875588962
Position 1922: 0.9932791440075018
Position 2412: 0.9646703214344073
Position 265: 0.8672644434350338
Position 3215: 0.7073608788446953
Position 2946: 0.4927653126360828
Position 3589: 0.09595767622580839
Position 2871: 0.056095961360361615
Position 1163: 0.04638289120221657
Position 2218: 0.03644706977225846
Position 3637: 0.029623486859014878
Position 2913: 0.028543714382997534
Position 2244: 0.024583545798458194
Position 2427: 0.021068885909292262
Position 287: 0.02027041967109522
Position 1469: 0.01828929913652659
Position 1556: 0.016905441599576982
Position 3161: 0.01669479448353858
Position 2621: 0.01494632343330224
Position 2447: 0.013763747543482025
Position 2624: 0.012639484006580128
Position 303: 0.008762668482618457
Position 2799: 0.00786503759349615
Position 3217: 0.007806383384030117
Position 3737: 0.005406271392733199
Position 1832: 0.004169243841679931
Position 2213: 0.0035761963517692303
Position 2695: 0.00341397513957796
Position 3167: 0.0032718499703853878
Position 649: 0.003006723221681121
Position 2976: 0.002691330835867868
Position 2907: 0.0024872082404672246
Position 1334: 0.0018665147924177173
Position 1196: 0.0016895763014354898
Position 1277: 0.0015828474891812036
Position 2745: 0.0014441881708152071
Position 1072: 0.0014206294008810075
Position 2950: 0.001083213605098387
Position 1274: 0.0010701229767687034
Position 3447: 0.0010667867384601456
Position 3608: 0.0010559372376300032
Position 2253: 0.0010479322591585864
Position 1571: 0.0009755084908480256
Position 1945: 0.0008355342671468369
Position 832: 0.0008308057746642977
Position 443: 0.000792001508147962
Position 2180: 0.0007290744086538802
Position 104: 0.0006652176803085874
Position 2198: 0.0006121028465208279
Position 1337: 0.0005986433032541713
Position 1202: 0.0005426233517346339
Position 2001: 0.0005174183064060914
Position 900: 0.0005098457915643385
Position 1199: 0.00038824378844960674
Position 2130: 0.0003756951053544665
Position 1430: 0.00033624498810861796
Position 756: 0.00033482844369850764
Position 1306: 0.000250355793954351
Position 423: 0.00023851237679135335
Position 1959: 0.00023698265663486075
Position 670: 0.00023261568694164884
Position 1417: 0.000231187601626314
Position 601: 0.00019023358526797942
Position 1002: 0.00018710393913807532
Position 806: 0.00018076434409550397
Position 2484: 0.00017489504951483917
Position 1956: 0.0001399495460501812
Position 93: 8.410978115535076e-05
Position 2312: 7.957238251425426e-05
Position 2459: 7.524665645486031e-05
Position 132: 6.472206044464694e-05
Position 2449: 2.0269315227627786e-05
Position 82: 1.0109430858047053e-05
Position 3390: 6.694705412348423e-06
Position 120: 2.613624376240791e-06
Position 2456: 1.2700774627881232e-06
Position 2561: 1.0316586858734593e-06
Position 63: 8.650728080435468e-07
Position 73: 8.135105114476216e-07
Position 136: 1.8395549095349203e-07
Position 2496: 1.0912957882542076e-07
Position 139: 3.465252851962384e-08
Position 159: 2.055365452734673e-09
Position 156: 1.1389118614192922e-09
Position 143: 2.0640314561910962e-10
