Gene = Scox
index = 1476
Annotated 5SS: [504]
Annotated 3SS: [566]
SMsplice 5SS: [504]
SMsplice 3SS: [566]
top_k =  100
Partition function (log Z): -1.7860901142122867

Sorted 5' Splice Sites (High to Low Probability):
Position 504: 0.997380007679743
Position 105: 0.17083732709703775
Position 76: 0.017293433176958747
Position 134: 0.003168795963744304
Position 653: 0.0021196344791154314
Position 500: 0.0012795595117648197
Position 508: 0.0011515497538853003
Position 638: 0.0005934875651584333
Position 280: 0.00043126393359212535
Position 321: 0.0002590351701789103
Position 973: 0.00017353359865178477
Position 10: 8.601255699186294e-05
Position 820: 7.89116930158774e-05
Position 624: 4.4909986385108466e-05
Position 949: 3.412598611027728e-05
Position 990: 3.367757573448052e-05
Position 859: 2.7543662211781247e-05
Position 957: 2.455459815401878e-05
Position 144: 1.932279320076521e-05
Position 147: 1.3756381451369511e-05
Position 1003: 1.2258613131392136e-05
Position 213: 1.1208101288439092e-05
Position 284: 9.808620234189493e-06
Position 174: 7.851384581327396e-06
Position 357: 4.5191956548723884e-06
Position 491: 2.437600796364308e-08
Position 695: 9.328993885830806e-09
Position 641: 5.9981680660313715e-09
Position 661: 5.8285965989431734e-09
Position 488: 2.559687896368502e-09
Position 368: 2.5283856880263746e-09
Position 415: 1.6251349533590594e-09
Position 266: 9.252436730701983e-10
Position 112: 6.928015715253251e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 566: 0.9987234312851949
Position 194: 0.1831791531040304
Position 134: 0.004342139537883898
Position 741: 0.0024888970043059084
Position 206: 0.0016410740068393617
Position 231: 0.000862357899299807
Position 379: 0.0008066239710196913
Position 713: 0.0005361452420804516
Position 228: 0.0005300230945541756
Position 163: 0.00042638856880304577
Position 571: 0.00041195259698044114
Position 590: 0.00018877797922598583
Position 587: 0.0001527113393395867
Position 1053: 0.00014075008174232144
Position 729: 0.00011818368435142286
Position 1059: 0.00010626336798711735
Position 141: 8.418672877921944e-05
Position 887: 7.891169301587726e-05
Position 1012: 5.8680584264296057e-05
Position 410: 4.7898176742089796e-05
Position 620: 3.957163439206888e-05
Position 289: 3.7902924603217934e-05
Position 211: 2.739142029770754e-05
Position 69: 2.5060479833408935e-05
Position 66: 2.149441790791913e-05
Position 344: 1.2311065407763466e-05
Position 357: 6.539990256437896e-06
Position 473: 1.3089382904096557e-06
Position 81: 1.2123567945207986e-08
