Gene = Pdxk
index = 1365
Annotated 5SS: [456 627]
Annotated 3SS: [526 692]
SMsplice 5SS: [456 627]
SMsplice 3SS: [526 692]
top_k =  100
Partition function (log Z): -0.25822430107152383

Sorted 5' Splice Sites (High to Low Probability):
Position 627: 0.9985900538305809
Position 456: 0.78921819260686
Position 140: 0.10143486891717363
Position 788: 0.058443333527955124
Position 435: 0.045338380290575436
Position 980: 0.01499017686248946
Position 835: 0.012016012937983676
Position 361: 0.0056806372353959455
Position 423: 0.005659274159396277
Position 867: 0.0032441520670578278
Position 31: 0.002506575511421434
Position 632: 0.0014066403395994272
Position 239: 0.0012383318837881638
Position 172: 0.0011575498401222527
Position 387: 0.0011566369569002226
Position 13: 0.001000181409764302
Position 258: 0.0008910622613311999
Position 74: 0.0007466591428523953
Position 260: 0.0006002020406372713
Position 159: 0.0005945681993375671
Position 262: 0.0005811713580362944
Position 1376: 0.0005650153974039835
Position 1046: 0.0005544176958340573
Position 264: 0.0005291304015883413
Position 1468: 0.0004851698488997781
Position 1043: 0.0004402923420887793
Position 266: 0.0003905901043015683
Position 408: 0.00023488824781094304
Position 10: 0.00018251531377739346
Position 26: 0.00017170430795507567
Position 108: 0.0001507363583232169
Position 411: 0.00011620413972553236
Position 186: 0.00010679498699681325
Position 28: 0.00010589462096890202
Position 48: 6.722562548036263e-05
Position 736: 1.2136612280872957e-06
Position 600: 2.072726980350017e-07
Position 605: 1.627818381209336e-07
Position 708: 4.325210321906225e-10
Position 270: 2.988839749901329e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 692: 0.9812169074110448
Position 526: 0.8602172656457422
Position 280: 0.09672377211762727
Position 1206: 0.03535388606934215
Position 1098: 0.024420716204871486
Position 679: 0.016810308904883164
Position 1141: 0.01572648310507232
Position 1516: 0.005805784780540769
Position 871: 0.002074613278694896
Position 956: 0.0013322786926084143
Position 1254: 0.0012927850835063588
Position 1059: 0.0010550842220631042
Position 787: 0.0010064974000472168
Position 706: 0.0009672371036191415
Position 1562: 0.0009004851184657497
Position 289: 0.0007729733959480028
Position 565: 0.0007295751719835695
Position 476: 0.0007280526626384981
Position 1703: 0.0007209974328182886
Position 1261: 0.0006535614085033504
Position 1056: 0.0005820384822008806
Position 889: 0.0004837635799510057
Position 1027: 0.0003360932210739645
Position 179: 0.00019653670068331454
Position 486: 0.00018714644117116225
Position 345: 0.00011070558858611201
Position 330: 9.628226086374626e-05
Position 156: 7.199936703019031e-05
Position 401: 1.2661268911510822e-05
Position 246: 5.812946297734766e-06
Position 183: 4.519854896969087e-06
