Gene = lilli
index = 1758
Annotated 5SS: [  650  4988 59864 61507 62102 62217 65183 65454 65628 65877 66099]
Annotated 3SS: [ 3744 59100 60779 61679 62159 62275 65261 65540 65710 65947 66159]
SMsplice 5SS: [  650  4988 60730 61507 62102 62217 65183 65454 65628 65877 66099]
SMsplice 3SS: [ 4447 60517 60779 61679 62159 62275 65261 65540 65710 65947 66159]
top_k =  100
Partition function (log Z): -70.41936465000495

Sorted 5' Splice Sites (High to Low Probability):
Position 4988: 0.9999999947288172
Position 650: 0.6979615823438937
Position 21477: 0.4232104976249167
Position 532: 0.08382769404828212
Position 326: 0.059650966353333855
Position 320: 0.056162349104625024
Position 314: 0.03920797086121142
Position 351: 0.034606020914106514
Position 205: 0.0285862321943556
Position 4106: 5.743750822290622e-06
Position 4291: 1.987387971731835e-06
Position 403: 6.761077402720763e-08
Position 542: 5.7979968613925725e-08
Position 536: 5.013457875066825e-08
Position 308: 1.812105356146051e-08
Position 304: 1.0532069465042044e-08
Position 5841: 8.85013236207739e-09
Position 5305: 3.8857754488202845e-09
Position 530: 2.8507118383707295e-09
Position 3938: 3.6294334698272355e-10
Position 1004: 5.9535424850833405e-12
Position 1008: 5.8289886412796296e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 21146: 0.997492890851791
Position 4447: 0.7637742194353736
Position 21530: 0.4232104976249167
Position 4871: 0.15030954622276538
Position 4749: 0.049718255458050184
Position 3744: 0.019971949955910073
Position 4520: 0.016233757042034055
Position 17756: 0.0024215791157653375
Position 13030: 7.73690199538163e-05
Position 11306: 2.773424138168683e-06
Position 11926: 2.6062134305613477e-06
Position 10136: 9.015520551621427e-07
Position 10855: 8.217319289175257e-07
Position 403: 7.580318498414852e-07
Position 460: 6.454289167121455e-07
Position 609: 5.639361873332516e-07
Position 10815: 4.695867390191399e-07
Position 432: 4.6591251486603225e-07
Position 10462: 3.516082103157547e-07
Position 603: 2.8424274019347534e-07
Position 491: 1.925607099250591e-07
Position 8962: 8.623068353342785e-08
Position 435: 7.806814960500745e-08
Position 6582: 7.338558994847583e-08
Position 440: 3.487549235370797e-08
Position 5207: 3.3097381775503676e-08
Position 5945: 1.1486791547907944e-08
Position 7146: 9.513878087052244e-09
Position 5114: 8.447980108697443e-09
Position 6718: 5.764470659063361e-09
Position 6696: 4.711480736542624e-09
Position 6313: 4.458538159946064e-09
Position 6303: 3.2709806886102607e-09
Position 6568: 1.9803896127984882e-09
Position 6013: 1.4133616119653755e-09
Position 6088: 1.2194155158741433e-09
Position 5225: 9.429948111443396e-10
Position 5714: 5.279269562032378e-10
Position 3995: 3.629433469827287e-10
Position 5753: 3.4220944672260834e-10
Position 5653: 2.7044376985126873e-10
Position 5636: 2.601385802904276e-10
Position 1934: 2.200341296730711e-11
Position 1065: 1.513923492602436e-11
Position 873: 1.3984336202764163e-11
Position 1523: 6.2580547846296105e-12
Position 1552: 3.769975261935589e-12
Position 1600: 3.741747726316146e-12
