Gene = Tsp66A
index = 1572
Annotated 5SS: [1912 2155 2350 2588]
Annotated 3SS: [1968 2214 2410 2636]
SMsplice 5SS: [ 106  329  521  671 1060 1243 1567 2350 2588]
SMsplice 3SS: [ 160  391  577  737 1116 1309 2214 2410 2646]
top_k =  100
Partition function (log Z): 5.842021338315636

Sorted 5' Splice Sites (High to Low Probability):
Position 2588: 0.9999741536890517
Position 2350: 0.9717642358094338
Position 1243: 0.9520071098035717
Position 521: 0.8099089373568832
Position 329: 0.7747477814231607
Position 671: 0.7579038478446194
Position 106: 0.6948546583245752
Position 1567: 0.6607015119546423
Position 840: 0.6233219432376982
Position 1060: 0.5266009524965749
Position 212: 0.14309908620218428
Position 1916: 0.07904861813676359
Position 2732: 0.025852482881800636
Position 2704: 0.023754198224670443
Position 1383: 0.02046258945434409
Position 1248: 0.017863472408973402
Position 2742: 0.015439776150575868
Position 2750: 0.011655825151757612
Position 2737: 0.01072591556547924
Position 1899: 0.008529848657460648
Position 681: 0.008497407119365199
Position 326: 0.004645046603923272
Position 690: 0.001978868548537223
Position 818: 0.0014905539418445146
Position 243: 0.0007130426934916827
Position 333: 0.00053963949625512
Position 363: 0.00027854360300324187
Position 415: 0.00015604890791135086
Position 45: 0.0001167898251768936
Position 546: 0.00010426848603978367
Position 13: 9.317303793737164e-05
Position 64: 4.4097806082398606e-05
Position 110: 2.9587866932198433e-05
Position 2579: 2.5846310947786907e-05
Position 227: 1.4837602145661709e-05
Position 216: 1.3442803019260165e-05
Position 76: 2.088917372140426e-06
Position 62: 9.990616783356724e-07
Position 131: 5.854422345393727e-07
Position 125: 1.0773994467219457e-07
Position 269: 3.2230369767464177e-09
Position 142: 8.771098884640639e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 2410: 0.9547533185268944
Position 2214: 0.874771196364067
Position 737: 0.7865823430480385
Position 391: 0.7725876398185653
Position 1116: 0.7521535820465182
Position 160: 0.681957260317558
Position 1309: 0.6030695244360663
Position 577: 0.5894103689209877
Position 2646: 0.48201288719021473
Position 891: 0.2470039523449091
Position 2683: 0.2161405722214872
Position 2636: 0.20463082234884764
Position 775: 0.1324809571378036
Position 1135: 0.07980590847278715
Position 2760: 0.07849354013566667
Position 945: 0.07822530933690214
Position 2809: 0.07567925330855241
Position 1479: 0.07426294761670968
Position 1458: 0.059897482688794135
Position 1968: 0.05868505167287982
Position 415: 0.058145268769403846
Position 269: 0.038782208640919594
Position 1289: 0.03495627557278579
Position 1619: 0.03273520644839247
Position 281: 0.028708171200877628
Position 461: 0.02751704499436969
Position 623: 0.026734391511673065
Position 2416: 0.01701091728253947
Position 991: 0.016839594683083006
Position 702: 0.015534837878071904
Position 2660: 0.014157692843303104
Position 2704: 0.01038117701338715
Position 913: 0.006413946677805813
Position 467: 0.005187870781164828
Position 182: 0.0031648016002915292
Position 3014: 0.002365976710955683
Position 3288: 0.0019103794428975804
Position 422: 0.0016978844103946818
Position 3111: 0.0016558967589714092
Position 1641: 0.00023546561606073506
Position 106: 0.00015391787207306288
Position 243: 5.1923967366574314e-05
Position 248: 1.7076590703645097e-05
Position 118: 5.4649408442490395e-08
Position 187: 2.394082893352058e-08
