Gene = Notum
index = 1327
Annotated 5SS: [ 440 6185 6764]
Annotated 3SS: [5790 6250 6827]
SMsplice 5SS: [ 440 6185 6764 6962]
SMsplice 3SS: [5790 6250 6827 8115]
top_k =  100
Partition function (log Z): 6.118295527594698

Sorted 5' Splice Sites (High to Low Probability):
Position 440: 0.9999956062621738
Position 6185: 0.9999629915649265
Position 6764: 0.9987171683240474
Position 6962: 0.6788461371761534
Position 8018: 0.10769595952214535
Position 8008: 0.049522288793212126
Position 7917: 0.026834391369404218
Position 8226: 0.020846283693248806
Position 8230: 0.017593308205654277
Position 7976: 0.014533496223916868
Position 7828: 0.006478120851725126
Position 7934: 0.004561767003654349
Position 8355: 0.0030114815447311156
Position 7902: 0.0024217130814773685
Position 7089: 0.0024146401245649296
Position 6993: 0.0018485466743842426
Position 8196: 0.0015916082828607227
Position 6973: 0.001431289658535885
Position 6768: 0.0010100317356670479
Position 6508: 0.0009472389759392444
Position 6421: 0.0005998667749519553
Position 6580: 0.00023317923878219242
Position 3068: 0.00020779282697603045
Position 7001: 0.00017760284989644569
Position 6971: 7.770340808756377e-05
Position 1657: 7.283463001533272e-05
Position 6544: 4.4655206039621405e-05
Position 6593: 3.797774836228888e-05
Position 6506: 3.344077298003442e-05
Position 1255: 3.03597296061564e-05
Position 2239: 2.7366273633822353e-05
Position 7832: 2.0726934499015383e-05
Position 6704: 2.024770640453107e-05
Position 3136: 1.9518771789719758e-05
Position 6649: 1.8663885785581495e-05
Position 6393: 1.6081727934877246e-05
Position 6659: 1.1444084729421508e-05
Position 3742: 1.1137013554684658e-05
Position 6332: 4.334034979680675e-06
Position 6984: 2.759624682915078e-06
Position 6728: 2.5406028807182616e-06
Position 6666: 2.2685146227179755e-06
Position 6772: 1.964417457094459e-06
Position 6571: 1.6901036621260113e-06
Position 6442: 1.6573545464120174e-06
Position 471: 1.0155311848002813e-06
Position 6401: 9.060182017269547e-07
Position 6497: 7.764264597192206e-07
Position 6693: 3.5467877833886735e-07
Position 6386: 3.4304852702916064e-07
Position 6464: 3.3889289988538355e-07
Position 7393: 3.1154627710353596e-07
Position 6457: 1.2518176451281781e-07
Position 6584: 1.1078965307024219e-07
Position 6342: 1.0533570344816375e-07
Position 6597: 5.5225696574686924e-08
Position 6481: 4.493530796255786e-08
Position 6653: 3.9922846080903985e-08
Position 876: 1.7716390645791504e-08
Position 652: 1.3068894610873081e-08
Position 4333: 4.1931524995613665e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 6250: 0.9998732169930128
Position 6827: 0.9982258791320855
Position 8115: 0.6970812757195055
Position 5790: 0.6913040009342861
Position 5818: 0.2552054663873188
Position 7058: 0.057773305503806216
Position 8076: 0.047786813019113195
Position 5828: 0.04491249770160697
Position 8782: 0.02885241524877187
Position 8137: 0.02754339262747791
Position 8813: 0.019555404689497694
Position 8317: 0.01675644967554537
Position 8652: 0.016217248387858197
Position 7033: 0.011137806089870651
Position 4737: 0.0050614545629806525
Position 8379: 0.004353988472858564
Position 8295: 0.0040052559296842385
Position 9012: 0.003940976761802257
Position 3337: 0.002965643782455651
Position 8668: 0.0023906008411967166
Position 9056: 0.0017609550676716183
Position 6608: 0.0011655496448906176
Position 9124: 0.001148960908019529
Position 9240: 0.001072105788213448
Position 3966: 0.0005245943862538287
Position 6564: 0.0003013542681299864
Position 7167: 0.00023218841959397448
Position 6645: 9.063178161898508e-05
Position 6332: 8.228459152126425e-05
Position 7962: 7.490422304838124e-05
Position 1498: 6.257723830377546e-05
Position 6649: 6.234109434148611e-05
Position 2220: 5.045009972538315e-05
Position 2912: 4.464582036261156e-05
Position 6329: 4.449841546662534e-05
Position 1425: 3.834452543024487e-05
Position 6571: 3.500563260534246e-05
Position 3006: 3.0789099875612134e-05
Position 2597: 2.960311804716228e-05
Position 6657: 2.811020765390391e-05
Position 6558: 2.067550568161225e-05
Position 979: 2.064528728220167e-05
Position 2972: 1.983649424107494e-05
Position 2969: 1.5173572724690825e-05
Position 2900: 1.299239301875153e-05
Position 2048: 7.209294412710848e-06
Position 2669: 6.0074989912292435e-06
Position 701: 4.142871491526611e-06
Position 6420: 3.983530687668196e-06
Position 2027: 3.8154795244223035e-06
Position 627: 2.420198320214345e-06
Position 982: 1.6013477854892158e-06
Position 1032: 9.290161919198267e-07
Position 1299: 8.983651611372698e-07
Position 603: 7.057504457144501e-07
Position 606: 6.388848163273186e-07
Position 758: 5.647866925753642e-07
Position 651: 5.336678171311073e-07
Position 3598: 4.7501673225939127e-07
Position 6907: 1.5279533486194462e-07
Position 6794: 4.350471776072496e-08
Position 6875: 1.2533776249787273e-08
Position 6786: 1.229662014910765e-09
