Gene = CIAPIN1
index = 1043
Annotated 5SS: [ 222  808 2287]
Annotated 3SS: [ 310  875 2340]
SMsplice 5SS: [222 808]
SMsplice 3SS: [310 875]
top_k =  100
Partition function (log Z): -4.082809933473591

Sorted 5' Splice Sites (High to Low Probability):
Position 808: 0.9786347050100237
Position 222: 0.5608730974967062
Position 241: 0.21916184536986041
Position 1766: 0.18019715978316928
Position 1005: 0.17743273568043752
Position 2287: 0.03353593581589333
Position 269: 0.030535395726573933
Position 245: 0.028294206219805346
Position 1466: 0.025822000857401713
Position 829: 0.017521160922931336
Position 1074: 0.015155297412289187
Position 1706: 0.014304627463037171
Position 943: 0.014279081348068367
Position 243: 0.007971870057264538
Position 236: 0.006035125029116974
Position 951: 0.004791546870390361
Position 247: 0.0013400124484559402
Position 1033: 0.0010838901154898736
Position 226: 0.0006396980120154839
Position 249: 0.0003181386991913086
Position 231: 0.00030585569291573293
Position 203: 0.00015745419879271277
Position 47: 3.0211990023606033e-05
Position 792: 2.1087817766951035e-05
Position 21: 1.893875930442306e-05
Position 1343: 1.2121807872027279e-05
Position 552: 1.8453797479759895e-06
Position 800: 6.680405432332106e-08
Position 833: 6.046780272558419e-08
Position 273: 4.941788946682683e-10
Position 254: 3.163553241746572e-11
Position 102: 1.727016205846721e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 875: 0.9881889891395396
Position 310: 0.8028093050020877
Position 1834: 0.16795710958097343
Position 1519: 0.09158877326288539
Position 2340: 0.08290168772747568
Position 1107: 0.0532138358207457
Position 329: 0.0454985092140873
Position 1129: 0.03729789999422331
Position 1882: 0.010340428669897723
Position 994: 0.007592697230499253
Position 1324: 0.005545204887810487
Position 1672: 0.004989453773847736
Position 1397: 0.004576113822655422
Position 1193: 0.0038531995438800086
Position 1368: 0.0022144597769791063
Position 1726: 0.0018805754757323424
Position 522: 0.0011052563524069057
Position 360: 0.0011048962748820175
Position 280: 0.0009895869746579943
Position 446: 0.0009681741994163826
Position 265: 0.0009675685055543963
Position 1558: 0.0006428767368400496
Position 502: 0.0005019427015909298
Position 570: 0.0003851319159593029
Position 371: 0.000372963954551301
Position 291: 0.00017828512216684297
Position 567: 0.00015294576125048927
Position 597: 0.00013485461567967272
Position 765: 9.424674647710867e-05
Position 456: 9.341130876223125e-05
Position 547: 8.462561693484597e-05
Position 938: 8.187577999314676e-05
Position 269: 5.45656736373846e-05
Position 351: 5.073486043298419e-05
Position 459: 4.244930091517751e-05
Position 72: 1.893875930442306e-05
Position 950: 1.5997147536471206e-06
