Gene = ND-B17.2
index = 1301
Annotated 5SS: [ 33 313 554 690]
Annotated 3SS: [101 375 604 745]
SMsplice 5SS: [158 313 554 690]
SMsplice 3SS: [216 375 604 745]
top_k =  100
Partition function (log Z): 16.286278942050735

Sorted 5' Splice Sites (High to Low Probability):
Position 313: 0.9997158063737984
Position 690: 0.9980009858086639
Position 554: 0.9768889655245808
Position 158: 0.911617208164949
Position 33: 0.4082524471517502
Position 532: 0.02262783374848154
Position 37: 0.0025770516072080836
Position 4: 0.001010913997037022
Position 529: 0.0001466711466055269
Position 558: 0.00010309422384104433
Position 317: 5.735974891202523e-05
Position 643: 4.5539542587226355e-05
Position 418: 3.014111086550353e-05
Position 813: 2.829523511695029e-05
Position 649: 2.201435659680779e-05
Position 151: 1.9331663153580235e-05
Position 105: 1.6549649751476988e-05
Position 295: 1.5649826949227078e-05
Position 850: 1.4687529173685008e-05
Position 714: 1.1493981087157095e-05
Position 887: 9.047711052551428e-06
Position 781: 7.548644996349353e-06
Position 145: 5.288245440018258e-06
Position 162: 4.0036522402483906e-06
Position 430: 2.516589675233868e-06
Position 92: 2.510934879080205e-06
Position 404: 1.7948354440517198e-06
Position 816: 1.7291162468674036e-06
Position 491: 1.6698488834046944e-06
Position 52: 1.2866533940299297e-06
Position 445: 9.007414026067596e-07
Position 478: 8.462314852202027e-07
Position 266: 2.6938747982364946e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 604: 0.999765239796167
Position 375: 0.999654949315867
Position 745: 0.9981086233308141
Position 216: 0.9141972887840051
Position 92: 0.23982258819447344
Position 101: 0.16786363942428736
Position 71: 0.0005175401019564124
Position 158: 0.0004573338523699538
Position 135: 0.00033828191075960327
Position 226: 0.0001534104400992782
Position 391: 0.000138338938325117
Position 262: 0.00010504449021387503
Position 923: 3.823375819134122e-05
Position 934: 2.2457356986707778e-05
Position 850: 1.935767716833342e-05
Position 781: 1.6249846502710484e-05
Position 253: 7.465926912060472e-06
Position 430: 6.3407192380984056e-06
Position 643: 2.625608776191057e-06
Position 944: 2.508873675005439e-06
Position 418: 1.0725646471739178e-06
Position 688: 9.697596179519665e-07
Position 714: 9.047107149986309e-07
Position 168: 5.161756168919383e-07
Position 666: 1.8830492661106163e-07
Position 275: 1.0784607400945464e-07
Position 281: 9.465381064716766e-08
Position 304: 8.062153264171084e-08
