Gene = mtDNA-helicase
index = 1801
Annotated 5SS: [319 815]
Annotated 3SS: [376 983]
SMsplice 5SS: [319 815]
SMsplice 3SS: [376 983]
top_k =  100
Partition function (log Z): -4.814269290680217

Sorted 5' Splice Sites (High to Low Probability):
Position 319: 0.969988019796843
Position 815: 0.7949622929875412
Position 734: 0.11681962908212953
Position 303: 0.008979860142871362
Position 880: 0.0054444370613908125
Position 2099: 0.0033515036460318084
Position 152: 0.002939752255040091
Position 353: 0.0021541426483993953
Position 1322: 0.001976953010628099
Position 763: 0.001314519080689686
Position 1669: 0.0008601999100016067
Position 652: 0.0008376083120165701
Position 757: 0.0007516290114578545
Position 594: 0.0006472794162033355
Position 936: 0.00040126634851602355
Position 664: 0.0003136508292261716
Position 356: 0.00031231912210206823
Position 864: 0.00030902935210437566
Position 520: 0.00011564762792541471
Position 258: 6.35315574742329e-05
Position 40: 2.4122202880382487e-05
Position 61: 1.4907099127338765e-05
Position 111: 1.2431434779626166e-05
Position 82: 5.117683077477569e-06
Position 84: 1.4961664744279358e-06
Position 212: 1.0498051472282235e-06
Position 819: 7.25470843248889e-07
Position 156: 4.22500767367385e-07
Position 114: 3.4948734895696586e-07
Position 131: 2.6393233357597637e-07
Position 56: 2.576290968037165e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 376: 0.902484615801402
Position 983: 0.6696776181074166
Position 859: 0.18612158768120673
Position 441: 0.06777389263186222
Position 801: 0.04941767653539823
Position 422: 0.006009567043519688
Position 1397: 0.004743548101222072
Position 1015: 0.004738576285637913
Position 1772: 0.0038463106937228586
Position 878: 0.0038226274780486257
Position 2150: 0.003324011676657773
Position 1028: 0.0027784002690762733
Position 221: 0.002234551171262795
Position 1630: 0.0010922883320625388
Position 864: 0.000916964838595451
Position 1126: 0.0006620874866360795
Position 922: 0.0005509851552086431
Position 477: 0.00038973322576605696
Position 2155: 0.0003637113454486698
Position 663: 0.0003063179150339514
Position 201: 0.00027594340624454425
Position 627: 0.0002595317364557486
Position 450: 0.0002369781636834317
Position 586: 0.00016565587267337872
Position 541: 0.00013496544476375346
Position 356: 7.53883605014844e-05
Position 250: 6.343702848347119e-05
Position 465: 6.265030577746603e-05
Position 111: 2.7999643377570208e-05
Position 227: 2.434977953359909e-05
Position 128: 7.320842903279412e-06
Position 141: 4.3333942493839165e-06
Position 173: 3.322455762094633e-06
Position 275: 3.207061736975722e-06
Position 254: 2.5148116671255236e-06
Position 167: 1.0523438014850863e-06
Position 149: 4.2835196560689633e-07
Position 152: 2.6383170537022046e-07
