Gene = ndl
index = 1815
Annotated 5SS: [ 287  853 2721 3852 4405 4794 6134 6366 6535 7586 8121 8468 8639 8845]
Annotated 3SS: [ 708  908 2781 3912 4459 4854 6195 6420 6600 7650 8175 8530 8700 8899]
SMsplice 5SS: [ 287  853 2366 2721 3852 4405 4794 6134 6366 6535 7586 8121 8484 8639
 8845]
SMsplice 3SS: [ 708  908 2552 2781 3912 4459 5868 6195 6420 6600 7650 8175 8530 8700
 8899]
top_k =  100
Partition function (log Z): 24.196291430729644

Sorted 5' Splice Sites (High to Low Probability):
Position 7586: 0.9995831770265222
Position 853: 0.9988642595262688
Position 8639: 0.9966861175194025
Position 4405: 0.9885235991659633
Position 6535: 0.9866492921171142
Position 2721: 0.9650459169177376
Position 4794: 0.9119380861442775
Position 6366: 0.8227842739377174
Position 8121: 0.7052379254499203
Position 8845: 0.7009076730620379
Position 8484: 0.6981260424924302
Position 287: 0.5911749344295083
Position 2366: 0.47459768618341436
Position 3852: 0.4467755062451192
Position 5197: 0.34763565367454247
Position 995: 0.3384236379458808
Position 8468: 0.29048325837942834
Position 3855: 0.2549188339323745
Position 7823: 0.23375475429869375
Position 5577: 0.15676278853737693
Position 604: 0.15395671359510738
Position 552: 0.12059096864583507
Position 8835: 0.10734861136859124
Position 8980: 0.0698282778506032
Position 5298: 0.06759753495622972
Position 2860: 0.062228871217011934
Position 9346: 0.060891085806886444
Position 6995: 0.04599663337603934
Position 535: 0.03360597731169536
Position 3824: 0.022804959866925177
Position 5265: 0.011444961476726651
Position 4608: 0.01135295985764894
Position 4757: 0.009579130858345268
Position 6759: 0.008524841548705718
Position 4060: 0.0078100819002538055
Position 8073: 0.005870122963528954
Position 28: 0.005331608696567358
Position 4981: 0.005046238455216866
Position 6894: 0.004968313927676281
Position 9003: 0.004544962345193074
Position 8083: 0.003720165237444393
Position 8093: 0.0035610418827208704
Position 401: 0.003370163489250181
Position 608: 0.0031479253283742815
Position 197: 0.0021679859088604785
Position 2947: 0.0020348171169696718
Position 2904: 0.002010047530022399
Position 8635: 0.0019970628176227676
Position 6547: 0.00199047373153059
Position 7859: 0.0017401901255781863
Position 1478: 0.001618379340061391
Position 4252: 0.0015502727051862242
Position 1448: 0.0015457336483992482
Position 1419: 0.0013842584878422264
Position 523: 0.0013648859780563734
Position 1581: 0.0011641053436588378
Position 3088: 0.0011262329235410167
Position 1212: 0.0009546614515649862
Position 31: 0.0006551797689283537
Position 8128: 0.0006509049680978056
Position 857: 0.0006120813628616141
Position 497: 0.00047375379968973494
Position 153: 0.00044574914597724625
Position 104: 0.00044136235222118244
Position 8776: 0.0004211632152340592
Position 233: 0.00041221039673094794
Position 7943: 0.0003627039057897616
Position 1256: 0.00034799943214300474
Position 2361: 0.00024257026096952242
Position 56: 0.00020916550351000152
Position 2163: 0.00019024013525379042
Position 418: 0.00018092565920340355
Position 615: 0.000176248779730388
Position 663: 0.00013890223705478562
Position 840: 0.00013038885541818474
Position 525: 0.00010679701116220251
Position 7985: 9.884422299554905e-05
Position 98: 9.864721357591424e-05
Position 114: 9.063578141722521e-05
Position 478: 8.284062737198107e-05
Position 8643: 7.908729200510137e-05
Position 19: 7.02021817307051e-05
Position 425: 6.234984831557846e-05
Position 291: 5.741936998643539e-05
Position 293: 5.65081488247671e-05
Position 837: 4.80739516405355e-05
Position 7225: 3.129519842097465e-05
Position 8605: 2.159996101835976e-05
Position 2878: 1.0978409087048938e-05
Position 822: 6.103589497443228e-06
Position 7359: 4.997074119660482e-06
Position 7176: 4.519406678901392e-06
Position 1472: 3.6472200536165055e-06
Position 1787: 3.223767693648682e-06
Position 1097: 3.1560817918639e-06
Position 1147: 2.3074845284096054e-06
Position 861: 2.0300438877090302e-06
Position 2111: 1.79170073782686e-06
Position 881: 1.3989405379205142e-06
Position 795: 8.197805966908102e-07
