Gene = Piezo
index = 1380
Annotated 5SS: [  446 10137 10468 10836 11195 11396 11626 12325 13734 14001 14617 15325
 15879 16743 16957 18977 19378 19806 20491 20634 21778 22206 23183 23603
 23812 24020 25022 25603 25805]
Annotated 3SS: [ 9942 10202 10527 11067 11275 11462 12102 13499 13802 14056 14705 15385
 15937 16798 18910 19231 19553 20115 20556 21741 22052 23043 23240 23664
 23874 24087 25094 25662 25858]
SMsplice 5SS: [  446 10137 10468 10836 11195 11396 11626 13422 13734 14001 14617 15325
 15879 16743 16957 19378 20491 21778 23183 23603 23812 24020 25022 25603
 25805]
SMsplice 3SS: [ 9942 10202 10527 11067 11275 11462 12921 13499 13802 14056 14705 15385
 15937 16798 18910 20067 20556 23043 23240 23664 23874 24087 25094 25662
 25858]
top_k =  100
Partition function (log Z): 74.69359547959571

Sorted 5' Splice Sites (High to Low Probability):
Position 24020: 0.999998712212705
Position 20491: 0.9999840605584177
Position 23603: 0.9997826794807639
Position 23183: 0.9995140588399452
Position 16957: 0.9990274962437714
Position 25022: 0.9988950663452006
Position 23812: 0.9987462711500809
Position 13734: 0.9978183118779422
Position 25603: 0.9927313397822123
Position 14001: 0.9915414623549116
Position 19378: 0.9805300981108847
Position 10137: 0.9784827149399097
Position 11626: 0.966137644258649
Position 11195: 0.9658668052505983
Position 15325: 0.964500207820228
Position 25805: 0.9608859249833397
Position 16743: 0.9478481701800895
Position 11396: 0.942195936411131
Position 10468: 0.9307043447523056
Position 10836: 0.916879351351426
Position 21778: 0.9162816805589735
Position 14617: 0.8934386398195349
Position 446: 0.836962729153376
Position 15879: 0.7748567350702065
Position 13347: 0.3729112562805729
Position 22206: 0.3646634813596055
Position 12325: 0.3476196348411319
Position 13422: 0.347308811830703
Position 19806: 0.3335207948211106
Position 25373: 0.18987795548367864
Position 22720: 0.1898613164312425
Position 15851: 0.1774806505671269
Position 22545: 0.16676042498838406
Position 211: 0.1630372708466206
Position 21321: 0.1355946172351438
