Gene = Scgalpha
index = 1472
Annotated 5SS: [ 672 1149 1344 1559]
Annotated 3SS: [ 743 1232 1414 1622]
SMsplice 5SS: [ 672 1149 1344 1559]
SMsplice 3SS: [ 743 1232 1414 1622]
top_k =  100
Partition function (log Z): 7.288276942011365

Sorted 5' Splice Sites (High to Low Probability):
Position 1344: 0.9906497910145184
Position 672: 0.9860761870092503
Position 1149: 0.9603697740994651
Position 1559: 0.8614460336468673
Position 808: 0.22330615694365857
Position 247: 0.1346170384017466
Position 897: 0.05650831254457418
Position 680: 0.012081305944402206
Position 453: 0.010016890962494186
Position 1322: 0.004799761683279684
Position 913: 0.004594614925210632
Position 84: 0.0028507019018427617
Position 877: 0.0025386725251067927
Position 1146: 0.002351192184693158
Position 1870: 0.002145500740718386
Position 77: 0.0014100218788596335
Position 71: 0.001252646139412214
Position 819: 0.0012378585763424895
Position 59: 0.0011792758174088284
Position 1818: 0.0011146036752332613
Position 1334: 0.0007427387517823728
Position 1567: 0.0006494563649985282
Position 1153: 0.0004341630100284794
Position 321: 0.00022937601938650634
Position 170: 0.00013824006772022413
Position 517: 0.00010843532018033491
Position 1703: 0.00010658220054152112
Position 691: 0.00010346655302409343
Position 439: 9.940999820583685e-05
Position 468: 8.670008991281361e-05
Position 305: 8.191976162900463e-05
Position 825: 8.022479007886409e-05
Position 625: 4.910130412655347e-05
Position 190: 2.7908707323523176e-05
Position 1033: 2.77156073143223e-05
Position 856: 2.7351015018894995e-05
Position 1391: 2.680785448779296e-05
Position 1128: 1.9759480600918293e-05
Position 1402: 1.851074731541859e-05
Position 618: 1.6437433868569996e-05
Position 1385: 1.487988818594874e-05
Position 1308: 5.650492548177925e-06
Position 52: 3.6801555849130187e-06
Position 392: 2.4460877570916283e-06
Position 607: 1.6775854838656173e-06
Position 400: 7.632347129962474e-07
Position 602: 5.920748882571628e-07
Position 604: 5.371993516324721e-07
Position 163: 5.347135900001849e-07
Position 117: 5.105640941428377e-07
Position 442: 4.2666868194418935e-07
Position 177: 1.9809506295957066e-07
Position 1465: 1.9233682633000683e-07
Position 1458: 7.093879146621348e-08
Position 133: 2.5718868126066843e-08
Position 139: 2.4386871215544835e-08
Position 136: 4.53684047701288e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 743: 0.9985645784278612
Position 1414: 0.9939507291835434
Position 1232: 0.9800502767796383
Position 1622: 0.8167112944076589
Position 950: 0.13787703200457244
Position 861: 0.12844534688722345
Position 305: 0.12532141800984692
Position 1634: 0.0448879280507154
Position 367: 0.005489228438819098
Position 539: 0.005306557175337063
Position 587: 0.0039329636224167555
Position 960: 0.003398926469943146
Position 145: 0.0032535996552063473
Position 1454: 0.0024523761393420358
Position 133: 0.0023493689514434923
Position 1930: 0.002268760018789048
Position 542: 0.0019742023561223647
Position 326: 0.0015505702477498558
Position 1644: 0.0011602384357196414
Position 1889: 0.001125679261857622
Position 492: 0.0008919183376089777
Position 764: 0.0006240661629067551
Position 1285: 0.0005335423641630184
Position 993: 0.0002525465981056867
Position 1683: 0.00020453774049017476
Position 168: 0.00017233600791521808
Position 420: 0.00015890023274661033
Position 1664: 0.00014117449071173802
Position 468: 0.00011868542935709729
Position 1120: 9.515871456607202e-05
Position 873: 9.313895955577962e-05
Position 1937: 7.803377817335284e-05
Position 183: 7.74927231792785e-05
Position 774: 5.551104080935555e-05
Position 117: 4.2297768274448256e-05
Position 792: 3.634510677176047e-05
Position 163: 4.988300223819561e-06
Position 177: 1.1120914046003135e-06
