Gene = UK114
index = 1579
Annotated 5SS: [170 472]
Annotated 3SS: [241 700]
SMsplice 5SS: [170 472]
SMsplice 3SS: [241 700]
top_k =  100
Partition function (log Z): -0.08430350971433437

Sorted 5' Splice Sites (High to Low Probability):
Position 472: 0.9872039511273228
Position 170: 0.9738307746427809
Position 625: 0.01196846012626122
Position 190: 0.004103512660977588
Position 843: 0.0021589476679641432
Position 184: 0.0018622620364435376
Position 459: 0.0007339730390932852
Position 618: 0.0007066197391239841
Position 16: 0.0005098182517726571
Position 831: 0.00032739453140783397
Position 593: 0.0001658355398937203
Position 476: 0.00011738376305250876
Position 402: 7.956613893815668e-05
Position 117: 5.7373772401472685e-05
Position 494: 5.674638471283643e-05
Position 33: 4.123922088687528e-05
Position 5: 1.0195342793969788e-05
Position 814: 4.219209043487108e-06
Position 156: 3.997217282090397e-06
Position 269: 2.6415004087753403e-06
Position 89: 1.023109215286084e-06
Position 315: 6.22498524078354e-07
Position 393: 3.6427637386875156e-07
Position 66: 3.2176365738040135e-07
Position 84: 8.497839396416646e-08
Position 450: 2.8819993341815243e-08
Position 419: 2.5606573778707427e-08
Position 417: 1.9711542946668243e-08
Position 107: 9.295094477283481e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 700: 0.9385711216317224
Position 241: 0.8820716107779201
Position 245: 0.09592262842464931
Position 728: 0.042111563644945026
Position 738: 0.012685692125900188
Position 518: 0.007266192168150253
Position 891: 0.0021549483282937982
Position 642: 0.0008237023881447762
Position 711: 0.0006736551361767732
Position 84: 0.0005562003476511263
Position 886: 0.00043402683428843565
Position 580: 0.0003079756862173908
Position 597: 0.00010297856645041632
Position 299: 9.534750650718698e-05
Position 324: 3.45302064642194e-05
Position 897: 3.43257839102332e-05
Position 377: 2.8960059671579693e-05
Position 747: 2.782595074944793e-05
Position 344: 1.6515736038522052e-05
Position 450: 1.4496860063472621e-05
Position 347: 6.317633786911807e-06
Position 428: 2.572833368495656e-06
Position 98: 1.4974224193512586e-06
Position 417: 1.2940208659395607e-06
Position 133: 8.115513045090814e-07
Position 402: 5.232186552690162e-07
Position 47: 3.679993685254955e-08
Position 121: 2.940296548722481e-08
Position 156: 1.4436080990724619e-08
Position 152: 6.788047426412287e-09
Position 174: 4.5878473891238407e-10
Position 170: 3.9656525188994426e-11
