Gene = ND-13A
index = 1295
Annotated 5SS: [279 552]
Annotated 3SS: [374 614]
SMsplice 5SS: [279 552]
SMsplice 3SS: [374 614]
top_k =  100
Partition function (log Z): 0.9556197657390687

Sorted 5' Splice Sites (High to Low Probability):
Position 279: 0.9838263730786428
Position 552: 0.9663699669774087
Position 140: 0.09444558829641338
Position 25: 0.024605619902753336
Position 261: 0.011825999182378573
Position 557: 0.006205306218341437
Position 539: 0.005775256086623103
Position 537: 0.0017787270190232612
Position 31: 0.0015158046416499085
Position 137: 0.0010976937050525886
Position 99: 0.001070624804172622
Position 465: 0.0008057289941352289
Position 697: 0.0007960886253959499
Position 526: 0.0006013619180819035
Position 517: 0.0005431943297747712
Position 61: 0.0005075658699084989
Position 108: 0.0004509108524694183
Position 425: 0.00041870364136938304
Position 165: 0.0003375229287445422
Position 297: 0.0002609808390352566
Position 91: 0.00024650899125924905
Position 125: 0.00020980032887515305
Position 869: 0.00014260723500943877
Position 50: 0.00013395994477231467
Position 79: 0.00012519081779844679
Position 735: 9.439139982416042e-05
Position 1037: 1.998550184642335e-05
Position 9: 1.4573945857016451e-05
Position 407: 1.1547621682167656e-05
Position 225: 8.784739551986058e-06
Position 101: 5.983023687160105e-06
Position 11: 2.133521668468111e-06
Position 106: 1.3123875739047966e-06
Position 492: 4.248430292555279e-09
Position 479: 2.219822029777477e-09
Position 495: 7.021982283788453e-10
Position 342: 2.61836736121588e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 374: 0.9986280031567395
Position 614: 0.9820972936503002
Position 200: 0.1199217555925125
Position 774: 0.0008103907348189844
Position 97: 0.0007584413111985042
Position 952: 0.0005185706189637578
Position 154: 0.00021128339062686645
Position 386: 0.0001914955768876066
Position 800: 0.00016390660909954523
Position 840: 0.00013866453409494238
Position 112: 0.00012095886393077763
Position 389: 0.00012082392400979376
Position 83: 0.00011786371735433573
Position 91: 0.00010816782932837702
Position 238: 9.869161778338457e-05
Position 223: 6.552986340424543e-05
Position 422: 4.4674109382154856e-05
Position 158: 4.067889855513327e-05
Position 995: 2.147088210505859e-05
Position 1106: 1.998550184642335e-05
Position 869: 1.6784153982000277e-05
Position 744: 1.2469910658054594e-05
Position 990: 9.262493531595747e-06
Position 70: 7.802081116908923e-06
Position 537: 7.295812807030717e-06
Position 65: 1.8405241415356823e-06
Position 54: 1.6991846715939505e-06
