Gene = ms(2)34Fe
index = 1796
Annotated 5SS: [ 290  684 1847 2658 3524 4259 4489 4757 4923]
Annotated 3SS: [ 345  741 1908 2719 3638 4333 4548 4814 4982]
SMsplice 5SS: [ 290  684 1847 2658 4259 4757 4923]
SMsplice 3SS: [ 345  741 1908 2719 4548 4814 4982]
top_k =  100
Partition function (log Z): 19.238175934141875

Sorted 5' Splice Sites (High to Low Probability):
Position 4259: 0.9999999958442681
Position 684: 0.9996825967841287
Position 4923: 0.9963619548695127
Position 1847: 0.9958021037656393
Position 290: 0.9935359998972693
Position 2658: 0.9889573131158185
Position 4757: 0.8673656475499241
Position 4489: 0.4237565138140826
Position 3090: 0.3428413232505869
Position 3524: 0.3324440010276061
Position 1569: 0.2697949401388926
Position 1393: 0.14334466997830006
Position 5137: 0.05467436256015895
Position 1723: 0.022761591785407605
Position 4768: 0.015082404532790201
Position 1074: 0.006778089981859221
Position 2179: 0.0066971428500742815
Position 1247: 0.005663650047384619
Position 1387: 0.004947322683621052
Position 1536: 0.004843274028236049
Position 1259: 0.003970848336584794
Position 1833: 0.0028058657122679155
Position 2463: 0.0027639203519649056
Position 2160: 0.0027264276351518964
Position 988: 0.0019593873703301354
Position 2162: 0.001802555897506174
Position 1301: 0.0017039200946591744
Position 1028: 0.0016845254082812652
Position 1851: 0.001387516936514546
Position 1080: 0.0013266890261187272
Position 4893: 0.0010207284043420772
Position 4908: 0.0009759890856702145
Position 4934: 0.0009574437947472525
Position 443: 0.0008305643878266549
Position 5325: 0.0004363457922975321
Position 270: 0.00032373563044763964
Position 323: 0.00028652767824336237
Position 297: 0.00023641592873460587
Position 2820: 0.00021649194129831845
Position 2763: 0.00013692505446752018
Position 5314: 0.00010254647776084447
Position 464: 9.959897490383774e-05
Position 671: 4.832601561196785e-05
Position 294: 4.284025086672518e-05
Position 416: 4.092061273928989e-05
Position 651: 3.542283535435759e-05
Position 312: 1.8989558220814896e-05
Position 529: 1.463889858626651e-05
Position 213: 1.0889405809890647e-05
Position 1420: 1.0602150251420864e-05
Position 44: 2.2089101444917552e-06
Position 1174: 1.234546257948144e-06
Position 1771: 1.2295297347286223e-06
Position 1170: 1.1781811791974517e-06
Position 4670: 1.0054076704700171e-06
Position 2191: 7.601522393005681e-07
Position 194: 6.239780959035157e-07
Position 104: 5.261178660773007e-07
Position 174: 3.012171857074855e-07
Position 98: 2.5930346048433117e-07
Position 163: 2.506417242753408e-07
Position 101: 2.3925746913893274e-07
Position 669: 2.2200995632090784e-07
Position 5139: 1.6390627907273352e-07
Position 178: 5.4027135271703795e-08
Position 787: 5.055071481594525e-08
Position 623: 3.997782399189954e-08
Position 2318: 2.3137650538251026e-08
Position 158: 1.7863625972113194e-08
Position 627: 1.5544664324505598e-08
Position 206: 1.1858996427090434e-08
Position 3939: 4.155729687277797e-09
Position 238: 2.6473290511546464e-09
Position 617: 2.5564924740176177e-09
Position 334: 1.586277085666172e-09
Position 217: 1.109347307061713e-09
Position 258: 4.736807008405674e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 4982: 0.9988783326417305
Position 741: 0.9975956518316098
Position 4548: 0.9337913699799116
Position 1908: 0.9265939930504146
Position 4814: 0.9156088138065083
Position 345: 0.8703597767908916
Position 2719: 0.8208853667114386
Position 3829: 0.45442294214368784
Position 4333: 0.4308121690320112
Position 1635: 0.31589012388052545
Position 3638: 0.12697367718688096
Position 1580: 0.09781230300427812
Position 3754: 0.0806926670107973
Position 2785: 0.06432775912615044
Position 1919: 0.059684599609864504
Position 5205: 0.05467452646643804
Position 401: 0.05386500223207006
Position 2722: 0.04434613717423039
Position 3214: 0.03570462986624637
Position 497: 0.027663321332952615
Position 1782: 0.023815241815265887
Position 1757: 0.02097002879295791
Position 3193: 0.01633195607363635
Position 4756: 0.013940311841223272
Position 1939: 0.012828588287266296
Position 2243: 0.012119705587424154
Position 3003: 0.011431280101465423
Position 369: 0.011318539554628382
Position 561: 0.008945096972064753
Position 4471: 0.00859838745800251
Position 3234: 0.008596515106703891
Position 1311: 0.007101569165906971
Position 565: 0.006535973490519572
Position 537: 0.005870490766295698
Position 527: 0.004774606531616097
Position 1500: 0.0038172986580492147
Position 4777: 0.0027706353410833487
Position 2515: 0.002763920351964903
Position 437: 0.002015654160035792
Position 424: 0.001478557491094914
Position 892: 0.0013219731418745726
Position 5016: 0.001121667358267632
Position 581: 0.000759664398259769
Position 2824: 0.0006819909984213463
Position 633: 0.0006779377061633919
Position 362: 0.0006653118954691154
Position 5387: 0.0004754571428002207
Position 1036: 0.000411811909524137
Position 2911: 0.00020115582498032535
Position 449: 8.379597519329189e-05
Position 5395: 6.343512725815588e-05
Position 589: 5.889064208254821e-05
Position 503: 5.51492653173277e-05
Position 611: 3.12907259321544e-05
Position 414: 3.081562082340775e-05
Position 416: 2.750402617944265e-05
Position 596: 1.412513479438861e-05
Position 434: 1.4070066967789049e-05
Position 1137: 9.170211608478548e-06
Position 1065: 5.043523416402641e-06
Position 91: 2.191141452899774e-06
Position 258: 7.346601457677807e-07
Position 174: 6.91207474373658e-07
Position 270: 6.331574731495552e-07
Position 234: 5.75854782002821e-07
Position 183: 2.3638938907310243e-07
Position 194: 5.3251244479677355e-08
Position 238: 1.474224136217234e-08
Position 158: 1.364303759858492e-08
Position 282: 9.711326719338962e-10
Position 275: 4.59510191414804e-10
Position 3849: 2.0279008447880497e-10
