Gene = PIG-U
index = 1358
Annotated 5SS: [ 187  872 1206]
Annotated 3SS: [ 246  933 1265]
SMsplice 5SS: [ 187  872 1206]
SMsplice 3SS: [ 246  933 1265]
top_k =  100
Partition function (log Z): 4.273380741131412

Sorted 5' Splice Sites (High to Low Probability):
Position 1206: 0.9968050760462251
Position 872: 0.9912766828348841
Position 187: 0.9855712944347355
Position 476: 0.04590802656641255
Position 303: 0.03936606536104616
Position 603: 0.02067423598766002
Position 1516: 0.008740315816845123
Position 191: 0.004456510378318961
Position 645: 0.003317211891158833
Position 1449: 0.002003381274988265
Position 540: 0.0014540840440167267
Position 573: 0.0014147218405541045
Position 865: 0.0008446935638302841
Position 503: 0.000587528437671219
Position 1068: 0.00041023229057874
Position 546: 0.00026514383913924606
Position 200: 0.00022420053527207127
Position 344: 0.0002230618837369837
Position 792: 0.00017761083215483205
Position 1106: 0.00014119988940250707
Position 860: 0.00013274380632988117
Position 756: 0.00010259692207443633
Position 901: 6.934872993155041e-05
Position 976: 6.514195637676263e-05
Position 1210: 6.005005319026713e-05
Position 1197: 5.136085886132652e-05
Position 1046: 4.6622263708976167e-05
Position 1535: 3.6960509882717826e-05
Position 1562: 2.5712695901253178e-05
Position 766: 2.531512291655565e-05
Position 714: 2.2667073438633967e-05
Position 1470: 2.09215806039878e-05
Position 1508: 1.4889931636823962e-05
Position 223: 1.2432510238137961e-06
Position 150: 1.0706614275504439e-06
Position 155: 7.565422483088391e-07
Position 99: 2.657377170119763e-07
Position 1339: 2.645761395858927e-07
Position 1138: 1.4174278404657163e-07
Position 25: 8.564898249851329e-08
Position 1286: 8.404135661990875e-08
Position 274: 2.57888849797425e-08
Position 424: 1.4939594338057516e-08
Position 362: 1.0944502706806256e-08
Position 68: 9.369748260096544e-09
Position 234: 7.885546081193712e-09
Position 1186: 4.450706954974208e-09
Position 994: 3.511877804928548e-09
Position 905: 2.4753974184563396e-09
Position 1252: 1.2799157330753786e-09
Position 29: 1.1430802306992686e-09
Position 115: 1.0801628545384462e-09
Position 738: 9.242985853810098e-10
Position 1157: 4.715691261758937e-13
Position 1112: 5.140844928147003e-14
Position 246: 8.669571858113442e-17

Sorted 3' Splice Sites (High to Low Probability):
Position 1265: 0.9967220210914689
Position 933: 0.9803489591020358
Position 246: 0.8846465280610305
Position 723: 0.10917420114224638
Position 362: 0.03898814737271685
Position 272: 0.03477004748282901
Position 675: 0.021692704823543
Position 955: 0.013704760871294238
Position 1567: 0.006783360132059198
Position 700: 0.0063153297322957455
Position 562: 0.004562406215702432
Position 1635: 0.001910218727098296
Position 760: 0.0008183023117964883
Position 1593: 0.0007538822692497711
Position 1134: 0.0006868995413167893
Position 1529: 0.0006443367035461462
Position 1573: 0.0006421127989273867
Position 650: 0.0005843465118385429
Position 1408: 0.00028708659767554684
Position 328: 0.0001908008435461726
Position 440: 0.00011879430770467138
Position 1352: 7.458344876052519e-05
Position 1535: 4.739282605438065e-05
Position 1516: 4.368595704828631e-05
Position 1520: 2.4998479807786042e-05
Position 252: 3.6359093640227745e-06
Position 234: 4.4370623675223156e-08
Position 254: 1.177644048572126e-08
Position 214: 4.6385627446224374e-09
Position 223: 1.202822744732595e-09
