Gene = Rnmt
index = 1430
Annotated 5SS: [1280]
Annotated 3SS: [1336]
SMsplice 5SS: [1280]
SMsplice 3SS: [1336]
top_k =  100
Partition function (log Z): -5.198396194877625

Sorted 5' Splice Sites (High to Low Probability):
Position 1280: 0.9786268360713877
Position 1561: 0.13419362534575538
Position 1535: 0.12795007286535207
Position 1671: 0.03944903971824991
Position 917: 0.02673170902943777
Position 1207: 0.018179249017859844
Position 211: 0.01069496471264204
Position 1239: 0.003782689076717496
Position 1440: 0.0031977536065587084
Position 711: 0.002719928760869011
Position 1539: 0.002539504985244568
Position 1483: 0.0014902270423077773
Position 1549: 0.0011347814341610472
Position 749: 0.001064580213961839
Position 42: 0.0006425570575327843
Position 1458: 0.0004788517039137299
Position 1348: 0.0004684472994860092
Position 1401: 0.00031003827472336504
Position 1243: 0.00015984386061116939
Position 639: 5.67288576551275e-06
Position 215: 2.746767470774141e-06
Position 694: 1.9396661215102896e-06
Position 444: 1.4565987277678223e-06
Position 479: 1.0481202258675241e-06
Position 657: 1.0261611960209686e-06
Position 384: 9.445064267382198e-07
Position 377: 9.12414968545269e-07
Position 46: 3.308323942301984e-07
Position 1211: 7.031195985216099e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 1336: 0.92372924852397
Position 1608: 0.13762734447433608
Position 1582: 0.11231003846285799
Position 1777: 0.058914326507846775
Position 1362: 0.04012782993480457
Position 1613: 0.03254061587192165
Position 1110: 0.01465777217452969
Position 981: 0.006690111673306004
Position 1143: 0.003948301965347586
Position 1221: 0.0032308583497650655
Position 1027: 0.002938163825787347
Position 814: 0.0025653276891265363
Position 1323: 0.0020489191747488757
Position 732: 0.001666084690937684
Position 753: 0.001571125462149914
Position 847: 0.0011594865236552124
Position 1446: 0.0011201396279422976
Position 1714: 0.001049957982717272
Position 777: 0.0009655411550059308
Position 1276: 0.0008925942165688635
Position 491: 0.0007714639161455657
Position 109: 0.0006428878899270145
Position 1747: 0.0005615159117233372
Position 1790: 0.00047148354035376247
Position 1520: 0.00043773231062508997
Position 456: 0.00032246324652873345
Position 543: 0.00031650027842343117
Position 1640: 0.0002686738137003513
Position 274: 0.0002518714872583496
Position 1074: 1.1902795950222133e-05
Position 1050: 1.147893206659751e-05
Position 694: 3.963008586901353e-06
Position 987: 2.6330203294252935e-06
Position 789: 2.4899030851130642e-06
