Gene = l(3)mbn
index = 1755
Annotated 5SS: [ 279  447 2454 3735 4001]
Annotated 3SS: [ 337 2309 2813 3937 4068]
SMsplice 5SS: [ 279  447 2454 2982 4001]
SMsplice 3SS: [ 337 2309 2813 3937 4068]
top_k =  100
Partition function (log Z): 5.652380466151367

Sorted 5' Splice Sites (High to Low Probability):
Position 2454: 0.9987433260421531
Position 447: 0.994881378387007
Position 4001: 0.8640487993963984
Position 2982: 0.8151745716161035
Position 279: 0.7103546537510042
Position 3735: 0.4881833987264587
Position 1977: 0.09059367456825626
Position 3422: 0.05088535701063272
Position 70: 0.009915293215591195
Position 2907: 0.008212890826251826
Position 3900: 0.004191332404644165
Position 25: 0.004102016436611748
Position 2096: 0.0035637182987915653
Position 3197: 0.0031447342024918585
Position 455: 0.002110738239929716
Position 1168: 0.0018284204528410727
Position 2669: 0.0016536355781411479
Position 2708: 0.0015674170881715954
Position 1952: 0.0008357367732455325
Position 126: 0.0006911752559633894
Position 2444: 0.0006416901708301093
Position 2878: 0.00044687475397586486
Position 166: 0.0004462142358720591
Position 505: 0.000354485934501034
Position 3069: 0.000324945297777394
Position 881: 0.00030959981527085075
Position 2722: 0.00030507390233303484
Position 1594: 0.0002974990815572624
Position 826: 0.0002937266799557498
Position 120: 0.00028094286375632233
Position 1322: 0.00026098088800088486
Position 2901: 0.00024980051068048363
Position 2448: 0.0002251882401433118
Position 266: 0.00020665516025496393
Position 89: 0.00017600921463852776
Position 270: 0.0001369772258012265
Position 2458: 0.00010185884979356519
Position 213: 4.41212422032831e-05
Position 20: 4.020816809399379e-05
Position 283: 3.556614873812547e-05
Position 291: 2.9529451027237325e-05
Position 81: 1.0447057314800321e-05
Position 164: 9.483840025812411e-06
Position 274: 8.064097207333433e-06
Position 179: 6.802389341825046e-06
Position 193: 4.0038649523402724e-06
Position 29: 2.4995832882041173e-06
Position 158: 1.6425491115387135e-06
Position 27: 1.015531702138305e-06
Position 146: 1.0138527353933377e-06
Position 53: 9.543374975540022e-07
Position 386: 2.8354220240300393e-07
Position 958: 1.908484088271797e-07
Position 2543: 1.582115204251554e-07
Position 733: 1.3358688748762136e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 2813: 0.9970417405552411
Position 2309: 0.9924499241968794
Position 4068: 0.8753952342389171
Position 337: 0.7211593832712492
Position 3937: 0.48071361081068836
Position 3049: 0.3529590560384785
Position 3780: 0.27328170236917565
Position 3485: 0.09601129045656678
Position 1697: 0.0611681337094126
Position 3548: 0.03778637760441351
Position 3899: 0.032361380622887966
Position 3611: 0.02892286305134611
Position 3152: 0.022979475951121323
Position 546: 0.01353731428515597
Position 1909: 0.011398862774855696
Position 3413: 0.010973025047326258
Position 2959: 0.009181661046757283
Position 1455: 0.007298303877179673
Position 1772: 0.0066371942254726075
Position 3178: 0.005599984999160042
Position 3440: 0.004330557219966386
Position 3080: 0.0034876667628665906
Position 1625: 0.0016878906714697592
Position 179: 0.0016487621486382664
Position 1567: 0.0016311996437482004
Position 2592: 0.0015860272965438243
Position 2522: 0.0014733272437828409
Position 2752: 0.0013506934413987182
Position 1434: 0.0012647550327769097
Position 3648: 0.0011509134815925449
Position 386: 0.0006592718164254717
Position 2604: 0.0005758279948478168
Position 2764: 0.0004425712107699197
Position 189: 0.0004082113430857756
Position 2817: 0.00025956481502431176
Position 2842: 0.0002593847311205845
Position 2043: 0.0002443898476269288
Position 2858: 0.0001948306688796721
Position 2060: 0.00014559407812856005
Position 1952: 7.852216030767586e-05
Position 2620: 6.018736061684883e-05
Position 1160: 5.0919926476200884e-05
Position 1108: 4.279933401830353e-05
Position 1009: 2.1598838542719716e-05
Position 67: 1.047845603589921e-05
Position 2972: 9.908902036022839e-06
Position 291: 3.915914908228157e-06
Position 283: 1.7483045534984596e-07
Position 937: 1.4545480437971847e-07
Position 400: 1.3129248967073652e-07
Position 424: 7.815330570093053e-08
Position 1335: 3.5322924237101714e-08
Position 1163: 2.961268774674734e-08
Position 829: 1.8758019989136245e-08
Position 1035: 6.4994831727035445e-09
