Gene = DCX-EMAP
index = 1122
Annotated 5SS: [ 1176 28115 35323 35992 36202 36491 36648 37111 37613 38099]
Annotated 3SS: [27919 35205 35602 36051 36318 36551 36711 37194 37701 38219]
SMsplice 5SS: [ 1176 28115 35323 36202 36491 36648 37111 37613 38099]
SMsplice 3SS: [27919 35205 35602 36318 36551 36711 37194 37701 38219]
top_k =  100
Partition function (log Z): -37.459440024794695

Sorted 5' Splice Sites (High to Low Probability):
Position 1176: 0.9999999999314948
Position 8184: 3.3843134484370186e-06
Position 8050: 6.76065189646042e-07
Position 867: 1.7273858451623505e-07
Position 5968: 1.823404334485991e-08
Position 674: 1.80268089094698e-08
Position 815: 1.3260336767007687e-08
Position 763: 6.374014988001037e-09
Position 232: 2.300458981850044e-09
Position 858: 1.5402567797021816e-09
Position 735: 1.0881744024131242e-09
Position 985: 1.0307711696942912e-09
Position 714: 1.003230750623309e-09
Position 1527: 8.841777745022794e-10
Position 1520: 5.627886918216757e-10
Position 375: 4.697782354885458e-10
Position 855: 1.7000592851170222e-10
Position 403: 1.4924687511598834e-10
Position 1247: 3.436667467135384e-11
Position 204: 1.5579822977668205e-12
Position 385: 1.187574913008689e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 19947: 0.9998678391538449
Position 12770: 5.032143174628589e-05
Position 12657: 4.685341751854373e-05
Position 10470: 1.0442547274553166e-05
Position 10832: 8.092872876798617e-06
Position 8507: 7.073087493874907e-06
Position 7956: 4.944988726467744e-06
Position 10366: 2.5555559081715727e-06
Position 8468: 1.4599428616930645e-06
Position 10061: 1.4118411581076208e-06
Position 9265: 7.156095403427346e-07
Position 9268: 7.114098960938118e-07
Position 8135: 2.669709115540969e-07
Position 8720: 2.5458039424406767e-07
Position 6288: 2.4798562395770594e-07
Position 938: 1.9607289428523855e-07
Position 7448: 1.7028446217164535e-07
Position 6861: 1.4527084265828382e-07
Position 6312: 1.22546987506893e-07
Position 5760: 7.23013004551063e-08
Position 7181: 6.557035937078328e-08
Position 6765: 5.7507679654499164e-08
Position 3568: 4.161435306473136e-08
Position 7228: 4.049724658102371e-08
Position 4941: 3.760007350107003e-08
Position 6401: 3.62289672675678e-08
Position 6557: 3.1399460483480884e-08
Position 5414: 2.2231792529959723e-08
Position 5819: 1.8251634532614085e-08
Position 888: 1.3151724548981317e-08
Position 5447: 7.851369555788122e-09
Position 1046: 5.907608131976991e-09
Position 1308: 4.777406511027643e-09
Position 4511: 4.035925682422038e-09
Position 4181: 2.4836208118488312e-09
Position 734: 1.6807807617167726e-09
Position 3427: 1.395918116380412e-09
Position 992: 1.2755987016869534e-09
Position 1241: 1.2711478277259067e-09
Position 3418: 8.43535981340594e-10
Position 3485: 7.587672715540496e-10
Position 2150: 6.610203862358073e-10
Position 3827: 6.223076660069923e-10
Position 2243: 4.76168461641251e-10
Position 2586: 4.418649122847865e-10
Position 2884: 3.857794367092193e-10
Position 2553: 2.5538002967446093e-10
Position 1821: 2.16086503151856e-10
Position 2107: 1.6626323259900753e-10
Position 2479: 1.5168503628759728e-10
Position 2165: 1.23136962573938e-10
Position 1247: 1.21829023940741e-10
Position 2122: 1.0422076415144013e-10
Position 2018: 1.0254389175019918e-10
Position 1661: 7.090593610584278e-11
Position 1058: 4.6378190635448704e-11
Position 445: 6.152611523313766e-12
Position 274: 5.645725874578455e-12
Position 1312: 5.024570023754339e-12
Position 1388: 4.949460660265705e-12
Position 304: 3.695383222618209e-12
Position 343: 3.258606275644059e-13
Position 277: 3.2498432117642756e-13
Position 280: 3.003684529514195e-13
Position 547: 2.748604640797485e-13
Position 752: 1.6885901544287485e-13
Position 491: 8.362901724414696e-14
Position 1166: 5.506001663059732e-14
Position 649: 4.6019949225656e-14
Position 464: 3.154121014542125e-14
Position 349: 2.474840901879958e-14
Position 286: 2.2198607426001876e-14
