Gene = DIP2
index = 1125
Annotated 5SS: [ 402  825 1306 1741 2141 2792 3258 4641 5120 5261 5416 5843 6565 7078
 7284]
Annotated 3SS: [ 752  897 1360 2049 2238 2916 3317 4958 5178 5310 5472 5903 6628 7134
 7340]
SMsplice 5SS: [ 402  825 1306 1741 2141 2792 3258 3468 4641 5261 5416 5843 6565 7078
 7284]
SMsplice 3SS: [ 752  897 1360 2049 2238 2842 3317 3910 4958 5310 5490 5903 6628 7134
 7340]
top_k =  100
Partition function (log Z): 12.099850310025358

Sorted 5' Splice Sites (High to Low Probability):
Position 5416: 0.9999999999999977
Position 3258: 0.9959589114434659
Position 7284: 0.9953181698821645
Position 2792: 0.9454622553150723
Position 402: 0.9408078576247534
Position 4641: 0.9360863795470048
Position 5261: 0.9062286262865538
Position 2141: 0.9016099765713819
Position 7078: 0.8680361849475077
Position 1741: 0.7822117284681404
Position 825: 0.7730546363205023
Position 6565: 0.7493832121923631
Position 1306: 0.6401087492837841
Position 5120: 0.5383792103418805
Position 5843: 0.5056706660303784
Position 3468: 0.4248913282713783
Position 1984: 0.2597832076797635
Position 3401: 0.17571695722365924
Position 2170: 0.0635245241074845
Position 3636: 0.05909186976019656
Position 7441: 0.04586292820083526
Position 7612: 0.036947504570212904
Position 6479: 0.035156163634181094
Position 3866: 0.01704267863432981
Position 3831: 0.011915898508918839
Position 623: 0.006368670721302349
Position 1275: 0.005466367602117308
Position 2145: 0.005123101621404729
Position 5195: 0.004755760315446228
Position 7561: 0.004168567012872092
Position 3407: 0.003925904109094422
Position 6142: 0.003520732928463779
Position 1745: 0.0025341031360504506
Position 3423: 0.002518271656912002
Position 237: 0.0022119826631941454
Position 6140: 0.001633515691495409
Position 625: 0.0008037504112075028
Position 1187: 0.0007881465697457365
Position 627: 0.0004826320582455856
Position 140: 0.0004488103279200174
Position 40: 0.0004123284081307955
Position 913: 0.00031838806747333455
Position 394: 0.0002533321201507836
Position 596: 0.00017140572842930138
Position 1029: 0.0001708271927976685
Position 265: 0.00011259136451608227
Position 1020: 0.0001028026605328573
Position 1015: 7.734934757625652e-05
Position 247: 7.631972408429378e-05
Position 241: 6.60847607848912e-05
Position 148: 5.6717922470922293e-05
Position 23: 5.233449907282838e-05
Position 215: 4.2744149699663584e-05
Position 5: 4.087781541185256e-05
Position 223: 3.577009038814438e-05
