Gene = ND-B17
index = 1300
Annotated 5SS: [357 529]
Annotated 3SS: [ 426 1226]
SMsplice 5SS: [357 529]
SMsplice 3SS: [ 426 1226]
top_k =  100
Partition function (log Z): 1.6090547889489395

Sorted 5' Splice Sites (High to Low Probability):
Position 357: 0.9870169175246359
Position 529: 0.9809863980408563
Position 891: 0.19253911805873863
Position 862: 0.057296879660704646
Position 533: 0.008836942876246078
Position 1424: 0.008627955801788188
Position 370: 0.006682321226219841
Position 772: 0.002980170336787947
Position 878: 0.002695795221111016
Position 330: 0.002216779038848251
Position 516: 0.001875378526748251
Position 802: 0.0012641077547825485
Position 624: 0.0011959953658342288
Position 264: 0.0011693363851364253
Position 374: 0.0008907417137846187
Position 1027: 0.0008526403102177912
Position 1401: 0.0007643025621263716
Position 704: 0.0006732106942240877
Position 1415: 0.000592469782720164
Position 642: 0.0004713299449207158
Position 147: 0.000412820543082606
Position 812: 0.0003496001419754946
Position 1536: 0.00025653487614197624
Position 553: 0.0002517216239003947
Position 570: 0.00024946284340441975
Position 582: 0.00012619881202362637
Position 361: 7.344539851296422e-05
Position 595: 4.646760848714343e-05
Position 381: 4.467221380869904e-05
Position 339: 3.708990196261695e-05
Position 175: 3.4226677014063673e-05
Position 105: 2.609820255217263e-05
Position 165: 1.0666831436650198e-05
Position 540: 8.426596191175964e-06
Position 364: 3.267267467535678e-06
Position 224: 1.826797673855814e-06
Position 960: 1.6208911312311641e-06
Position 80: 1.598080476224706e-06
Position 29: 7.110852485782814e-07
Position 135: 7.034660648306521e-07
Position 115: 5.109647921064601e-07
Position 367: 4.321283484909043e-07
Position 351: 4.1009402776946536e-07
Position 112: 3.141692616289249e-07
Position 50: 1.0882876273091263e-07
Position 604: 9.01110242292483e-08
Position 95: 5.734667895953522e-08
Position 12: 2.9664752815761773e-08
Position 610: 2.5917142970495393e-08
Position 56: 1.1253098031654701e-09
Position 7: 8.072544039028063e-10
Position 66: 2.1127019971739095e-10
Position 23: 2.655385523360905e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 426: 0.9981656048921016
Position 1226: 0.9044545028901538
Position 624: 0.24078655388046682
Position 653: 0.032706780583001534
Position 1200: 0.016263998560788133
Position 777: 0.015869049424264682
Position 1274: 0.01466780888982292
Position 1481: 0.010314870089690713
Position 628: 0.008125020648386124
Position 735: 0.004962725550148269
Position 992: 0.003242845888227733
Position 637: 0.002613898911530364
Position 604: 0.0016607816485183521
Position 1271: 0.0013164005664345554
Position 1730: 0.0012211620987782892
Position 668: 0.0010208195416358604
Position 1160: 0.0010027857480672331
Position 1084: 0.0006941344736342164
Position 1649: 0.0006444370108815128
Position 1137: 0.0005624848668556259
Position 435: 0.0004515340387316415
Position 937: 0.0004250575897843573
Position 1071: 0.00038635339894172577
Position 402: 2.5009266718048553e-06
Position 389: 2.2233961937579626e-06
Position 329: 1.5864370566299102e-06
Position 468: 7.131425505631788e-07
Position 224: 6.166384807140302e-07
Position 642: 3.7209921574872986e-07
Position 203: 1.2397389377317147e-07
Position 108: 8.94733475945327e-08
Position 80: 2.9674955243040588e-08
Position 263: 2.740020149952293e-08
Position 239: 2.511734256732334e-08
Position 233: 5.943289334284534e-09
Position 140: 2.4163345014407396e-09
Position 302: 2.3324168772810063e-09
Position 242: 1.286211053192584e-09
Position 206: 5.689092474365441e-10
Position 516: 1.9795299378720475e-11
Position 525: 1.6166580313870353e-11
