Gene = ntc
index = 1823
Annotated 5SS: [639]
Annotated 3SS: [1694]
SMsplice 5SS: [639]
SMsplice 3SS: [1694]
top_k =  100
Partition function (log Z): -4.585497317553287

Sorted 5' Splice Sites (High to Low Probability):
Position 639: 0.9999917928951
Position 1582: 0.17404074467200326
Position 483: 0.13373546892039126
Position 314: 0.022761844302204657
Position 272: 0.01710328972646604
Position 1152: 0.016680567650340896
Position 487: 0.014179995790683218
Position 996: 0.012960685186802535
Position 453: 0.00856970630753779
Position 396: 0.005432320547528699
Position 1188: 0.0037272206284402784
Position 254: 0.002090813427221715
Position 159: 0.0016855698228480567
Position 1132: 0.0007106355709801346
Position 230: 0.0006298562661152125
Position 467: 0.00032328999795526057
Position 416: 0.00016038660783366775
Position 243: 7.741925063988475e-05
Position 341: 5.3638031995462795e-05
Position 293: 4.956049092181079e-05
Position 269: 3.766701484652044e-05
Position 648: 5.574635355833067e-06
Position 17: 3.437952514485319e-06
Position 4: 3.0338147640136337e-06
Position 84: 2.559593346719373e-06
Position 280: 1.9970894837046696e-06
Position 782: 1.7018523119105861e-06
Position 643: 9.981695288428315e-07
Position 225: 8.173261632981649e-07
Position 825: 4.1036731553262564e-07
Position 605: 3.530033188893527e-07
Position 206: 6.871997953316904e-08
Position 57: 6.202103249524831e-08
Position 168: 4.9089338227785846e-08
Position 219: 2.782214334805981e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1694: 0.7564381881947541
Position 536: 0.15635806578345607
Position 879: 0.15593689458613658
Position 845: 0.08033009351531353
Position 1517: 0.06058867705655106
Position 1007: 0.04162118775621435
Position 1452: 0.0258381723935353
Position 475: 0.017531298519014367
Position 1088: 0.016096979824984724
Position 506: 0.015686517774076834
Position 1624: 0.012685009321142002
Position 957: 0.012396976353765738
Position 799: 0.012250663635154422
Position 1000: 0.008954100598046511
Position 362: 0.00797368496650559
Position 349: 0.0060655889558398155
Position 1340: 0.005376189699657238
Position 1578: 0.003639621312898995
Position 1953: 0.0028396008113919
Position 731: 0.002361629259732597
Position 396: 0.002108145084206687
Position 1581: 0.00146962642107777
Position 2317: 0.0014287908337429593
Position 1102: 0.0013985584009266559
Position 2156: 0.0011358732339532807
Position 822: 0.0010236726071026648
Position 1997: 0.0008650722049031294
Position 1269: 0.0008455199391997626
Position 1232: 0.0005850058019529641
Position 1249: 0.0005338788455301511
Position 526: 0.0004817906888054766
Position 1378: 0.00047440958486269546
Position 574: 0.00046041922712577196
Position 825: 0.00045824358782460735
Position 1080: 0.0003722546631609075
Position 441: 0.00023087644809030976
Position 681: 0.0001764784738988096
Position 293: 5.783160988880447e-06
