Gene = CAH2
index = 58
Annotated 5SS: [2555 4548 4837]
Annotated 3SS: [4074 4608 4897]
SMsplice 5SS: [  69 4548 4837]
SMsplice 3SS: [4074 4608 4897]
top_k =  100
Partition function (log Z): 5.780690330688271

Sorted 5' Splice Sites (High to Low Probability):
Position 4837: 0.9999127997257695
Position 4548: 0.9994780179488374
Position 69: 0.8892528352519543
Position 278: 0.06978437550064098
Position 1932: 0.04250218524233147
Position 2555: 0.02990388625762859
Position 4191: 0.020950451072189003
Position 1580: 0.014898895144591823
Position 140: 0.014293989620449069
Position 319: 0.009481693194302065
Position 5163: 0.00733236156199557
Position 381: 0.007323875296550079
Position 388: 0.007060515487652767
Position 5283: 0.0052807401577017335
Position 4728: 0.0037574698672456965
Position 1671: 0.0024014418379782036
Position 4716: 0.0006878287760699486
Position 5174: 0.0005965042720874893
Position 5398: 0.0005589843085602383
Position 999: 0.00025705665592856187
Position 5646: 0.00017934590337545164
Position 5160: 0.00010402088850347205
Position 4684: 8.107156276754624e-05
Position 5139: 4.847663637280063e-05
Position 5062: 4.809562646152574e-05
Position 618: 9.052684718576552e-06
Position 144: 6.845270626400999e-06
Position 152: 5.8639270322821235e-06
Position 67: 3.0065308829494197e-06
Position 188: 2.446657039479261e-06
Position 121: 1.5629719229575967e-06
Position 39: 1.2983421814091569e-06
Position 12: 6.998726214991497e-07
Position 75: 6.206208928712756e-07
Position 5: 3.8583737526445737e-07
Position 4781: 1.9268412852871923e-07
Position 88: 1.777981802114705e-07
Position 73: 1.4786190438224776e-07
Position 4853: 8.692285764659013e-08
Position 4789: 7.399350945716324e-08
Position 4326: 7.389314496189053e-08
Position 191: 3.677569158404479e-08
Position 4984: 3.349366625647075e-08
Position 4739: 2.505621226490008e-08
Position 5116: 8.469561701908855e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4897: 0.9988865581120034
Position 4074: 0.961683558293937
Position 4608: 0.9102717996013278
Position 4662: 0.08586956016740181
Position 1723: 0.02575997602978814
Position 4242: 0.020950451072188566
Position 4095: 0.020377620816635036
Position 3236: 0.014374375529891488
Position 1303: 0.014028853162813751
Position 124: 0.011404143070875465
Position 238: 0.010769040231925413
Position 1266: 0.007251081439817693
Position 5470: 0.007143867633211456
Position 5390: 0.006299780868680633
Position 4781: 0.006282603186915021
Position 2097: 0.0037900309906424576
Position 1350: 0.0037383440610607816
Position 2286: 0.003343090461065688
Position 692: 0.0026723036095572545
Position 1744: 0.001818638072576834
Position 1670: 0.0015892597636854651
Position 3148: 0.001281172121866142
Position 4592: 0.0011620727012818706
Position 1472: 0.0011327981798407985
Position 2633: 0.0011203044740624188
Position 4922: 0.0010661229484518991
Position 3180: 0.0009158944119810983
Position 5695: 0.0002871545075579552
Position 4638: 0.0002573508545019287
Position 5482: 0.00021795074932332579
Position 4675: 0.00021666383816948065
Position 5218: 0.0001624096654231821
Position 4963: 4.7317942681090775e-05
Position 5593: 3.722520753076097e-05
Position 5194: 1.826865589351381e-07
Position 4942: 9.968640645552618e-10
