Gene = Su(H)
index = 1529
Annotated 5SS: [ 833 2488 2754]
Annotated 3SS: [1606 2545 2818]
SMsplice 5SS: [ 833 2488 2754]
SMsplice 3SS: [2350 2545 2818]
top_k =  100
Partition function (log Z): 2.7943566555526935

Sorted 5' Splice Sites (High to Low Probability):
Position 2754: 0.996046308973315
Position 2488: 0.9945327617045994
Position 833: 0.983397038271488
Position 3452: 0.1450612052055765
Position 3114: 0.076981383310351
Position 2243: 0.034892927384974154
Position 2153: 0.03210406241044171
Position 237: 0.01176312102025912
Position 861: 0.004580780920990853
Position 2492: 0.004056534024994925
Position 871: 0.0036660099948445926
Position 3392: 0.0024966748908219474
Position 2768: 0.0024457550407391074
Position 241: 0.0014217977373277959
Position 1059: 0.0011669373305613607
Position 347: 0.001145627324371932
Position 266: 0.0011167403264581406
Position 268: 0.0008927057276439875
Position 3425: 0.000875026402439432
Position 2758: 0.00079924038105907
Position 1446: 0.0007366643826921676
Position 2948: 0.0005990523901223291
Position 3095: 0.000523956350788693
Position 272: 0.00042582417035672785
Position 1219: 0.0003364621757081836
Position 222: 0.00029942168609795825
Position 354: 0.0002287177183033229
Position 2913: 0.00021837919661812103
Position 345: 0.00015304684080338836
Position 3786: 0.00014503656235226848
Position 3108: 9.524594888091929e-05
Position 3159: 9.476136225371117e-05
Position 2652: 8.248005271730751e-05
Position 644: 7.544707684114342e-05
Position 3197: 6.248815703951738e-05
Position 153: 6.009188708976546e-05
Position 155: 2.0563283167234726e-05
Position 600: 1.96425691079054e-05
Position 2896: 1.5414977607020887e-05
Position 3329: 1.1929981979664479e-05
Position 2852: 6.4791011483286554e-06
Position 2715: 3.2310392905525133e-06
Position 2684: 2.337628715226686e-06
Position 2712: 1.5493909856913097e-06
Position 2883: 9.590037299515624e-07
Position 1013: 6.180236238323815e-07
Position 784: 4.967450427861919e-07
Position 1050: 4.4144930294200645e-07
Position 2657: 1.5773077084070916e-09
Position 2667: 8.127740630373373e-10
Position 2654: 1.1310284891242767e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2818: 0.9991871548467904
Position 2545: 0.9767315130775088
Position 2350: 0.6066334629437363
Position 1606: 0.21493225283157008
Position 3520: 0.14519505792641327
Position 1204: 0.08663221676486217
Position 1357: 0.0327345979515361
Position 1287: 0.030348873080929314
Position 3277: 0.027019236464871515
Position 2553: 0.0210105934711544
Position 2371: 0.019764335642923105
Position 3619: 0.01773433987112698
Position 1092: 0.014570981280001474
Position 3304: 0.01093528132351341
Position 3178: 0.009398143018798984
Position 1042: 0.007722721750190002
Position 2032: 0.007359448674759873
Position 553: 0.007121939834068854
Position 2186: 0.006653806471589121
Position 2242: 0.006522325772324586
Position 1257: 0.006269702412374881
Position 2246: 0.005189885355037364
Position 1478: 0.00486079306116928
Position 556: 0.0041037125808979415
Position 3474: 0.0035714985817466172
Position 1223: 0.0029512939396295406
Position 3434: 0.0026262771148566886
Position 3463: 0.002237785674548521
Position 3168: 0.002106844953332555
Position 2651: 0.001761642814782483
Position 956: 0.00161715389097303
Position 3190: 0.0015292574929095049
Position 1988: 0.001518915364868525
Position 332: 0.0014023552440122675
Position 1131: 0.001266870048099794
Position 1319: 0.0011455246036005738
Position 1112: 0.001101211036372087
Position 3324: 0.001096763134269503
Position 1178: 0.0008972355767438761
Position 284: 0.000705458984445668
Position 3197: 0.0006945695658065323
Position 3818: 0.0006744075276880275
Position 3677: 0.0006089787926159636
Position 3012: 0.0006023512948749184
Position 422: 0.0005531860724306881
Position 377: 0.0005486829375334856
Position 889: 0.0003840798866376113
Position 691: 0.00037126359734698756
Position 311: 0.0003674665680313073
Position 3784: 0.00033349626045774524
Position 712: 0.0002847184769259692
Position 308: 0.0002787186661240665
Position 2991: 0.00024284709426051246
Position 3715: 0.0002400055915917899
Position 3204: 0.00022770025530665142
Position 2562: 0.00021940627753674815
Position 3839: 0.00020276608552813132
Position 694: 0.0001985053414173087
Position 607: 0.00019049274600509714
Position 2697: 9.75830804704173e-05
Position 658: 4.9098790968071486e-05
Position 559: 4.105284299324185e-05
Position 281: 3.4964849306630055e-05
Position 2912: 1.350273683392011e-05
Position 2836: 1.0859224577488591e-05
Position 2997: 6.97001861353557e-06
Position 661: 6.182072356550222e-06
Position 454: 4.620739275666081e-06
Position 433: 3.2005960245340677e-06
Position 2965: 2.5678277860068343e-06
Position 2938: 6.692563518987852e-07
