Gene = Cln3
index = 1081
Annotated 5SS: [  60 3334 3537 3784 4183]
Annotated 3SS: [3119 3405 3624 3842 4239]
SMsplice 5SS: [ 203 3334 3537 3784 4183]
SMsplice 3SS: [3119 3405 3635 3842 4239]
top_k =  100
Partition function (log Z): 12.266947464601666

Sorted 5' Splice Sites (High to Low Probability):
Position 3334: 0.9984879176139778
Position 3537: 0.9949472282543769
Position 3784: 0.9938350149175068
Position 4183: 0.9871614772299707
Position 203: 0.5447715089122683
Position 60: 0.18787235811488268
Position 801: 0.1473537489911511
Position 96: 0.03541808273021735
Position 64: 0.029227049384226524
Position 269: 0.026403373310572485
Position 501: 0.025716307990843283
Position 2776: 0.020153447467238784
Position 293: 0.015338966591634588
Position 542: 0.013786388933149025
Position 508: 0.011304231778612709
Position 1324: 0.010496719784710503
Position 3796: 0.005404200930169449
Position 4039: 0.0029869777534147226
Position 3532: 0.0027957605134935675
Position 655: 0.0019027448338122517
Position 4389: 0.0012064334835289508
Position 4303: 0.0006023138506133391
Position 3263: 0.0005440166929219046
Position 4287: 0.0004906682482761434
Position 3541: 0.00042486970101430013
Position 4086: 0.00035905690354713
Position 4321: 0.00029142592730300684
Position 260: 0.00028390947344782976
Position 3289: 0.00021435555809370244
Position 4015: 0.00019465830694014976
Position 4081: 0.00018436581687556873
Position 4720: 0.00015874723155671411
Position 3286: 0.0001350705186026908
Position 4147: 0.00012229563207756224
Position 3461: 0.00011744181218910353
Position 209: 0.000111901577355969
Position 4671: 0.00010992383333177596
Position 3993: 0.00010488993568626888
Position 4399: 9.784640025287689e-05
Position 267: 7.155590568502066e-05
Position 229: 6.859568136271129e-05
Position 3788: 4.755417233596091e-05
Position 4796: 3.4591610871042675e-05
Position 3481: 3.3752303252827e-05
Position 80: 1.3200493753806808e-05
Position 139: 1.3054020867369543e-05
Position 241: 7.108225186120508e-06
Position 4054: 3.3229233194237392e-06
Position 3791: 2.7083932174944187e-06
Position 3499: 2.313801115794229e-06
Position 3451: 2.088769480164522e-06
Position 73: 1.8965388711974619e-06
Position 3711: 8.176471313437389e-07
Position 3674: 4.6798333546162307e-07
Position 4030: 2.0500721638647043e-08
Position 4044: 9.320714750331963e-09
Position 4007: 8.775044577543102e-09
Position 4004: 6.094470996201621e-09
Position 3932: 2.1214940405248098e-09
Position 3875: 1.275668856669301e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 3842: 0.9991819791760687
Position 3405: 0.9988833618525259
Position 3119: 0.9820559562549037
Position 4239: 0.9711317093263171
Position 3635: 0.5292598431969943
Position 3624: 0.45090356162797895
Position 2543: 0.031832415760949404
Position 3659: 0.018134468878601113
Position 4261: 0.01700342123541087
Position 332: 0.01606713327276422
Position 598: 0.00931690204863047
Position 541: 0.008227866917270722
Position 719: 0.006505353640893861
Position 3098: 0.004969058660138195
Position 685: 0.004950687626362525
Position 339: 0.004384222829673779
Position 4356: 0.00357687019869006
Position 355: 0.00154681194922171
Position 4442: 0.0013042798837818283
Position 3460: 0.00060789286486309
Position 4389: 0.0005153041387737014
Position 4113: 0.0003266193678374781
Position 4092: 0.00015920008773295466
Position 4767: 0.0001587472315567141
Position 4731: 0.0001099238333317759
Position 3421: 8.135523947024013e-05
Position 3425: 7.786576418135337e-05
Position 4098: 6.477889041794322e-05
Position 4855: 3.459161087104265e-05
Position 3925: 2.1885427283068788e-05
Position 673: 2.089743138165318e-05
Position 3735: 5.807272869341292e-06
