Gene = flr
index = 1702
Annotated 5SS: [ 133  596 1306 1758 2878 3085]
Annotated 3SS: [ 473 1214 1493 1822 2933 3151]
SMsplice 5SS: [ 133  596 1306 1758 2878 3085]
SMsplice 3SS: [ 473 1214 1493 1822 2933 3151]
top_k =  100
Partition function (log Z): 12.631627130436462

Sorted 5' Splice Sites (High to Low Probability):
Position 1758: 0.9999471368864137
Position 3085: 0.9917473238900295
Position 596: 0.9831164987963498
Position 1306: 0.9706071221838865
Position 133: 0.8346188793752307
Position 2878: 0.7203422332157938
Position 231: 0.12302678452831173
Position 941: 0.08848250705512892
Position 314: 0.031524567528427264
Position 3238: 0.0213661338012374
Position 890: 0.014213625396838259
Position 122: 0.005673344718534717
Position 2848: 0.004214887360281287
Position 2444: 0.004076196236702842
Position 1005: 0.0030085631202472498
Position 1053: 0.0029553221751252357
Position 2871: 0.002817744332011825
Position 1070: 0.0024524984768550784
Position 1999: 0.0023796404320945695
Position 1424: 0.0017524290096361703
Position 262: 0.0017279155582592466
Position 424: 0.001644219040094899
Position 2524: 0.001347447204767944
Position 415: 0.0013007375417222536
Position 2131: 0.001050201636052917
Position 190: 0.0009657850413931408
Position 665: 0.0009392569803411395
Position 707: 0.0009024611518508703
Position 3106: 0.0006568905621597518
Position 197: 0.0006562548700527415
Position 3089: 0.0006033071129772782
Position 1974: 0.0005649679254022393
Position 1394: 0.0004792423579171279
Position 1303: 0.00040334254834571584
Position 703: 0.0003209817068393105
Position 3047: 0.00027275691473221627
Position 911: 0.00026458785324131597
Position 1310: 0.00021255455966534868
Position 884: 0.00020221390206019252
Position 913: 0.00017164751203444076
Position 1966: 0.00016754775342315813
Position 65: 0.00016376118388805805
Position 3103: 0.00013118378439177942
Position 358: 8.645446819233413e-05
Position 3554: 7.127698158090946e-05
Position 137: 6.41969547677733e-05
Position 29: 5.355280263780209e-05
Position 1751: 5.276159819521353e-05
Position 338: 5.041691437102827e-05
Position 328: 4.2490002231351824e-05
Position 3549: 3.112856030505454e-05
Position 24: 1.5009729043637539e-05
Position 213: 1.2860451994910596e-05
Position 330: 1.2652955895244334e-05
Position 10: 8.48762163778341e-06
Position 352: 4.893263256148585e-06
Position 164: 4.370520161929113e-06
Position 709: 6.736925606340939e-07
Position 690: 6.548441311238944e-07
Position 2649: 4.374896262100782e-07
Position 1762: 4.916145377828452e-08
Position 1622: 3.2227020173900365e-08
Position 1626: 7.138508791255102e-09
Position 31: 1.007667991160301e-09
Position 1705: 1.0001553835531841e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 1822: 0.9906329301459628
Position 3151: 0.9888911798981412
Position 1493: 0.9801725088201799
Position 473: 0.9707073490834696
Position 1214: 0.935580413991686
Position 2933: 0.6796955017053193
Position 801: 0.12765693926245084
Position 2965: 0.03262653728618574
Position 200: 0.02444464450709002
Position 3299: 0.020881187821858698
Position 2948: 0.013785116220397797
Position 1826: 0.007661485088681457
Position 765: 0.005924062475622769
Position 3165: 0.0054247300775169885
Position 1166: 0.004942918045416441
Position 2616: 0.0044169326780553915
Position 1571: 0.0038495467853934063
Position 683: 0.0038367179752822798
Position 786: 0.0037035698853505393
Position 1044: 0.002895798306068564
Position 2649: 0.0023958275426864068
Position 1357: 0.0018034639751043954
Position 1908: 0.00170558476535401
Position 2059: 0.0012913370961773916
Position 1452: 0.0012725621503123729
Position 1052: 0.0009140415778673026
Position 1561: 0.0007511671812857171
Position 2599: 0.0007457587971887236
Position 2028: 0.0007325156788253965
Position 832: 0.0006716641384032696
Position 820: 0.00048401629183107876
Position 3418: 0.00046431530119746256
Position 311: 0.00046388773496725656
Position 3222: 0.00036731380577545577
Position 287: 0.0003500184712784844
Position 1022: 0.0003312625554455401
Position 732: 0.0002469360356377892
Position 1127: 0.00023668861576313312
Position 314: 0.00018093354880034567
Position 1257: 0.00012816714441216245
Position 3601: 0.00012305128424654286
Position 906: 0.00012046666813219876
Position 903: 0.00010847683692729298
Position 1221: 9.253003707742792e-05
Position 433: 8.718320206433931e-05
Position 541: 6.0462542072869134e-05
Position 300: 4.644886017901339e-05
Position 890: 4.606928604101232e-05
Position 220: 1.3915403131291634e-05
Position 378: 5.380367400544003e-06
Position 240: 4.143973475445673e-06
Position 427: 2.606716509428119e-06
Position 151: 2.4675586917845614e-06
Position 70: 2.0197253573780595e-06
Position 65: 1.78036605622217e-06
Position 430: 5.598304483310531e-07
Position 547: 1.5877526876985425e-08
Position 97: 3.689557980508334e-10
Position 133: 2.7932644738156986e-10
Position 77: 3.414254916015357e-11
Position 153: 1.0817794726577668e-11
Position 213: 8.979219535895594e-12
