Gene = RhoGDI
index = 1424
Annotated 5SS: [ 166 2272 2455 2635]
Annotated 3SS: [2071 2344 2519 3238]
SMsplice 5SS: [ 782 2272 2455 2635]
SMsplice 3SS: [2071 2344 2519 3238]
top_k =  100
Partition function (log Z): -2.4780264308056354

Sorted 5' Splice Sites (High to Low Probability):
Position 2455: 0.990261153108407
Position 2272: 0.9720793138503462
Position 2635: 0.8992694990406221
Position 3170: 0.3937483650446493
Position 383: 0.3599262895004984
Position 782: 0.277179575264102
Position 68: 0.2697118078912586
Position 206: 0.23527896949400967
Position 166: 0.12071288928000007
Position 32: 0.0639288910449326
Position 3555: 0.023552662888203322
Position 3806: 0.011149118695425014
Position 3352: 0.0105559471703956
Position 2600: 0.010472380904816983
Position 2268: 0.008165828902208199
Position 3031: 0.007598102061276713
Position 2815: 0.0052786734585818715
Position 2999: 0.005209052665435119
Position 2931: 0.0014874444945613733
Position 2553: 0.0004480255456719214
Position 196: 0.00021345358750569864
Position 22: 0.00020173388146760792
Position 82: 0.00016701544536803638
Position 202: 0.00014724449629359752
Position 60: 9.103613058393761e-05
Position 200: 7.268405627005353e-05
Position 215: 6.411307156559239e-05
Position 104: 5.806502316016687e-05
Position 198: 3.366546185908438e-05
Position 72: 5.590941062210971e-06
Position 85: 9.181697262971018e-07
Position 115: 8.683591113541964e-07
Position 6: 5.281487559511425e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2519: 0.9715355969387374
Position 2344: 0.963894222076138
Position 2071: 0.733934796194666
Position 3238: 0.7054823493807459
Position 2863: 0.4618469679049294
Position 2077: 0.23540820039834515
Position 129: 0.20886471225180747
Position 2729: 0.09123415088709652
Position 3698: 0.05355499855770102
Position 115: 0.052975497515976716
Position 2992: 0.02618519838442835
Position 165: 0.02421011415812565
Position 279: 0.013956292111800885
Position 2365: 0.013782976953975967
Position 2900: 0.013012551654288754
Position 636: 0.012417481117372916
Position 1719: 0.012286561735150525
Position 3861: 0.011149118695425012
Position 3638: 0.009941374767551976
Position 319: 0.00933750393057353
Position 104: 0.008133363293608267
Position 305: 0.008087646525935414
Position 3163: 0.005327149002376688
Position 1783: 0.0047003223120316295
Position 292: 0.003482372368256498
Position 2576: 0.0032342933156036696
Position 2538: 0.002586591802337361
Position 2376: 0.001995036502122139
Position 2535: 0.001932607393871819
Position 2802: 0.0013553434900549358
Position 2674: 0.0012250401232149174
