Gene = Drgx
index = 1139
Annotated 5SS: [  562 10557 15558 15720 21224 21889 27735]
Annotated 3SS: [10432 15465 15617 21121 21316 27576 28092]
SMsplice 5SS: [  562 10557 11074 15558 15720 21224 21889 27735]
SMsplice 3SS: [10432 10679 15465 15617 21121 21316 27576 28092]
top_k =  100
Partition function (log Z): 15.74047185329256

Sorted 5' Splice Sites (High to Low Probability):
Position 21889: 0.9999994724879454
Position 10557: 0.9998728238428374
Position 21224: 0.9969170733925677
Position 15558: 0.9908468331387214
Position 15720: 0.9860053855384852
Position 27735: 0.9791508808668326
Position 11074: 0.8721070232832758
Position 562: 0.6492275371807262
Position 554: 0.29782550940367963
Position 26819: 0.19726472242809218
Position 16598: 0.1477577012328102
Position 11692: 0.10817347097988954
Position 208: 0.0683342899516698
Position 22547: 0.04396424388416826
Position 1379: 0.04250584328338273
Position 7784: 0.036031264201479396
Position 23282: 0.023276139042822344
Position 1653: 0.021938197890548093
Position 5176: 0.02160668061738245
Position 23118: 0.021265433721079197
Position 27805: 0.01860470793445346
Position 22428: 0.011098526544315993
Position 17897: 0.006955418013000975
Position 16397: 0.0035932790566836088
Position 210: 0.003352488146489629
Position 214: 0.0031616316155449412
Position 21228: 0.003078364230011053
Position 22256: 0.0029388206123173075
Position 23207: 0.0024331568731685263
Position 28765: 0.0009634178662797988
Position 21397: 0.0007386863012931962
Position 16025: 0.0006750108308267972
Position 21405: 0.000632734483686107
Position 11081: 0.0002819962822723046
Position 195: 0.00026712108589697225
Position 274: 0.0001428536975858511
Position 727: 0.00013106843900030757
Position 21701: 9.427431959406195e-05
Position 218: 6.210733907869293e-05
Position 328: 4.179568249186904e-05
Position 212: 3.631779580535878e-05
Position 3: 1.8093987696278343e-05
Position 137: 1.1127857981037955e-05
Position 367: 1.0040567265498052e-05
Position 417: 8.48361301697832e-06
Position 369: 7.977854552078614e-06
Position 315: 6.866715463777628e-06
Position 69: 2.80252897464508e-06
Position 21867: 5.275120560399291e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 10432: 0.9992160759671717
Position 27576: 0.9962558879572281
Position 21121: 0.9939355523489363
Position 15465: 0.9866050978567065
Position 15617: 0.9815086967055168
Position 28092: 0.8723454769776336
Position 21316: 0.7387493708327346
Position 10679: 0.43970336090168805
Position 21344: 0.25653722319339717
Position 25783: 0.19727178154357955
Position 10948: 0.16058783037775043
Position 28109: 0.12441696490321222
Position 16365: 0.10954479662690787
Position 10785: 0.10315805950203145
Position 10951: 0.09345947523554914
Position 22007: 0.08320176708359327
Position 11560: 0.050407483267385284
Position 615: 0.04390385885195776
Position 10841: 0.04195078821673614
Position 11238: 0.029896490125430802
Position 7425: 0.0279860642935991
Position 16270: 0.026745710180427797
Position 284: 0.019401531153356598
Position 11007: 0.018285192611646937
Position 10923: 0.014724984580121187
Position 22666: 0.012880577597856036
Position 4269: 0.012246221751143201
Position 13771: 0.010616296470447496
Position 4789: 0.00936045886623927
Position 790: 0.00888027287627785
Position 11202: 0.008364778439640834
Position 675: 0.008208611005478398
Position 7347: 0.00804519990788033
Position 16309: 0.007355269951861725
Position 11361: 0.007079015250128872
Position 21471: 0.00545115224327548
Position 21133: 0.0048813085443213606
Position 15623: 0.004282007136415127
Position 22617: 0.004192722021654508
Position 21977: 0.004170626460733691
Position 1327: 0.0034512984402168124
Position 461: 0.003246582309559837
Position 17693: 0.003199223023508106
Position 11300: 0.003029863135612453
Position 11565: 0.0029001973212961687
Position 26894: 0.0028759014780029134
Position 11529: 0.0028401849199795924
Position 16092: 0.002192031774462138
Position 11342: 0.002011866302685347
Position 11441: 0.0016435922177301433
Position 17091: 0.0012775437649167175
Position 15991: 0.001213115583381061
Position 16488: 0.0009952072953935207
Position 28825: 0.0009634178662797988
Position 28136: 0.0008465413820409384
Position 8994: 0.0007839240328311638
Position 28800: 0.0005810599752881351
Position 19654: 0.0005644592790210112
Position 20394: 0.0003254524665204935
Position 19554: 0.0002931753539221259
Position 21950: 0.00025746366523044114
Position 10807: 0.0002561218572456097
Position 21802: 0.0002460607887865905
Position 21362: 0.0002229066609016492
Position 27982: 0.0002202340271950649
Position 15874: 0.00020924252769237244
Position 27797: 0.000205396181687999
Position 21394: 0.00019317680121848618
Position 21964: 0.00016859665591737477
Position 22027: 0.00010563399639656077
Position 15861: 7.113860284849716e-05
Position 10631: 6.910473100715067e-05
Position 11053: 6.692539460502348e-05
Position 21612: 3.0513694987423524e-05
Position 21532: 2.0501662392749096e-05
Position 15885: 1.8250310041585436e-05
Position 21562: 1.0278856738120415e-05
