Gene = stwl
index = 1900
Annotated 5SS: [325]
Annotated 3SS: [3101]
SMsplice 5SS: [325]
SMsplice 3SS: [3101]
top_k =  100
Partition function (log Z): -10.506654146686678

Sorted 5' Splice Sites (High to Low Probability):
Position 325: 0.9005887955962757
Position 3382: 0.33042967876398505
Position 1194: 0.10015460562564135
Position 332: 0.042279935122993634
Position 2193: 0.029089136166084193
Position 1767: 0.022246482184731183
Position 215: 0.007474417030756171
Position 2600: 0.006624516086855227
Position 465: 0.006338325897640137
Position 588: 0.005840933807883584
Position 629: 0.005713749969904443
Position 1722: 0.00410299284026904
Position 3710: 0.0025125118142946337
Position 280: 0.0024025242637314244
Position 1527: 0.0019224289393973554
Position 1669: 0.0015873101773786573
Position 1523: 0.0015464160874312214
Position 1003: 0.001136695607088062
Position 974: 0.0011150253711180755
Position 195: 0.0010283986459598256
Position 408: 0.00045254527448817714
Position 916: 7.154531390802461e-05
Position 68: 2.670919418823243e-06
Position 573: 1.4340063109155454e-06
Position 166: 1.1114082511603046e-06
Position 98: 9.361849802891071e-07
Position 81: 4.1920867077843037e-07
Position 75: 4.1746898555843793e-07
Position 83: 3.9791584088869247e-07
Position 33: 3.50310861614996e-07
Position 219: 3.1248487458386664e-07
Position 72: 2.8641636980081545e-07
Position 92: 1.6140824294288504e-07
Position 206: 1.1550161383895327e-07
Position 37: 6.355335985418118e-08
Position 102: 5.0160144004656716e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 3101: 0.7604585206246237
Position 6520: 0.18788697238329205
Position 6286: 0.1725248243391566
Position 4934: 0.08523544383367146
Position 5911: 0.08280267502535571
Position 1631: 0.05119786043850325
Position 869: 0.026860811481613973
Position 945: 0.022924112286943934
Position 764: 0.018966574757499213
Position 4291: 0.015099648324842788
Position 1824: 0.011804058315736577
Position 3771: 0.00885506557837773
Position 3568: 0.0086598753235123
Position 2030: 0.0042497242873900856
Position 767: 0.004153402269535261
Position 2074: 0.0024953084054625506
Position 966: 0.00233199049763892
Position 3069: 0.0017613093082373859
Position 265: 0.0012661578094377295
Position 388: 0.0012518459738974535
Position 795: 0.0009660844450645142
Position 378: 0.0007755169314925137
Position 1083: 0.0007268703914549178
Position 1391: 0.0007112646235014943
Position 408: 0.0005654026736778364
Position 440: 4.7666165093584e-05
Position 828: 4.710550731190896e-05
Position 1109: 4.1605533412852475e-05
