Gene = axo
index = 1619
Annotated 5SS: [  350 11936 12362 14145 15492 17200 22895 23191 27241 27838 30758 31345
 36381 36997 40494 41758 43274 43921 44380 44641]
Annotated 3SS: [11369 12087 13924 15355 16914 22363 22993 26907 27304 30542 30944 36132
 36540 40292 41136 43091 43590 44072 44509 57084]
SMsplice 5SS: [  459 11936 12362 14145 15492 17200 22895 23191 27241 27838 30758 31345
 36381 36997 37352 40494 41758 42942 43274 43921 44380 44641]
SMsplice 3SS: [11464 12087 13924 15117 16914 22363 22993 26996 27304 30542 30944 36132
 36540 37118 40292 41136 42755 43192 43590 44072 44509 57132]
top_k =  100
Partition function (log Z): 24.002413898582553

Sorted 5' Splice Sites (High to Low Probability):
Position 23191: 0.9999999999999926
Position 15492: 0.9999999999999887
Position 36997: 0.9995719050346418
Position 44641: 0.9984427715460779
Position 44380: 0.9969617700624585
Position 30758: 0.9961829330523574
Position 36381: 0.9952596467360239
Position 31345: 0.9951944680049631
Position 14145: 0.9914152919217504
Position 43274: 0.9896562032502613
Position 22895: 0.9880646517140655
Position 27838: 0.987310773920991
Position 17200: 0.9743035198569477
Position 43921: 0.9737320737936463
Position 40494: 0.9655354315808977
Position 41758: 0.9645182258528713
Position 27241: 0.8777047391190423
Position 12362: 0.8679013715066632
Position 37352: 0.6793445777017898
Position 42942: 0.6029370144063102
Position 914: 0.33311639520414993
Position 459: 0.30876570962779354
Position 2144: 0.28133131444395376
Position 51130: 0.26599056954207984
Position 27429: 0.16702515298246182
Position 42609: 0.1340974251041896
Position 932: 0.10431691854391072
Position 40964: 0.1034501866125769
Position 41520: 0.10148918738866912
Position 37367: 0.09002583269147978
Position 31695: 0.08575945294260752
Position 350: 0.07988273826509525
Position 245: 0.07423380812510008
Position 33121: 0.036332094006396275
Position 37420: 0.03407426989869717
Position 40913: 0.03117950147498339
Position 41957: 0.029466871304647917
Position 36637: 0.027087748810583467
Position 40839: 0.02537862004919685
Position 36606: 0.020626984722586304
Position 40420: 0.020099308206841866
Position 36723: 0.015103878694527284
Position 38204: 0.013783334390954388
Position 3626: 0.011812958277786301
Position 37655: 0.007419674039161293
Position 37660: 0.006475270609819796
Position 40498: 0.004645792332392656
Position 31192: 0.004021704265539935
Position 36331: 0.003817724247792401
Position 40689: 0.003803634384107061
Position 549: 0.0036928911718511486
Position 18776: 0.0031530156631812273
Position 15994: 0.002835026573802722
Position 41341: 0.00282672539199052
Position 783: 0.0028069391723153725
Position 31155: 0.0025763967201520637
Position 32904: 0.0024858772933099784
Position 36772: 0.0020230344907004117
Position 1054: 0.001993363480498098
Position 30790: 0.001303525115841679
Position 36808: 0.001000072310267833
Position 658: 0.000987649305332604
Position 463: 0.0008166821387623644
Position 30744: 0.0007015847041431128
Position 1230: 0.000638080949000322
Position 959: 0.0005971629537336174
Position 36437: 0.0005201712142635266
Position 758: 0.0005066574644187351
Position 36819: 0.0004932503261610929
Position 487: 0.0004773157464154661
Position 515: 0.0004138968946176009
Position 15625: 0.0004123599853342332
Position 480: 0.0003818785531758739
Position 107: 0.0003482165516181102
Position 28479: 0.00024583373197494885
Position 36385: 0.0002391677733670269
Position 28397: 0.0001535380704142893
Position 36962: 0.00013515498395413693
Position 419: 9.770093183885618e-05
Position 31368: 9.692836514164114e-05
Position 36982: 8.899093516991401e-05
Position 430: 8.645406461405562e-05
Position 230: 4.674797253109683e-05
Position 204: 4.460238921356595e-05
Position 202: 3.968201032651076e-05
Position 130: 3.949670862220995e-05
Position 148: 3.715564253408372e-05
Position 264: 3.549291063900517e-05
Position 92: 3.5406103789600666e-05
Position 653: 3.391680998142953e-05
Position 273: 2.9554552923031107e-05
Position 37001: 2.870748484715757e-05
Position 662: 2.5233504959819317e-05
Position 331: 2.2517295918334092e-05
Position 36927: 1.807644945008963e-05
Position 679: 1.786236871390314e-05
Position 17: 1.6860743809070926e-05
Position 13: 1.6412638208754167e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 13924: 0.9999999999999858
Position 44509: 0.9999988450631917
Position 36540: 0.9955870417434667
Position 36132: 0.9954709807802087
Position 27304: 0.9778194705025391
Position 40292: 0.9754067305809283
Position 30542: 0.9732868671910019
Position 22363: 0.9677231870382234
Position 30944: 0.9603017086059913
Position 41136: 0.9583280762051721
Position 26996: 0.8804940535863893
Position 12087: 0.8679013715066647
Position 37118: 0.7867044813211975
