Gene = bwa
index = 1637
Annotated 5SS: [ 508 2914 3124 6256]
Annotated 3SS: [2656 2985 5962 6986]
SMsplice 5SS: [ 508 2914 3124 6256]
SMsplice 3SS: [2656 2985 5962 6986]
top_k =  100
Partition function (log Z): -0.24036246986262877

Sorted 5' Splice Sites (High to Low Probability):
Position 2914: 0.9926986435080716
Position 3124: 0.973250726201921
Position 508: 0.886236662726393
Position 6256: 0.8290837915458201
Position 1335: 0.47984335930948185
Position 2526: 0.09594304863825356
Position 5729: 0.09529827831863258
Position 5558: 0.07125480492203087
Position 512: 0.04709200360713863
Position 1550: 0.04382783354651495
Position 5537: 0.0418581543119355
Position 2088: 0.03722112536865486
Position 3098: 0.023848522717164523
Position 4988: 0.01320234146942819
Position 5705: 0.011870396127392322
Position 456: 0.010726817089423536
Position 6343: 0.009771587271650835
Position 1611: 0.00961384249062796
Position 157: 0.009267384777186497
Position 47: 0.0077962639564773785
Position 3270: 0.00594016377127431
Position 2896: 0.0057274891299742055
Position 6389: 0.005547792341703725
Position 6373: 0.005268692388714396
Position 1509: 0.005244364976021828
Position 961: 0.004833530857736556
Position 4810: 0.0032284187882853925
Position 535: 0.0029778320768395483
Position 7233: 0.0028044019376816734
Position 495: 0.0020084570625961322
Position 516: 0.0007298186681866018
Position 539: 0.0006618159127972311
Position 532: 0.00041046499247371495
Position 1229: 5.105043571043359e-05
Position 546: 1.0290662099135269e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 2985: 0.9937665774760747
Position 2656: 0.904621865416876
Position 5962: 0.8995380454136243
Position 6986: 0.8571054058997638
Position 618: 0.2676077417234931
Position 5438: 0.2621476900589127
Position 1406: 0.10134995902534955
Position 1443: 0.09888099217151321
Position 661: 0.0486240625649621
Position 574: 0.03705310063449833
Position 2710: 0.02981916389242436
Position 6747: 0.0288628948976224
Position 645: 0.02873950514365298
Position 2661: 0.02510245338776107
Position 1072: 0.020391854442688904
Position 1467: 0.018556555148816194
Position 4809: 0.01320234146942819
Position 6120: 0.011638303928219169
Position 1102: 0.011412324422787064
Position 586: 0.009335609776913164
Position 902: 0.008400573057412408
Position 1123: 0.0074093666663593415
Position 7014: 0.006246062881751262
Position 622: 0.006064675327811014
Position 2997: 0.005081884349231562
Position 1979: 0.004969544042283495
Position 1217: 0.003986686887424376
Position 3814: 0.0037492856857861694
Position 6455: 0.0034921533092247235
Position 3182: 0.0032463637300840288
Position 849: 0.0032296759860581032
Position 1228: 0.002649801523980029
Position 2483: 0.0024412689919907334
Position 7284: 0.002116639517584731
Position 2273: 0.0014634427771042361
Position 1047: 0.0010330048427840029
Position 7317: 0.0006877624200969424
Position 1076: 0.00047733262226979344
Position 1257: 0.00044381589425056993
Position 3541: 7.316339071033819e-05
Position 3321: 6.655961039952708e-05
Position 3179: 5.5399900426617635e-05
