Gene = vn
index = 1929
Annotated 5SS: [ 3457 27556 27767 28130 29018]
Annotated 3SS: [27377 27638 28020 28963 30797]
SMsplice 5SS: [  200 27556 27767 28130]
SMsplice 3SS: [27377 27638 28020 28963]
top_k =  100
Partition function (log Z): -38.095423457997654

Sorted 5' Splice Sites (High to Low Probability):
Position 200: 0.9999964420175389
Position 712: 1.1947350277907845e-06
Position 2108: 1.0948299009467845e-06
Position 625: 9.421111704637245e-07
Position 1744: 5.357847208793483e-07
Position 1168: 4.235835838894257e-07
Position 853: 2.998824197159982e-07
Position 310: 3.9652629840420494e-08
Position 281: 2.147559930416319e-08
Position 428: 2.06635519300493e-08
Position 41: 1.750872105353776e-08
Position 1366: 4.869943140060205e-09
Position 288: 6.306973133876553e-10
Position 312: 5.353044616810246e-10
Position 455: 3.4297777150705083e-10
Position 300: 2.481103344721015e-10
Position 286: 1.498202559778101e-10
Position 322: 1.4771507761892223e-10
Position 83: 8.352026238042195e-11
Position 224: 8.304283434649034e-11
Position 443: 3.0982073691171286e-11
Position 32: 2.4336660232377253e-11
Position 129: 1.2639596379289715e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 14479: 0.7431269188397024
Position 13401: 0.15726227858591113
Position 12330: 0.04987942269502873
Position 11295: 0.032483352799921254
Position 11263: 0.016547799953548565
Position 7586: 0.00036233665411409275
Position 6887: 0.00011055143217721991
Position 7141: 6.736129313987863e-05
Position 5144: 3.0385742674582627e-05
Position 4826: 2.7669005433152625e-05
Position 5330: 2.5231770287132022e-05
Position 6297: 2.245138358749052e-05
Position 5854: 1.8149134417933143e-05
Position 4620: 6.1972995739016615e-06
Position 4662: 5.372300837275473e-06
Position 4558: 5.020298408566745e-06
Position 4838: 3.4622785249313588e-06
Position 1923: 2.857784727322377e-06
Position 1797: 2.7671723306343796e-06
Position 765: 2.1587187271282552e-06
Position 4233: 2.1343392899323543e-06
Position 2182: 1.5154871261993056e-06
Position 1860: 1.2483363990884099e-06
Position 3964: 1.143241422307965e-06
Position 342: 1.0409119726034221e-06
Position 2696: 8.496534334943395e-07
Position 556: 4.2017044127168523e-07
Position 370: 4.1971909053981355e-07
Position 523: 1.6617127115713064e-07
Position 973: 5.57797712261115e-08
Position 645: 4.503028287405974e-08
Position 976: 4.50064087640395e-08
Position 663: 4.3470894475621e-08
Position 698: 3.794195452360692e-08
Position 1021: 3.635800854139668e-08
Position 526: 2.615451192594294e-08
Position 255: 2.615237253975597e-08
Position 879: 2.4530758067671396e-08
Position 129: 1.5805492013363764e-08
