Gene = ebd1
index = 1687
Annotated 5SS: [522]
Annotated 3SS: [857]
SMsplice 5SS: [522]
SMsplice 3SS: [857]
top_k =  100
Partition function (log Z): -6.314434875475756

Sorted 5' Splice Sites (High to Low Probability):
Position 522: 0.9989365229905021
Position 2226: 0.18172313745008659
Position 1038: 0.06027971917495709
Position 1554: 0.004201757876169524
Position 1618: 0.0027476900892575667
Position 588: 0.000996982288307358
Position 377: 0.00047522125371490933
Position 276: 0.00041878082783793937
Position 1536: 0.0003815052012597231
Position 1241: 0.00026350921561962484
Position 56: 8.563146044227718e-05
Position 1265: 8.061057408015214e-05
Position 272: 7.324616967044555e-05
Position 280: 1.9692667736929467e-05
Position 550: 1.4370464953952262e-05
Position 176: 8.623353067275737e-06
Position 306: 5.950674834158127e-06
Position 634: 3.831680969008958e-06
Position 320: 3.0911330718064666e-06
Position 781: 1.4722301246936404e-06
Position 221: 1.2510103667487433e-06
Position 10: 8.125316503147628e-07
Position 535: 7.868518578430475e-07
Position 616: 7.421708483724709e-07
Position 103: 6.635554608100637e-07
Position 526: 4.2984435790855424e-07
Position 72: 4.1260899663934454e-07
Position 764: 4.1216697239885875e-07
Position 640: 4.026270987311134e-07
Position 297: 3.861845916317981e-07
Position 205: 3.3105277742445944e-07
Position 375: 2.809387709355651e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 857: 0.8130260887725436
Position 2270: 0.1774017800221284
Position 753: 0.07819892885207709
Position 2052: 0.07260290101825025
Position 833: 0.03562163673339497
Position 1877: 0.027374487776582142
Position 1361: 0.014219646031014856
Position 1105: 0.007781621576564247
Position 1836: 0.004661930440334272
Position 2301: 0.004321357427958368
Position 578: 0.003287685907077359
Position 1177: 0.0016023735826416888
Position 1110: 0.0012951619181622131
Position 1850: 0.0012460034069534378
Position 912: 0.0012014820020253216
Position 1749: 0.000944699618223132
Position 915: 0.0009395285460979
Position 949: 0.0008727084912245928
Position 717: 0.0007811566001332192
Position 431: 0.0007308847365559856
Position 605: 0.0007280580521943799
Position 1880: 0.00046188140681245913
Position 1393: 0.00040206546378455867
Position 1439: 0.0002250708096437453
Position 332: 0.00016713512844551034
Position 1454: 0.0001010569909726594
Position 1405: 9.639060475133827e-05
Position 1304: 9.194319147541088e-05
Position 1136: 6.763708638034896e-05
Position 1037: 6.177193453927736e-05
Position 964: 5.660934874991027e-05
Position 205: 4.622463351864316e-05
Position 393: 3.085473766036332e-05
Position 329: 2.0428410084218737e-05
Position 241: 1.1213838556025564e-05
Position 352: 1.0367729766260151e-05
Position 110: 8.999818963421897e-06
Position 335: 5.778682403874799e-06
Position 425: 5.2776867542826205e-06
Position 263: 4.294412114641808e-06
Position 885: 3.4424014194007394e-06
Position 437: 3.1097097518905666e-06
Position 473: 2.6721631356761104e-06
Position 133: 2.089000331668787e-06
Position 291: 9.980509390436195e-07
Position 872: 8.235673202708045e-07
