Gene = TfAP-2
index = 1552
Annotated 5SS: [12511 22822 23059 24523 25357 25682 25953]
Annotated 3SS: [22590 22872 24314 25166 25416 25784 26015]
SMsplice 5SS: [   69 22822 23059 24523 25357 25682 25953]
SMsplice 3SS: [22590 22890 24314 25166 25416 25784 26015]
top_k =  100
Partition function (log Z): -30.11704176134188

Sorted 5' Splice Sites (High to Low Probability):
Position 69: 0.9999750870880342
Position 4350: 0.0010546149885653261
Position 2428: 6.507299345166905e-05
Position 3698: 3.741765942797893e-05
Position 565: 2.0739769289522634e-05
Position 1773: 1.7708783295719015e-05
Position 2376: 5.166793692517177e-06
Position 1391: 4.3869723335228345e-06
Position 2318: 4.351212248413234e-06
Position 1285: 3.966073347035205e-06
Position 314: 2.111889576703305e-06
Position 903: 5.516101759160676e-07
Position 1870: 3.197548401323218e-07
Position 409: 2.407777815553052e-07
Position 272: 2.386140639115408e-07
Position 126: 2.2778891956034964e-07
Position 290: 3.776980789139282e-08
Position 1124: 3.049005111402929e-08
Position 195: 9.89372957980982e-09
Position 406: 2.844386950429828e-09
Position 215: 2.5030387845415065e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 11890: 0.5338206731151018
Position 12425: 0.45637895979797977
Position 7844: 0.004479252285325783
Position 6210: 0.0014596139827532711
Position 6365: 0.001396689565549595
Position 4101: 0.0009177962576486262
Position 7392: 0.000700070512268016
Position 7263: 0.0005709320417517697
Position 4403: 0.00034686364115137504
Position 6607: 0.0002920970499743746
Position 2493: 0.00027936432683209095
Position 1623: 0.00018004996281636138
Position 3697: 9.296585653381224e-05
Position 4425: 8.97410688527801e-05
Position 3752: 6.031943732605066e-05
Position 4046: 5.480567141729161e-05
Position 4462: 1.7127348608109834e-05
Position 2317: 1.3146173685629754e-05
Position 3185: 8.346822678562066e-06
Position 3342: 6.089543098381229e-06
Position 341: 6.0127268453511256e-06
Position 2455: 4.834280695832391e-06
Position 1582: 3.5005529565463888e-06
Position 129: 2.5960076083942886e-06
Position 2217: 1.807489402563237e-06
Position 1850: 1.491999748856495e-06
Position 364: 1.2562805180021373e-06
Position 158: 1.171625725427262e-06
Position 126: 1.1669438431947336e-06
Position 384: 8.197709849313171e-07
Position 171: 7.633516089408379e-07
Position 900: 6.465005007302816e-07
Position 462: 3.1157075333226065e-07
Position 255: 2.633095136795376e-07
Position 200: 1.7473883978435355e-07
Position 379: 1.5219793798830958e-07
Position 1255: 1.3954569987957939e-07
Position 539: 1.2443136607190353e-07
Position 195: 1.0430638086315456e-07
Position 290: 2.7642539923213572e-08
Position 177: 1.653522639302953e-08
