Gene = Fhos
index = 1165
Annotated 5SS: [13011 23699 29039 31439 31687 31981 32297 32613 32819 33726 34102 35687
 35899 36890 37682 43608]
Annotated 3SS: [23377 28928 31379 31501 31756 32074 32352 32680 33002 33899 35319 35751
 36550 36965 43380 44501]
SMsplice 5SS: [  877  9507 29039 31439 31687 31981 32297 32613 32819 33726 34102 35687
 35899 36216 36890 37682 43608]
SMsplice 3SS: [ 9430 28928 31379 31501 31756 32074 32352 32680 33002 33899 35319 35751
 35954 36550 36965 43380 44501]
top_k =  100
Partition function (log Z): 40.61911837374518

Sorted 5' Splice Sites (High to Low Probability):
Position 9507: 0.9999999999999882
Position 29039: 0.9999999999999882
Position 37682: 0.9999955118727237
Position 36890: 0.9995923283506758
Position 34102: 0.9941164652462174
Position 31439: 0.9921048655977825
Position 32297: 0.9910571283574732
Position 32819: 0.9904227997036401
Position 32613: 0.9717170672207248
Position 35687: 0.9709813720722252
Position 877: 0.9422484897522168
Position 43608: 0.9375951544651301
Position 35899: 0.9147764216228894
Position 31981: 0.894741970453146
Position 33726: 0.8203709913241432
Position 5762: 0.7251053834238564
Position 31687: 0.6608692675007668
Position 36216: 0.5758706864354737
Position 6454: 0.2713097974679224
Position 9267: 0.2561567126507753
Position 34762: 0.23584696178279857
Position 6919: 0.2141467369684213
Position 35039: 0.20545362621911953
Position 44203: 0.13130562667920356
Position 34551: 0.11094812674911886
Position 6038: 0.05513070067601739
Position 34824: 0.04674381623498078
Position 6030: 0.04598557626906437
Position 39218: 0.04341102150402839
Position 30866: 0.03894171529292287
Position 6410: 0.038329550839809476
Position 34444: 0.03705856885533436
Position 6799: 0.03383144667493089
Position 5962: 0.030827009548425998
Position 43625: 0.03065217661954785
Position 103: 0.02226653865233744
Position 407: 0.016146211296730537
Position 35655: 0.012529990853400407
Position 32543: 0.01137758890637372
Position 605: 0.009296694188075515
Position 32279: 0.008564995876957384
Position 853: 0.00682546214994876
Position 32592: 0.005782800051559672
Position 33633: 0.005467329110754629
Position 34224: 0.0037789557373847705
Position 158: 0.0032166039606853357
Position 33170: 0.002953287542491119
Position 35581: 0.002461617482693827
Position 31919: 0.00224310372159641
Position 35595: 0.0018027444125097419
Position 33318: 0.0017920163194591152
Position 32452: 0.0016874805033306592
Position 32556: 0.0009206591206918039
Position 32030: 0.0008882311294711597
Position 32364: 0.0008621027281593747
Position 6158: 0.0008583909788968397
Position 32586: 0.0007128573573360615
Position 32498: 0.0005494380317317838
Position 36885: 0.00040767164932104145
Position 32301: 0.00031768637715024926
Position 31985: 0.00018616854202733782
Position 31624: 8.40561903385601e-05
Position 32457: 6.280646585446177e-05
Position 32289: 6.0068416953131914e-05
Position 35903: 5.327032604735218e-07
Position 31682: 1.3063284854078782e-07
Position 32227: 8.931870382820142e-09
Position 32270: 1.545204037683501e-09
Position 32217: 7.864156698741213e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9430: 0.9999999999999886
Position 28928: 0.9999999999999882
Position 36965: 0.999982881467703
Position 32074: 0.9989063964648229
Position 32680: 0.9965246717789382
Position 35319: 0.9963022929555456
Position 32352: 0.9960421073523312
Position 31501: 0.9912074785104563
Position 33899: 0.9869382557589693
Position 35751: 0.9730379031868178
Position 43380: 0.9724026183834868
Position 36550: 0.9352773014429007
Position 31379: 0.9297688150854599
Position 44501: 0.9040914790871261
Position 5710: 0.7429827217450845
Position 5820: 0.7295386777306418
Position 31756: 0.525714995343094
Position 35954: 0.49539207928907225
Position 33002: 0.4718068640835403
Position 34614: 0.36854446593922546
Position 34319: 0.268280306341682
Position 43717: 0.19625323123873872
Position 6518: 0.19438352573707465
Position 33231: 0.14781120423543365
Position 30170: 0.1021377416497068
Position 33048: 0.06554039176105561
Position 33513: 0.06138224349746568
Position 33399: 0.03708900929470492
Position 39110: 0.028016596563183845
Position 33162: 0.02119426087732052
Position 43902: 0.019175926240280607
Position 36409: 0.017142166774677243
Position 36509: 0.01593404807954571
Position 31795: 0.0142448246640243
Position 35999: 0.012187430098134958
Position 31858: 0.011662985349677291
Position 33138: 0.011096953116161849
Position 35757: 0.010702303913913061
Position 37955: 0.008720748103309403
Position 36005: 0.008251482043185165
Position 31521: 0.007598001615935619
Position 38967: 0.006677180380225894
Position 36388: 0.006032419082876785
Position 33328: 0.004071308919108058
Position 35714: 0.004035517720099631
Position 31923: 0.003547394171792997
Position 34591: 0.002924034604894692
Position 33934: 0.0029066258736790236
Position 6545: 0.0026503869271551944
Position 34146: 0.0025994592638983426
Position 33007: 0.0022983023579913023
Position 44070: 0.0021513669112241712
Position 6206: 0.0021259933581627244
Position 31870: 0.002057738759974753
Position 33348: 0.0018321967540543848
Position 43684: 0.0016660876235082833
Position 43740: 0.0015679056182446522
Position 44411: 0.00143643120089644
Position 33684: 0.0013335026700584624
Position 31813: 0.0010604319554929742
Position 32359: 0.0010461915409735293
Position 32034: 0.0009699721793142676
Position 33096: 0.0009232908436890344
Position 31951: 0.0008480795740298057
Position 43917: 0.0007761847457013193
Position 36212: 0.0004307139512327289
Position 31560: 0.0002564654058858851
Position 31557: 7.807862325636319e-05
Position 34175: 7.797567696550577e-05
Position 32695: 5.8271553667000144e-05
Position 39428: 1.3676185445017377e-05
Position 39280: 7.519578195681154e-06
Position 36969: 6.311862519742106e-06
Position 37103: 5.8143090756208205e-06
Position 36971: 4.9923606996656016e-06
Position 38156: 2.5392810670731324e-06
Position 32392: 1.5581598513189127e-06
