Gene = RhoGEF4
index = 1426
Annotated 5SS: [ 234  857 1468]
Annotated 3SS: [ 298  913 1526]
SMsplice 5SS: [ 234  857 1468]
SMsplice 3SS: [ 298  913 1526]
top_k =  100
Partition function (log Z): 1.7390306444781867

Sorted 5' Splice Sites (High to Low Probability):
Position 1468: 0.9935965092074698
Position 857: 0.9464408745925776
Position 234: 0.830127155105561
Position 13: 0.17630203488422294
Position 808: 0.03438431713216976
Position 454: 0.01899248494674778
Position 1854: 0.01723471310320458
Position 1202: 0.013356452840261802
Position 50: 0.012878135318002542
Position 1230: 0.012414697369674684
Position 1051: 0.008623938630816355
Position 1881: 0.005108982350632643
Position 225: 0.003595616340193905
Position 786: 0.0033664396514705075
Position 1845: 0.002179812028984244
Position 1289: 0.0020663873153488072
Position 1992: 0.0016325610459600299
Position 1814: 0.001072051866806192
Position 35: 0.0009669101698449481
Position 1160: 0.000680603346641332
Position 778: 0.0005493954176136784
Position 1012: 0.00045575532243190855
Position 1837: 0.0003591250370950442
Position 1472: 0.00032156653316114004
Position 1441: 0.0003138647618705746
Position 733: 0.00019587863438491675
Position 220: 0.00018360686192038682
Position 1817: 0.00018148537326802383
Position 188: 0.00015962651679105717
Position 57: 2.0128327346661975e-05
Position 621: 1.83310075496356e-05
Position 89: 7.514090855034693e-06
Position 417: 5.421864721427788e-06
Position 630: 2.1163932237302024e-06
Position 103: 1.142278069215476e-06
Position 261: 9.169571790368171e-07
Position 60: 8.866846616474362e-07
Position 1425: 7.923313150338138e-07
Position 52: 2.772495590332751e-07
Position 329: 8.573863789477762e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 913: 0.9979784539866026
Position 1526: 0.9859813399498728
Position 298: 0.7793185195539887
Position 85: 0.17590830084312756
Position 669: 0.03819354864001975
Position 1957: 0.0256625490426593
Position 1271: 0.01618759469315162
Position 114: 0.012830750357451943
Position 1292: 0.011927685620232473
Position 1359: 0.00902383044999212
Position 468: 0.008562783159255245
Position 317: 0.005851626948335707
Position 2045: 0.005420849103334053
Position 384: 0.003058425476798105
Position 474: 0.0016279203767682856
Position 564: 0.0015838536951899443
Position 1722: 0.001485477457730033
Position 1553: 0.001441448640284201
Position 118: 0.0011271693384848445
Position 774: 0.0011064815067878223
Position 2225: 0.0009138311476153552
Position 1002: 0.0007426325773775893
Position 1074: 0.00045575532243190893
Position 1912: 0.000421222996714132
Position 1561: 0.0003646455831592644
Position 1743: 0.0003130684577654042
Position 89: 0.00014882327477434046
Position 165: 0.00012298317015785353
Position 171: 2.3118304626639477e-05
Position 122: 7.0195872730026635e-06
Position 365: 5.54902885318908e-06
Position 228: 6.841494132105423e-07
Position 187: 6.52188017605609e-07
