Gene = Top2
index = 1564
Annotated 5SS: [ 240  952 1763 2244 5348]
Annotated 3SS: [ 696 1174 1819 2309 5428]
SMsplice 5SS: [ 240 1763 2244 5348]
SMsplice 3SS: [1174 1819 2309 5428]
top_k =  100
Partition function (log Z): 9.766274979030714

Sorted 5' Splice Sites (High to Low Probability):
Position 2244: 0.999883733330456
Position 5348: 0.9961841998342992
Position 240: 0.9955366447971329
Position 1763: 0.9867515169340626
Position 3967: 0.3973496193277148
Position 2730: 0.39468976461280103
Position 952: 0.2903081720695724
Position 1327: 0.22988338420198054
Position 3254: 0.06888241458829537
Position 5681: 0.06791525205770593
Position 3551: 0.03827012848057699
Position 1021: 0.029095287084077794
Position 933: 0.02584219250992205
Position 5865: 0.021007932713170085
Position 5499: 0.014997399367396776
Position 1552: 0.014873352986643697
Position 1333: 0.012347885563285164
Position 2350: 0.008991449028781953
Position 817: 0.007821901673090773
Position 1358: 0.0070264526795260395
Position 2336: 0.005229647608797536
Position 2099: 0.005066446376063419
Position 821: 0.003602072720711603
Position 1961: 0.0024216450273090917
Position 1619: 0.0021592399851796877
Position 1994: 0.001605469056834171
Position 905: 0.0015409499322276586
Position 640: 0.0014841562636242467
Position 5869: 0.00140867079597301
Position 618: 0.0013373610118489118
Position 608: 0.0007070589836682369
Position 446: 0.0004982014483418063
Position 66: 0.0003655019860450963
Position 379: 0.0001781681391751763
Position 826: 0.00015301708487239845
Position 645: 0.00011019009715353476
Position 1025: 0.00010840666224588684
Position 977: 8.884791390137927e-05
Position 2192: 5.138431580893242e-05
Position 2222: 3.3906099434511796e-05
Position 51: 2.1074356823316915e-05
Position 2135: 2.0627931586539038e-05
Position 450: 1.1105496698461422e-05
Position 620: 8.796962900793774e-06
Position 36: 4.877587518947663e-06
Position 3815: 3.952847073688104e-06
Position 26: 3.899325364356074e-06
Position 267: 3.6943650460516417e-06
Position 70: 2.697187564384264e-06
Position 4115: 2.2903480094037195e-06
Position 3281: 1.9897638101355733e-06
Position 22: 1.824557311214637e-06
Position 80: 1.3644439297356788e-06
Position 251: 5.734143499397313e-07
Position 86: 4.934384998104425e-07
Position 2189: 3.310617486095265e-07
Position 46: 3.0812871490389166e-07
Position 55: 3.010512118542126e-07
Position 39: 2.2823245358146936e-07
Position 29: 2.1969214182502374e-07
Position 19: 4.908436895585339e-08
Position 110: 4.21540998131257e-08
Position 119: 2.9257538385604514e-08
Position 125: 5.134339608935079e-09
Position 284: 3.313007529828675e-09
Position 187: 2.8510761256933053e-10
Position 279: 1.4170653763737565e-10
Position 344: 1.0446428712513797e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5428: 0.999663082962165
Position 2309: 0.993629634162039
Position 1819: 0.9772182439341421
Position 1174: 0.7933224395084052
Position 4031: 0.5076330443612708
Position 756: 0.3452155054166687
Position 3754: 0.3367136377857118
Position 1427: 0.21949332638225721
Position 1180: 0.07959839919345488
Position 696: 0.06922018478141734
Position 5771: 0.04013242016111189
Position 1674: 0.03508311736808698
Position 5944: 0.03381065102913785
Position 3417: 0.02987854177402671
Position 5753: 0.024609368256732305
Position 1240: 0.022460267975997712
Position 2398: 0.01870069888679255
Position 1006: 0.01399032455564884
Position 516: 0.01320968896681893
Position 1789: 0.010101276261996812
Position 2803: 0.010023594645893662
Position 2888: 0.005848988105668325
Position 5975: 0.005840374578223969
Position 2156: 0.005066077512357701
Position 1825: 0.004653209096459548
Position 1863: 0.004501803453133135
Position 435: 0.004075168416924609
Position 2830: 0.004054533561492258
Position 1465: 0.0038282346272417896
Position 476: 0.0033946908694708114
Position 1808: 0.0027730635873202537
Position 1396: 0.002521155126695714
Position 2032: 0.002421513515268363
Position 2065: 0.0016050208184076077
Position 3235: 0.0015203114757612976
Position 491: 0.00125593521133772
Position 563: 0.0010572477014244579
Position 2335: 0.0010329323882839526
Position 1186: 0.000999927605139366
Position 5990: 0.0009454998477454895
Position 2428: 0.0008359959754875624
Position 1072: 0.0008350104830732842
Position 1033: 0.0007984903274783163
Position 287: 0.0007582643359388352
Position 858: 0.0005639275101657995
Position 333: 0.0005104326733503852
Position 138: 0.0003136369902184398
Position 1069: 8.058917057597869e-05
Position 5474: 5.29351084816628e-05
Position 419: 2.4306257953103858e-05
Position 861: 1.0982942185166877e-05
Position 125: 3.96973551563428e-06
Position 92: 3.8661746516573585e-06
Position 98: 2.6118872919457014e-06
Position 169: 1.5310785245646543e-06
Position 102: 1.1849807253571798e-07
