Gene = l(2)37Cd
index = 1745
Annotated 5SS: [133 397 584]
Annotated 3SS: [194 453 710]
SMsplice 5SS: [133 397 584]
SMsplice 3SS: [194 453 710]
top_k =  100
Partition function (log Z): 2.979673052652766

Sorted 5' Splice Sites (High to Low Probability):
Position 397: 0.9988809021054565
Position 133: 0.9750963884190728
Position 584: 0.9672458028104258
Position 933: 0.08418133800605515
Position 1022: 0.028989366704921436
Position 636: 0.01399036296066843
Position 1948: 0.011879591250823256
Position 1465: 0.010841076647885741
Position 1098: 0.00448130242651576
Position 928: 0.0029543846948668485
Position 588: 0.0023545007854305043
Position 79: 0.0022599479290966768
Position 656: 0.001615449441088791
Position 877: 0.0011981291178690748
Position 530: 0.0008498772686284736
Position 150: 0.000645284317054891
Position 126: 0.000594040490496435
Position 1738: 0.0003195883371638269
Position 401: 0.00020678028450714372
Position 124: 8.66817580981071e-05
Position 408: 5.879135455780792e-05
Position 817: 1.272478739314913e-05
Position 76: 5.851118781053151e-06
Position 354: 4.114637836799371e-06
Position 360: 3.7552327622756572e-06
Position 63: 3.680145132812687e-06
Position 309: 2.708061223179104e-06
Position 362: 2.1021090223961663e-06
Position 54: 6.158371937917598e-07
Position 29: 4.1486960741743087e-07
Position 3: 1.6481333080460815e-07
Position 195: 1.1191980588607376e-07
Position 224: 9.43214645313718e-08
Position 210: 2.26857529824345e-08
Position 15: 1.7361736151838423e-08
Position 545: 5.780317257993403e-09
Position 499: 3.2367519132109484e-11
Position 605: 2.7724523971937775e-11
Position 612: 2.75487675276212e-11
Position 460: 2.783750706446546e-14
Position 289: 2.9508525036679293e-19

Sorted 3' Splice Sites (High to Low Probability):
Position 453: 0.9898032133673235
Position 194: 0.9785844770535137
Position 710: 0.922837806587148
Position 1076: 0.10058766013482731
Position 681: 0.0379418250755785
Position 2017: 0.023921406669953425
Position 1777: 0.009072489789845472
Position 1534: 0.008707717633683639
Position 799: 0.007097039520403047
Position 499: 0.005829917761419532
Position 1178: 0.00527230104121727
Position 722: 0.004866737521672138
Position 1284: 0.003944350748743022
Position 1152: 0.0038241214334551682
Position 802: 0.0019184421667776247
Position 927: 0.0009831540766488548
Position 1521: 0.0009740338717559511
Position 652: 0.0008611216249393606
Position 1493: 0.0007132847735210953
Position 521: 0.00043174086272018285
Position 644: 0.0002397029938470413
Position 2053: 0.0002253415297023296
Position 154: 4.533651308362345e-05
Position 132: 2.9645797923734415e-05
Position 545: 1.9855973619796332e-05
Position 210: 9.580272355570564e-06
Position 726: 7.414475122027977e-06
Position 691: 7.147479458214073e-06
Position 855: 5.273745811448898e-06
Position 284: 2.532960711530182e-06
Position 242: 4.907819289286261e-07
Position 326: 4.6079669833794506e-07
Position 313: 1.50109762723774e-07
Position 379: 8.193906777006166e-08
Position 332: 3.4734500881943555e-08
Position 376: 3.317385211942379e-08
Position 100: 2.6083045076278547e-08
Position 524: 1.9804070593937212e-08
