Gene = BicD
index = 50
Annotated 5SS: [ 1119  9026  9228 10184 10478 10787 11048]
Annotated 3SS: [ 8659  9089  9332 10259 10531 10872 11371]
SMsplice 5SS: [ 1119  9026  9228 10184 10478 10787 11048]
SMsplice 3SS: [ 8659  9089  9332 10259 10531 10872 11371]
top_k =  100
Partition function (log Z): 16.76231362346062

Sorted 5' Splice Sites (High to Low Probability):
Position 1119: 0.9999775781198026
Position 9228: 0.9999634861212676
Position 10787: 0.9981278016203483
Position 10478: 0.9947268533630601
Position 9026: 0.9938647549469065
Position 11048: 0.889876182519251
Position 10188: 0.7098296456848836
Position 634: 0.34012406975868564
Position 12259: 0.2239736841490555
Position 12263: 0.20881222085795395
Position 9469: 0.18018721558587159
Position 12088: 0.11067875007755831
Position 11322: 0.0770202358993272
Position 11747: 0.069468014629347
Position 390: 0.06888328585387601
Position 2381: 0.05806813681419164
Position 9616: 0.04549880188692001
Position 501: 0.037801987382954164
Position 2220: 0.03548557982361114
Position 6684: 0.028240661393388322
Position 585: 0.02286078023047453
Position 11470: 0.01608850003613997
Position 9951: 0.013679482094909635
Position 11509: 0.012175572436197778
Position 11185: 0.010436196464728084
Position 394: 0.010110388731776082
Position 396: 0.010002716697389077
Position 11091: 0.009562635202930745
Position 9836: 0.009463655578473312
Position 9388: 0.00842995989898966
Position 370: 0.0061115961660059065
Position 10377: 0.0038844411786487197
Position 11276: 0.003376558338219494
Position 211: 0.002713547599470261
Position 392: 0.0024877241481360375
Position 11072: 0.0024597322570496937
Position 50: 0.002043464470782341
Position 683: 0.0012764522697028032
Position 9824: 0.0011553450787805642
Position 696: 0.0011138691617161509
Position 10695: 0.0010532946915708522
Position 374: 0.0010456293517810862
Position 9547: 0.000808116762397768
Position 11052: 0.0007816810261815747
Position 426: 0.0006054793765495714
Position 10742: 0.000460907792068312
Position 10791: 0.0004306339539319696
Position 10390: 0.0004148765623402827
Position 270: 0.0003894964433688782
Position 629: 0.00030784640831350846
Position 400: 0.0002915384519482115
Position 382: 0.0002763748037818638
Position 11094: 0.00014246145302078926
Position 11273: 0.00012718003655253515
Position 398: 9.718640241944689e-05
Position 10805: 8.266484530275103e-05
Position 10407: 7.930897156929037e-05
Position 272: 5.429520249006396e-05
Position 196: 4.627057872445445e-05
Position 301: 4.438470537693121e-05
Position 10669: 3.7482414016230354e-05
Position 368: 2.76476281780627e-05
Position 9159: 1.694304797338378e-05
Position 443: 1.4796684856068615e-05
Position 70: 8.259480041934676e-06
Position 11062: 6.912826668311266e-06
Position 10717: 4.910409527795141e-06
Position 11065: 4.352691436403239e-06
Position 10647: 3.7559304786804107e-06
Position 10907: 2.540664752822587e-06
Position 9340: 7.843763547739468e-07
Position 161: 2.15366487712906e-07
Position 10350: 1.1431493352883072e-10
Position 10602: 6.89724026973323e-12
Position 10689: 5.2642806781199005e-12
Position 10639: 3.6600877378002895e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10531: 0.997648996327774
Position 9089: 0.9957315958918033
Position 10872: 0.9928506603853767
Position 10259: 0.9787375046140355
Position 8659: 0.9311062799015698
Position 11371: 0.9021923462634387
Position 9332: 0.8245852994755496
Position 12501: 0.4670796174031341
Position 758: 0.21906286547082596
Position 9298: 0.15437587967694405
Position 12149: 0.12848610057206966
Position 769: 0.08356155643863543
Position 898: 0.08011127916343522
Position 12316: 0.07563336246143795
Position 2114: 0.07438514861857472
Position 8686: 0.06700733243490345
Position 496: 0.06408316064032396
Position 11171: 0.03319110533142821
Position 696: 0.029664728456632053
Position 6554: 0.028240661393388322
Position 870: 0.02397055534492768
Position 2154: 0.01772118647189126
Position 11131: 0.016388050273423774
Position 11803: 0.01009597060516978
Position 10290: 0.009946722685500934
Position 11543: 0.005298007367006223
Position 450: 0.0033827624317775964
Position 11826: 0.003350868082953907
Position 819: 0.0021379221679424048
Position 774: 0.0016620559344281145
Position 1667: 0.0014473815473368657
Position 10542: 0.0011194328116200412
Position 9365: 0.0008590332914635986
Position 114: 0.00049861915179899
Position 10754: 0.0004165709424303046
Position 143: 0.00036950834345716505
Position 9409: 0.00030576752554597325
Position 10907: 0.00028259263279362633
Position 10611: 0.0002640662395367617
Position 9362: 0.00013597034981659086
Position 9646: 0.00010677382864651325
Position 335: 7.867821325139374e-05
Position 904: 7.263708716684883e-05
Position 410: 4.047043472609648e-05
Position 577: 2.0082195761049317e-05
Position 10919: 2.595729775709399e-06
Position 9424: 3.1387948526464e-08
